region_expansion,technology,constraint
DE < DE11,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE11, offshore_c] == 0.0"
DE < DE12,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE12, offshore_c] == 0.0"
DE < DE13,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE13, offshore_c] == 0.0"
DE < DE14,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE14, offshore_c] == 0.0"
DE < DE21,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE21, offshore_c] == 0.0"
DE < DE22,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE22, offshore_c] == 0.0"
DE < DE23,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE23, offshore_c] == 0.0"
DE < DE24,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE24, offshore_c] == 0.0"
DE < DE25,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE25, offshore_c] == 0.0"
DE < DE26,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE26, offshore_c] == 0.0"
DE < DE27,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE27, offshore_c] == 0.0"
DE < DE30,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE30, offshore_c] == 0.0"
DE < DE40,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE40, offshore_c] == 0.0"
DE < DE50,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE50, offshore_c] == 0.0"
DE < DE60,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE60, offshore_c] == 0.0"
DE < DE71,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE71, offshore_c] == 0.0"
DE < DE72,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE72, offshore_c] == 0.0"
DE < DE73,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE73, offshore_c] == 0.0"
DE < DE80,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE80, offshore_c] == 2.400000000842364"
DE < DE91,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE91, offshore_c] == 0.0"
DE < DE92,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE92, offshore_c] == 0.0"
DE < DE93,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE93, offshore_c] == 0.0"
DE < DE94,wind_offshore < offshore_c,"100 capaConv[none, 2050, DE94, offshore_c] == 1.82"
DE < DEA1,wind_offshore < offshore_c,"100 capaConv[none, 2050, DEA1, offshore_c] == 0.0"
DE < DEA2,wind_offshore < offshore_c,"100 capaConv[none, 2050, DEA2, offshore_c] == 0.0"
DE < DEA3,wind_offshore < offshore_c,"100 capaConv[none, 2050, DEA3, offshore_c] == 0.0"
DE < DEA4,wind_offshore < offshore_c,"100 capaConv[none, 2050, DEA4, offshore_c] == 0.0"
DE < DEA5,wind_offshore < offshore_c,"100 capaConv[none, 2050, DEA5, offshore_c] == 0.0"
DE < DEB1,wind_offshore < offshore_c,"100 capaConv[none, 2050, DEB1, offshore_c] == 0.0"
DE < DEB2,wind_offshore < offshore_c,"100 capaConv[none, 2050, DEB2, offshore_c] == 0.0"
DE < DEB3,wind_offshore < offshore_c,"100 capaConv[none, 2050, DEB3, offshore_c] == 0.0"
DE < DEC0_,wind_offshore < offshore_c,"100 capaConv[none, 2050, DEC0_, offshore_c] == 0.0"
DE < DED2,wind_offshore < offshore_c,"100 capaConv[none, 2050, DED2, offshore_c] == 0.0"
DE < DED4,wind_offshore < offshore_c,"100 capaConv[none, 2050, DED4, offshore_c] == 0.0"
DE < DED5,wind_offshore < offshore_c,"100 capaConv[none, 2050, DED5, offshore_c] == 0.0"
DE < DEE0,wind_offshore < offshore_c,"100 capaConv[none, 2050, DEE0, offshore_c] == 0.0"
DE < DEF0,wind_offshore < offshore_c,"100 capaConv[none, 2050, DEF0, offshore_c] == 5.76"
DE < DEG0,wind_offshore < offshore_c,"100 capaConv[none, 2050, DEG0, offshore_c] == 0.0"
DE < DE11,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE11, offshore_a] == 0.0"
DE < DE12,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE12, offshore_a] == 0.0"
DE < DE13,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE13, offshore_a] == 0.0"
DE < DE14,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE14, offshore_a] == 0.0"
DE < DE21,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE21, offshore_a] == 0.0"
DE < DE22,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE22, offshore_a] == 0.0"
DE < DE23,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE23, offshore_a] == 0.0"
DE < DE24,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE24, offshore_a] == 0.0"
DE < DE25,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE25, offshore_a] == 0.0"
DE < DE26,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE26, offshore_a] == 0.0"
DE < DE27,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE27, offshore_a] == 0.0"
DE < DE30,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE30, offshore_a] == 0.0"
DE < DE40,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE40, offshore_a] == 0.0"
DE < DE50,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE50, offshore_a] == 0.0"
DE < DE60,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE60, offshore_a] == 0.0"
DE < DE71,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE71, offshore_a] == 0.0"
DE < DE72,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE72, offshore_a] == 0.0"
DE < DE73,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE73, offshore_a] == 0.0"
DE < DE80,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE80, offshore_a] == 12.06"
DE < DE91,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE91, offshore_a] == 0.0"
DE < DE92,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE92, offshore_a] == 0.0"
DE < DE93,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE93, offshore_a] == 0.0"
DE < DE94,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE94, offshore_a] == 9.100000000498525"
DE < DEA1,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEA1, offshore_a] == 0.0"
DE < DEA2,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEA2, offshore_a] == 0.0"
DE < DEA3,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEA3, offshore_a] == 0.0"
DE < DEA4,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEA4, offshore_a] == 0.0"
DE < DEA5,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEA5, offshore_a] == 0.0"
DE < DEB1,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEB1, offshore_a] == 0.0"
DE < DEB2,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEB2, offshore_a] == 0.0"
DE < DEB3,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEB3, offshore_a] == 0.0"
DE < DEC0_,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEC0_, offshore_a] == 0.0"
DE < DED2,wind_offshore < offshore_a,"100 capaConv[none, 2050, DED2, offshore_a] == 0.0"
DE < DED4,wind_offshore < offshore_a,"100 capaConv[none, 2050, DED4, offshore_a] == 0.0"
DE < DED5,wind_offshore < offshore_a,"100 capaConv[none, 2050, DED5, offshore_a] == 0.0"
DE < DEE0,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEE0, offshore_a] == 0.0"
DE < DEF0,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEF0, offshore_a] == 28.800000000000004"
DE < DEG0,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEG0, offshore_a] == 0.0"
DE < DE11,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE11, offshore_b] == 0.0"
