timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,AT < AT,CH < CH,electricity < electricity_central,capaExc,2.171588258997244
2050,AT < AT,CZ < CZ,electricity < electricity_central,capaExc,0.8000096119948391
2050,AT < AT,DE < DE22,electricity < electricity_central,capaExc,1.7724999999962843
2050,AT < AT,DE < DE27,electricity < electricity_central,capaExc,5.317499999995279
2050,AT < AT,HU < HU,electricity < electricity_central,capaExc,0.8000008439978763
2050,AT < AT,IT < IT,electricity < electricity_central,capaExc,0.5350704719968655
2050,AT < AT,SI < SI,electricity < electricity_central,capaExc,8.463440917000318
2050,AT < AT,SK < SK,electricity < electricity_central,capaExc,0.0013007589963424558
2050,BE < BE,DE < DEA2,electricity < electricity_central,capaExc,1.999999999996371
2050,BE < BE,FR < FR,electricity < electricity_central,capaExc,8.734616054990079
2050,BE < BE,LU < LU,electricity < electricity_central,capaExc,2.1641076789932083
2050,BE < BE,NL < NL,electricity < electricity_central,capaExc,3.5232460499939466
2050,BE < BE,NO < NO,electricity < electricity_central,capaExc,4.999987812999015
2050,BE < BE,UK < UK,electricity < electricity_central,capaExc,4.999941277998285
2050,BG < BG,GR < GR,electricity < electricity_central,capaExc,7.166258194980644
2050,BG < BG,NONEU_Balkan < NONEU_Balkan,electricity < electricity_central,capaExc,1.451229473995091
2050,BG < BG,RO < RO,electricity < electricity_central,capaExc,16.73131610998886
2050,BG < BG,TR < TR,electricity < electricity_central,capaExc,24.718915469965662
2050,CH < CH,DE < DE13,electricity < electricity_central,capaExc,3.4999999999940465
2050,CH < CH,FR < FR,electricity < electricity_central,capaExc,7.425139228993714
2050,CH < CH,IT < IT,electricity < electricity_central,capaExc,2.2906908239701433
2050,CZ < CZ,DE < DE23,electricity < electricity_central,capaExc,4.994999999995374
2050,CZ < CZ,DE < DED4,electricity < electricity_central,capaExc,4.994999999998391
2050,CZ < CZ,PL < PL,electricity < electricity_central,capaExc,0.5999999829981547
2050,CZ < CZ,SK < SK,electricity < electricity_central,capaExc,14.068141939985598
2050,DE < DE13,FR < FR,electricity < electricity_central,capaExc,22.49999999996153
2050,DE < DE40,PL < PL,electricity < electricity_central,capaExc,6.529999999995834
2050,DE < DE80,SE < SE,electricity < electricity_central,capaExc,4.999999999999021
2050,DE < DE94,NL < NL,electricity < electricity_central,capaExc,7.499999999997824
2050,DE < DE94,NO < NO,electricity < electricity_central,capaExc,1.3999999999992705
2050,DE < DEA1,NL < NL,electricity < electricity_central,capaExc,7.499999999992714
2050,DE < DEA2,NL < NL,electricity < electricity_central,capaExc,7.499999999992917
2050,DE < DEA3,NL < NL,electricity < electricity_central,capaExc,7.499999999992117
2050,DE < DEC0_,FR < FR,electricity < electricity_central,capaExc,7.499999999981637
2050,DE < DEC0_,LU < LU,electricity < electricity_central,capaExc,6.929999976140887
2050,DE < DED2,PL < PL,electricity < electricity_central,capaExc,6.529999999995667
2050,DE < DEF0,DK < DK,electricity < electricity_central,capaExc,4.489999999998049
2050,DK < DK,NL < NL,electricity < electricity_central,capaExc,6.975234408999286
2050,DK < DK,NO < NO,electricity < electricity_central,capaExc,1.6401139719975515
2050,DK < DK,PL < PL,electricity < electricity_central,capaExc,3.0337109809987775
2050,DK < DK,SE < SE,electricity < electricity_central,capaExc,1.9800471499972438
2050,DK < DK,UK < UK,electricity < electricity_central,capaExc,4.400120367999301
2050,EE < EE,FI < FI,electricity < electricity_central,capaExc,4.158514029996767
