region_3,value,timestep_3,parameter,technology_1
DE94,0.6933,h0001,avaConv,wind_offshore
DE94,0.676,h0002,avaConv,wind_offshore
DE94,0.6101,h0003,avaConv,wind_offshore
DE94,0.5894,h0004,avaConv,wind_offshore
DE94,0.48,h0005,avaConv,wind_offshore
DE94,0.4032,h0006,avaConv,wind_offshore
DE94,0.2886,h0007,avaConv,wind_offshore
DE94,0.1976,h0008,avaConv,wind_offshore
DE94,0.1344,h0009,avaConv,wind_offshore
DE94,0.0935,h0010,avaConv,wind_offshore
DE94,0.0528,h0011,avaConv,wind_offshore
DE94,0.0403,h0012,avaConv,wind_offshore
DE94,0.0254,h0013,avaConv,wind_offshore
DE94,0.0147,h0014,avaConv,wind_offshore
DE94,0.002,h0015,avaConv,wind_offshore
DE94,0.0006,h0016,avaConv,wind_offshore
DE94,0.0015,h0017,avaConv,wind_offshore
DE94,0.0286,h0018,avaConv,wind_offshore
DE94,0.0808,h0019,avaConv,wind_offshore
DE94,0.1852,h0020,avaConv,wind_offshore
DE94,0.2751,h0021,avaConv,wind_offshore
DE94,0.3612,h0022,avaConv,wind_offshore
DE94,0.4403,h0023,avaConv,wind_offshore
DE94,0.5024,h0024,avaConv,wind_offshore
DE94,0.6551,h0025,avaConv,wind_offshore
DE94,0.7613,h0026,avaConv,wind_offshore
DE94,0.8275,h0027,avaConv,wind_offshore
DE94,0.8438,h0028,avaConv,wind_offshore
DE94,0.8523,h0029,avaConv,wind_offshore
DE94,0.8529,h0030,avaConv,wind_offshore
DE94,0.8492,h0031,avaConv,wind_offshore
DE94,0.8508,h0032,avaConv,wind_offshore
DE94,0.8466,h0033,avaConv,wind_offshore
DE94,0.8405,h0034,avaConv,wind_offshore
DE94,0.8392,h0035,avaConv,wind_offshore
DE94,0.8387,h0036,avaConv,wind_offshore
DE94,0.836,h0037,avaConv,wind_offshore
DE94,0.8372,h0038,avaConv,wind_offshore
DE94,0.8401,h0039,avaConv,wind_offshore
DE94,0.8334,h0040,avaConv,wind_offshore
DE94,0.8281,h0041,avaConv,wind_offshore
DE94,0.8268,h0042,avaConv,wind_offshore
DE94,0.8265,h0043,avaConv,wind_offshore
DE94,0.8282,h0044,avaConv,wind_offshore
DE94,0.8264,h0045,avaConv,wind_offshore
DE94,0.8247,h0046,avaConv,wind_offshore
DE94,0.8254,h0047,avaConv,wind_offshore
DE94,0.8224,h0048,avaConv,wind_offshore
DE94,0.8176,h0049,avaConv,wind_offshore
DE94,0.8133,h0050,avaConv,wind_offshore
DE94,0.8143,h0051,avaConv,wind_offshore
DE94,0.8136,h0052,avaConv,wind_offshore
DE94,0.8104,h0053,avaConv,wind_offshore
DE94,0.809,h0054,avaConv,wind_offshore
DE94,0.8094,h0055,avaConv,wind_offshore
DE94,0.8113,h0056,avaConv,wind_offshore
DE94,0.8082,h0057,avaConv,wind_offshore
DE94,0.8062,h0058,avaConv,wind_offshore
