timestep_2,region_3,carrier_1,carrier_2,value,parameter
d001,AT,gas,Gas_Synth,0.462396721,dem
d002,AT,gas,Gas_Synth,0.462396721,dem
d003,AT,gas,Gas_Synth,0.462396721,dem
d004,AT,gas,Gas_Synth,0.462396721,dem
d005,AT,gas,Gas_Synth,0.462396721,dem
d006,AT,gas,Gas_Synth,0.462396721,dem
d007,AT,gas,Gas_Synth,0.462396721,dem
d008,AT,gas,Gas_Synth,0.462396721,dem
d009,AT,gas,Gas_Synth,0.462396721,dem
d010,AT,gas,Gas_Synth,0.462396721,dem
d011,AT,gas,Gas_Synth,0.462396721,dem
d012,AT,gas,Gas_Synth,0.462396721,dem
d013,AT,gas,Gas_Synth,0.462396721,dem
d014,AT,gas,Gas_Synth,0.462396721,dem
d015,AT,gas,Gas_Synth,0.462396721,dem
d016,AT,gas,Gas_Synth,0.462396721,dem
d017,AT,gas,Gas_Synth,0.462396721,dem
d018,AT,gas,Gas_Synth,0.462396721,dem
d019,AT,gas,Gas_Synth,0.462396721,dem
d020,AT,gas,Gas_Synth,0.462396721,dem
d021,AT,gas,Gas_Synth,0.462396721,dem
d022,AT,gas,Gas_Synth,0.462396721,dem
d023,AT,gas,Gas_Synth,0.462396721,dem
d024,AT,gas,Gas_Synth,0.462396721,dem
d025,AT,gas,Gas_Synth,0.462396721,dem
d026,AT,gas,Gas_Synth,0.462396721,dem
d027,AT,gas,Gas_Synth,0.462396721,dem
d028,AT,gas,Gas_Synth,0.462396721,dem
d029,AT,gas,Gas_Synth,0.462396721,dem
d030,AT,gas,Gas_Synth,0.462396721,dem
d031,AT,gas,Gas_Synth,0.462396721,dem
d032,AT,gas,Gas_Synth,0.462396721,dem
d033,AT,gas,Gas_Synth,0.462396721,dem
d034,AT,gas,Gas_Synth,0.462396721,dem
d035,AT,gas,Gas_Synth,0.462396721,dem
d036,AT,gas,Gas_Synth,0.462396721,dem
d037,AT,gas,Gas_Synth,0.462396721,dem
d038,AT,gas,Gas_Synth,0.462396721,dem
d039,AT,gas,Gas_Synth,0.462396721,dem
d040,AT,gas,Gas_Synth,0.462396721,dem
d041,AT,gas,Gas_Synth,0.462396721,dem
d042,AT,gas,Gas_Synth,0.462396721,dem
d043,AT,gas,Gas_Synth,0.462396721,dem
d044,AT,gas,Gas_Synth,0.462396721,dem
d045,AT,gas,Gas_Synth,0.462396721,dem
d046,AT,gas,Gas_Synth,0.462396721,dem
d047,AT,gas,Gas_Synth,0.462396721,dem
d048,AT,gas,Gas_Synth,0.462396721,dem
d049,AT,gas,Gas_Synth,0.462396721,dem
d050,AT,gas,Gas_Synth,0.462396721,dem
d051,AT,gas,Gas_Synth,0.462396721,dem
d052,AT,gas,Gas_Synth,0.462396721,dem
d053,AT,gas,Gas_Synth,0.462396721,dem
d054,AT,gas,Gas_Synth,0.462396721,dem
d055,AT,gas,Gas_Synth,0.462396721,dem
d056,AT,gas,Gas_Synth,0.462396721,dem
d057,AT,gas,Gas_Synth,0.462396721,dem
d058,AT,gas,Gas_Synth,0.462396721,dem
d059,AT,gas,Gas_Synth,0.462396721,dem
d060,AT,gas,Gas_Synth,0.462396721,dem
d061,AT,gas,Gas_Synth,0.462396721,dem
d062,AT,gas,Gas_Synth,0.462396721,dem
d063,AT,gas,Gas_Synth,0.462396721,dem
d064,AT,gas,Gas_Synth,0.462396721,dem
d065,AT,gas,Gas_Synth,0.462396721,dem
d066,AT,gas,Gas_Synth,0.462396721,dem
d067,AT,gas,Gas_Synth,0.462396721,dem
d068,AT,gas,Gas_Synth,0.462396721,dem
d069,AT,gas,Gas_Synth,0.462396721,dem
d070,AT,gas,Gas_Synth,0.462396721,dem
d071,AT,gas,Gas_Synth,0.462396721,dem
d072,AT,gas,Gas_Synth,0.462396721,dem
d073,AT,gas,Gas_Synth,0.462396721,dem
d074,AT,gas,Gas_Synth,0.462396721,dem
d075,AT,gas,Gas_Synth,0.462396721,dem
d076,AT,gas,Gas_Synth,0.462396721,dem
d077,AT,gas,Gas_Synth,0.462396721,dem
d078,AT,gas,Gas_Synth,0.462396721,dem
d079,AT,gas,Gas_Synth,0.462396721,dem
d080,AT,gas,Gas_Synth,0.462396721,dem
d081,AT,gas,Gas_Synth,0.462396721,dem
d082,AT,gas,Gas_Synth,0.462396721,dem
d083,AT,gas,Gas_Synth,0.462396721,dem
d084,AT,gas,Gas_Synth,0.462396721,dem
d085,AT,gas,Gas_Synth,0.462396721,dem
d086,AT,gas,Gas_Synth,0.462396721,dem
d087,AT,gas,Gas_Synth,0.462396721,dem
d088,AT,gas,Gas_Synth,0.462396721,dem
d089,AT,gas,Gas_Synth,0.462396721,dem
d090,AT,gas,Gas_Synth,0.462396721,dem
d091,AT,gas,Gas_Synth,0.462396721,dem
d092,AT,gas,Gas_Synth,0.462396721,dem
d093,AT,gas,Gas_Synth,0.462396721,dem
d094,AT,gas,Gas_Synth,0.462396721,dem
d095,AT,gas,Gas_Synth,0.462396721,dem
d096,AT,gas,Gas_Synth,0.462396721,dem
d097,AT,gas,Gas_Synth,0.462396721,dem
d098,AT,gas,Gas_Synth,0.462396721,dem
d099,AT,gas,Gas_Synth,0.462396721,dem
d100,AT,gas,Gas_Synth,0.462396721,dem
d101,AT,gas,Gas_Synth,0.462396721,dem
d102,AT,gas,Gas_Synth,0.462396721,dem
d103,AT,gas,Gas_Synth,0.462396721,dem
d104,AT,gas,Gas_Synth,0.462396721,dem
d105,AT,gas,Gas_Synth,0.462396721,dem
d106,AT,gas,Gas_Synth,0.462396721,dem
d107,AT,gas,Gas_Synth,0.462396721,dem
d108,AT,gas,Gas_Synth,0.462396721,dem
d109,AT,gas,Gas_Synth,0.462396721,dem
d110,AT,gas,Gas_Synth,0.462396721,dem
d111,AT,gas,Gas_Synth,0.462396721,dem
d112,AT,gas,Gas_Synth,0.462396721,dem
d113,AT,gas,Gas_Synth,0.462396721,dem
d114,AT,gas,Gas_Synth,0.462396721,dem
d115,AT,gas,Gas_Synth,0.462396721,dem
d116,AT,gas,Gas_Synth,0.462396721,dem
d117,AT,gas,Gas_Synth,0.462396721,dem
d118,AT,gas,Gas_Synth,0.462396721,dem
