technology_1,technology_2,region_2,parameter,value
wind_offshore,RES_Wind_Offshore_Deep,NONEU_Balkan,capaConvResi,1.21E-08
wind_offshore,RES_Wind_Offshore_Deep,EE,capaConvResi,9.93E-07
wind_offshore,RES_Wind_Offshore_Deep,LT,capaConvResi,7.06E-07
wind_offshore,RES_Wind_Offshore_Deep,LV,capaConvResi,1.42E-07
wind_offshore,RES_Wind_Offshore_Deep,NL,capaConvResi,9.37E-07
wind_offshore,RES_Wind_Offshore_Deep,BE,capaConvResi,4.40E-07
wind_offshore,RES_Wind_Offshore_Deep,HR,capaConvResi,1.17E-08
wind_offshore,RES_Wind_Offshore_Deep,SI,capaConvResi,1.82E-08
wind_offshore,RES_Wind_Offshore_Deep,BG,capaConvResi,2.25E-07
wind_offshore,RES_Wind_Offshore_Deep,RO,capaConvResi,2.92E-07
wind_offshore,RES_Wind_Offshore_Deep,TR,capaConvResi,7.65E-08
wind_offshore,RES_Wind_Offshore_Deep,FR,capaConvResi,3.69E-05
wind_offshore,RES_Wind_Offshore_Deep,IE,capaConvResi,6.19E-07
wind_offshore,RES_Wind_Offshore_Deep,UK,capaConvResi,6.19E-06
wind_offshore,RES_Wind_Offshore_Deep,GR,capaConvResi,2.32E-07
wind_offshore,RES_Wind_Offshore_Deep,PT,capaConvResi,3.74E-07
wind_offshore,RES_Wind_Offshore_Deep,ES,capaConvResi,7.17E-07
wind_offshore,RES_Wind_Offshore_Deep,IT,capaConvResi,2.01E-06
wind_offshore,RES_Wind_Offshore_Deep,PL,capaConvResi,5.30E-07
wind_offshore,RES_Wind_Offshore_Deep,NO,capaConvResi,9.58E-06
wind_offshore,RES_Wind_Offshore_Deep,FI,capaConvResi,1.65E-06
wind_offshore,RES_Wind_Offshore_Deep,SE,capaConvResi,1.92E-05
wind_offshore,RES_Wind_Offshore_Deep,DK,capaConvResi,1.37E-05
X_Electrolysis,,AT,capaConvResi,4.428015773
X_Electrolysis,,NONEU_Balkan,capaConvResi,43.78153946
X_Electrolysis,,EE,capaConvResi,2.111007304
X_Electrolysis,,LT,capaConvResi,0.024970464
X_Electrolysis,,LV,capaConvResi,0.780578011
X_Electrolysis,,NL,capaConvResi,0.001159711
X_Electrolysis,,BE,capaConvResi,5.707799971
X_Electrolysis,,CZ,capaConvResi,3.130145644
X_Electrolysis,,HU,capaConvResi,1.518744754
X_Electrolysis,,SK,capaConvResi,0.000879491
X_Electrolysis,,HR,capaConvResi,1.494933352
X_Electrolysis,,SI,capaConvResi,0.766741455
X_Electrolysis,,BG,capaConvResi,5.425282212
X_Electrolysis,,RO,capaConvResi,47.73064183
X_Electrolysis,,TR,capaConvResi,33.02132764
X_Electrolysis,,FR,capaConvResi,59.8154749
X_Electrolysis,,LU,capaConvResi,0.275943824
X_Electrolysis,,IE,capaConvResi,6.355495759
X_Electrolysis,,UK,capaConvResi,52.13576768
X_Electrolysis,,GR,capaConvResi,3.242523311
X_Electrolysis,,PT,capaConvResi,6.246895776
X_Electrolysis,,ES,capaConvResi,43.24496834
X_Electrolysis,,IT,capaConvResi,27.44253434
X_Electrolysis,,PL,capaConvResi,23.048029
X_Electrolysis,,NO,capaConvResi,18.98673429
X_Electrolysis,,FI,capaConvResi,1.25118727
X_Electrolysis,,SE,capaConvResi,15.40250464
X_Electrolysis,,DK,capaConvResi,3.983573384
X_Electrolysis,,CH,capaConvResi,1.766271211
P_H2_OCGT,,AT,capaConvResi,0.000891583
P_H2_OCGT,,NONEU_Balkan,capaConvResi,0.000369593
P_H2_OCGT,,EE,capaConvResi,0.000438754
P_H2_OCGT,,LT,capaConvResi,0.003113521
P_H2_OCGT,,LV,capaConvResi,1.153216356
P_H2_OCGT,,NL,capaConvResi,26.53268624
P_H2_OCGT,,BE,capaConvResi,0.008198086
P_H2_OCGT,,CZ,capaConvResi,13.93898778
P_H2_OCGT,,HU,capaConvResi,10.72712023
P_H2_OCGT,,SK,capaConvResi,10.50909377
P_H2_OCGT,,HR,capaConvResi,0.004605499
P_H2_OCGT,,SI,capaConvResi,0.00588976
P_H2_OCGT,,BG,capaConvResi,0.001468373
P_H2_OCGT,,RO,capaConvResi,0.001169071
P_H2_OCGT,,TR,capaConvResi,29.16342595
P_H2_OCGT,,FR,capaConvResi,18.76970346
P_H2_OCGT,,LU,capaConvResi,0.001802602
P_H2_OCGT,,IE,capaConvResi,0.000172557
P_H2_OCGT,,UK,capaConvResi,0.000383424
P_H2_OCGT,,GR,capaConvResi,0.002798266
P_H2_OCGT,,PT,capaConvResi,0.00012406
P_H2_OCGT,,ES,capaConvResi,0.000121889
P_H2_OCGT,,IT,capaConvResi,13.31243349
P_H2_OCGT,,PL,capaConvResi,25.84834534
P_H2_OCGT,,NO,capaConvResi,0.00050176
P_H2_OCGT,,FI,capaConvResi,0.000111513
P_H2_OCGT,,SE,capaConvResi,0.000566221
P_H2_OCGT,,DK,capaConvResi,0.007069224
P_H2_OCGT,,CH,capaConvResi,2.574823062
wind_offshore,RES_Wind_Offshore_Transitional,NONEU_Balkan,capaConvResi,1.55E-08
wind_offshore,RES_Wind_Offshore_Transitional,EE,capaConvResi,3.45E-06
wind_offshore,RES_Wind_Offshore_Transitional,LT,capaConvResi,1.23E-05
wind_offshore,RES_Wind_Offshore_Transitional,LV,capaConvResi,5.68E-06
wind_offshore,RES_Wind_Offshore_Transitional,NL,capaConvResi,6.06E-08
wind_offshore,RES_Wind_Offshore_Transitional,BE,capaConvResi,9.42E-07
wind_offshore,RES_Wind_Offshore_Transitional,HR,capaConvResi,1.38E-08
wind_offshore,RES_Wind_Offshore_Transitional,SI,capaConvResi,0.000780013
wind_offshore,RES_Wind_Offshore_Transitional,BG,capaConvResi,1.08E-08
wind_offshore,RES_Wind_Offshore_Transitional,RO,capaConvResi,1.68E-08
wind_offshore,RES_Wind_Offshore_Transitional,TR,capaConvResi,4.84E-07
wind_offshore,RES_Wind_Offshore_Transitional,FR,capaConvResi,1.30E-06
wind_offshore,RES_Wind_Offshore_Transitional,IE,capaConvResi,8.26E-06
wind_offshore,RES_Wind_Offshore_Transitional,UK,capaConvResi,0.698989962
wind_offshore,RES_Wind_Offshore_Transitional,GR,capaConvResi,2.40E-07
wind_offshore,RES_Wind_Offshore_Transitional,PT,capaConvResi,9.40E-08
wind_offshore,RES_Wind_Offshore_Transitional,ES,capaConvResi,1.04E-08
wind_offshore,RES_Wind_Offshore_Transitional,IT,capaConvResi,2.41E-06
wind_offshore,RES_Wind_Offshore_Transitional,PL,capaConvResi,1.83E-07
wind_offshore,RES_Wind_Offshore_Transitional,NO,capaConvResi,5.57E-06
wind_offshore,RES_Wind_Offshore_Transitional,FI,capaConvResi,1.03E-08
wind_offshore,RES_Wind_Offshore_Transitional,SE,capaConvResi,3.46E-07
wind_offshore,RES_Wind_Offshore_Transitional,DK,capaConvResi,1.93E-06
D_Battery_Redox,,AT,capaStOutResi,0.006080491
D_Battery_Redox,,NONEU_Balkan,capaStOutResi,0.003178359
D_Battery_Redox,,EE,capaStOutResi,19.98966688
D_Battery_Redox,,LT,capaStOutResi,5.417562578
D_Battery_Redox,,LV,capaStOutResi,0.017576562
D_Battery_Redox,,NL,capaStOutResi,8.600717971
D_Battery_Redox,,BE,capaStOutResi,0.015930478
D_Battery_Redox,,CZ,capaStOutResi,0.005308984
D_Battery_Redox,,HU,capaStOutResi,0.003086786
D_Battery_Redox,,SK,capaStOutResi,0.005836659
D_Battery_Redox,,HR,capaStOutResi,0.002193415
D_Battery_Redox,,SI,capaStOutResi,0.002376314
D_Battery_Redox,,BG,capaStOutResi,0.003994448
D_Battery_Redox,,RO,capaStOutResi,0.003810857
D_Battery_Redox,,TR,capaStOutResi,0.009097369
D_Battery_Redox,,FR,capaStOutResi,77.07884628
D_Battery_Redox,,LU,capaStOutResi,0.052609404
D_Battery_Redox,,IE,capaStOutResi,28.19922562
D_Battery_Redox,,UK,capaStOutResi,125.609066
D_Battery_Redox,,GR,capaStOutResi,0.006121085
D_Battery_Redox,,PT,capaStOutResi,0.010642222
D_Battery_Redox,,ES,capaStOutResi,0.004832084
D_Battery_Redox,,IT,capaStOutResi,0.001932183
D_Battery_Redox,,PL,capaStOutResi,0.016508582
D_Battery_Redox,,NO,capaStOutResi,0.00358611
D_Battery_Redox,,FI,capaStOutResi,16.33811528
D_Battery_Redox,,SE,capaStOutResi,30.3960441
D_Battery_Redox,,DK,capaStOutResi,12.97137535
D_Battery_Redox,,CH,capaStOutResi,0.004858516
D_Battery_Redox,,AT,capaStSizeResi,0.030402456
D_Battery_Redox,,NONEU_Balkan,capaStSizeResi,0.015891796
D_Battery_Redox,,EE,capaStSizeResi,99.94833442
D_Battery_Redox,,LT,capaStSizeResi,27.08781289
D_Battery_Redox,,LV,capaStSizeResi,0.087882811
D_Battery_Redox,,NL,capaStSizeResi,43.00358985
D_Battery_Redox,,BE,capaStSizeResi,0.079652389
D_Battery_Redox,,CZ,capaStSizeResi,0.026544922
D_Battery_Redox,,HU,capaStSizeResi,0.01543393
D_Battery_Redox,,SK,capaStSizeResi,0.029183293
D_Battery_Redox,,HR,capaStSizeResi,0.010967073
D_Battery_Redox,,SI,capaStSizeResi,0.011881571
D_Battery_Redox,,BG,capaStSizeResi,0.019972242
D_Battery_Redox,,RO,capaStSizeResi,0.019054284
D_Battery_Redox,,TR,capaStSizeResi,0.045486845
D_Battery_Redox,,FR,capaStSizeResi,385.3942314
D_Battery_Redox,,LU,capaStSizeResi,0.263047018
D_Battery_Redox,,IE,capaStSizeResi,140.9961281
D_Battery_Redox,,UK,capaStSizeResi,628.0453302
D_Battery_Redox,,GR,capaStSizeResi,0.030605424
D_Battery_Redox,,PT,capaStSizeResi,0.053211109
D_Battery_Redox,,ES,capaStSizeResi,0.02416042
D_Battery_Redox,,IT,capaStSizeResi,0.009660913
D_Battery_Redox,,PL,capaStSizeResi,0.08254291
D_Battery_Redox,,NO,capaStSizeResi,0.017930551
D_Battery_Redox,,FI,capaStSizeResi,81.69057639
D_Battery_Redox,,SE,capaStSizeResi,151.9802205
D_Battery_Redox,,DK,capaStSizeResi,64.85687676
D_Battery_Redox,,CH,capaStSizeResi,0.024292581
D_Battery_Redox,,AT,capaStInResi,0.006080491
D_Battery_Redox,,NONEU_Balkan,capaStInResi,0.003178359
D_Battery_Redox,,EE,capaStInResi,19.98966688
D_Battery_Redox,,LT,capaStInResi,5.417562578
D_Battery_Redox,,LV,capaStInResi,0.017576562
D_Battery_Redox,,NL,capaStInResi,8.600717971
D_Battery_Redox,,BE,capaStInResi,0.015930478
D_Battery_Redox,,CZ,capaStInResi,0.005308984
D_Battery_Redox,,HU,capaStInResi,0.003086786
D_Battery_Redox,,SK,capaStInResi,0.005836659
D_Battery_Redox,,HR,capaStInResi,0.002193415
D_Battery_Redox,,SI,capaStInResi,0.002376314
D_Battery_Redox,,BG,capaStInResi,0.003994448
D_Battery_Redox,,RO,capaStInResi,0.003810857
D_Battery_Redox,,TR,capaStInResi,0.009097369
D_Battery_Redox,,FR,capaStInResi,77.07884628
D_Battery_Redox,,LU,capaStInResi,0.052609404
D_Battery_Redox,,IE,capaStInResi,28.19922562
D_Battery_Redox,,UK,capaStInResi,125.609066
D_Battery_Redox,,GR,capaStInResi,0.006121085
D_Battery_Redox,,PT,capaStInResi,0.010642222
D_Battery_Redox,,ES,capaStInResi,0.004832084
D_Battery_Redox,,IT,capaStInResi,0.001932183
D_Battery_Redox,,PL,capaStInResi,0.016508582
D_Battery_Redox,,NO,capaStInResi,0.00358611
D_Battery_Redox,,FI,capaStInResi,16.33811528
D_Battery_Redox,,SE,capaStInResi,30.3960441
D_Battery_Redox,,DK,capaStInResi,12.97137535
D_Battery_Redox,,CH,capaStInResi,0.004858516
P_Gas_CCS,,AT,capaConvResi,2.86E-05
P_Gas_CCS,,NONEU_Balkan,capaConvResi,3.15E-05
P_Gas_CCS,,EE,capaConvResi,3.78E-05
P_Gas_CCS,,LT,capaConvResi,3.63E-05
P_Gas_CCS,,LV,capaConvResi,3.16E-05
P_Gas_CCS,,NL,capaConvResi,2.58E-05
P_Gas_CCS,,BE,capaConvResi,3.42E-05
P_Gas_CCS,,CZ,capaConvResi,3.20E-05
P_Gas_CCS,,HU,capaConvResi,3.33E-05
P_Gas_CCS,,SK,capaConvResi,2.69E-05
P_Gas_CCS,,HR,capaConvResi,3.05E-05
P_Gas_CCS,,SI,capaConvResi,3.24E-05
P_Gas_CCS,,BG,capaConvResi,3.07E-05
P_Gas_CCS,,RO,capaConvResi,2.78E-05
P_Gas_CCS,,TR,capaConvResi,3.34E-05
P_Gas_CCS,,FR,capaConvResi,3.25E-05
P_Gas_CCS,,LU,capaConvResi,4.07E-05
P_Gas_CCS,,IE,capaConvResi,2.77E-05
P_Gas_CCS,,UK,capaConvResi,3.11E-05
P_Gas_CCS,,GR,capaConvResi,2.77E-05
P_Gas_CCS,,PT,capaConvResi,2.46E-05
P_Gas_CCS,,ES,capaConvResi,2.83E-05
P_Gas_CCS,,IT,capaConvResi,2.75E-05
P_Gas_CCS,,PL,capaConvResi,3.55E-05
