region_1,region_2,technology_1,parameter_1,value_1
DE,DE12,pumpedHydro,capaStInResi,0.0602
DE,DEA5,pumpedHydro,capaStInResi,0.256
DE,DED2,pumpedHydro,capaStInResi,0.158
DE,DED4,pumpedHydro,capaStInResi,0.804
DE,DEF0,pumpedHydro,capaStInResi,0.1068
DE,DEG0,pumpedHydro,capaStInResi,2.502
DE,DEB2,pumpedHydro,capaStInResi,0.925
DE,DE21,pumpedHydro,capaStInResi,0.11
DE,DE23,pumpedHydro,capaStInResi,0.08
DE,DE26,pumpedHydro,capaStInResi,0.2296
DE,DE73,pumpedHydro,capaStInResi,0.8722
DE,DE91,pumpedHydro,capaStInResi,0.188
DE,DE13,pumpedHydro,capaStInResi,2.0782
DE,DE14,pumpedHydro,capaStInResi,0.112
Germany_,DE11,ror,capaConvResi,0.097652572
Germany_,DE12,ror,capaConvResi,0.274916166
Germany_,DE94,ror,capaConvResi,0.00119141
Germany_,DEA1,ror,capaConvResi,0.025668606
Germany_,DEA4,ror,capaConvResi,0.011478303
Germany_,DEA5,ror,capaConvResi,0.084411688
Germany_,DEB3,ror,capaConvResi,0.001275955
Germany_,DED2,ror,capaConvResi,0.16049692
Germany_,DED4,ror,capaConvResi,0.061815853
Germany_,DED5,ror,capaConvResi,0.006155227
Germany_,DEE0,ror,capaConvResi,0.026085
Germany_,DEF0,ror,capaConvResi,0.004573191
Germany_,DEG0,ror,capaConvResi,0.031635
Germany_,DE92,ror,capaConvResi,0.017944587
Germany_,DE93,ror,capaConvResi,0.011146339
Germany_,DEA2,ror,capaConvResi,0.036097288
Germany_,DEB1,ror,capaConvResi,0.053491484
Germany_,DEC0_,ror,capaConvResi,0.011166
Germany_,DEA3,ror,capaConvResi,0.003691166
Germany_,DEB2,ror,capaConvResi,0.151803561
Germany_,DE21,ror,capaConvResi,0.882979953
Germany_,DE22,ror,capaConvResi,0.477370707
Germany_,DE23,ror,capaConvResi,0.057572697
Germany_,DE25,ror,capaConvResi,0.019954481
Germany_,DE26,ror,capaConvResi,0.100889571
Germany_,DE40,ror,capaConvResi,0.004657
Germany_,DE50,ror,capaConvResi,0.01
Germany_,DE60,ror,capaConvResi,0.000299809
Germany_,DE71,ror,capaConvResi,0.025913449
Germany_,DE72,ror,capaConvResi,0.012354225
Germany_,DE73,ror,capaConvResi,0.044737326
Germany_,DE80,ror,capaConvResi,0.002977
Germany_,DE91,ror,capaConvResi,0.044780664
Germany_,DE13,ror,capaConvResi,0.301251252
Germany_,DE24,ror,capaConvResi,0.034058114
Germany_,DE27,ror,capaConvResi,0.527639478
Germany_,DE14,ror,capaConvResi,0.060695011
