region_1,region_2,technology_1,parameter_1,value_1
DE,DE12,pumpedHydro,capaStInResi,0.0602
DE,DEA5,pumpedHydro,capaStInResi,0.256
DE,DED2,pumpedHydro,capaStInResi,0.158
DE,DED4,pumpedHydro,capaStInResi,0.804
DE,DEF0,pumpedHydro,capaStInResi,0.1068
DE,DEG0,pumpedHydro,capaStInResi,2.502
DE,DEB2,pumpedHydro,capaStInResi,0.925
DE,DE21,pumpedHydro,capaStInResi,0.11
DE,DE23,pumpedHydro,capaStInResi,0.08
DE,DE26,pumpedHydro,capaStInResi,0.2296
DE,DE73,pumpedHydro,capaStInResi,0.8722
DE,DE91,pumpedHydro,capaStInResi,0.188
DE,DE13,pumpedHydro,capaStInResi,2.0782
DE,DE14,pumpedHydro,capaStInResi,0.112
DE,DE11,ror,capaConvResi,0.097652572
DE,DE12,ror,capaConvResi,0.274916166
DE,DE94,ror,capaConvResi,0.00119141
DE,DEA1,ror,capaConvResi,0.025668606
DE,DEA4,ror,capaConvResi,0.011478303
DE,DEA5,ror,capaConvResi,0.084411688
DE,DEB3,ror,capaConvResi,0.001275955
DE,DED2,ror,capaConvResi,0.16049692
DE,DED4,ror,capaConvResi,0.061815853
DE,DED5,ror,capaConvResi,0.006155227
DE,DEE0,ror,capaConvResi,0.026085
DE,DEF0,ror,capaConvResi,0.004573191
DE,DEG0,ror,capaConvResi,0.031635
DE,DE92,ror,capaConvResi,0.017944587
DE,DE93,ror,capaConvResi,0.011146339
DE,DEA2,ror,capaConvResi,0.036097288
DE,DEB1,ror,capaConvResi,0.053491484
DE,DEC0_,ror,capaConvResi,0.011166
DE,DEA3,ror,capaConvResi,0.003691166
DE,DEB2,ror,capaConvResi,0.151803561
DE,DE21,ror,capaConvResi,0.882979953
DE,DE22,ror,capaConvResi,0.477370707
DE,DE23,ror,capaConvResi,0.057572697
DE,DE25,ror,capaConvResi,0.019954481
DE,DE26,ror,capaConvResi,0.100889571
DE,DE40,ror,capaConvResi,0.004657
DE,DE50,ror,capaConvResi,0.01
DE,DE60,ror,capaConvResi,0.000299809
DE,DE71,ror,capaConvResi,0.025913449
DE,DE72,ror,capaConvResi,0.012354225
DE,DE73,ror,capaConvResi,0.044737326
DE,DE80,ror,capaConvResi,0.002977
DE,DE91,ror,capaConvResi,0.044780664
DE,DE13,ror,capaConvResi,0.301251252
DE,DE24,ror,capaConvResi,0.034058114
DE,DE27,ror,capaConvResi,0.527639478
DE,DE14,ror,capaConvResi,0.060695011
