carrier_1,region_3,region_3_1,parameter_1,value_1,parameter_2,value_2,length
Power,DE91,DEA4,capaExcUp,10,lossExc,0.0108903,108.903
Power,DE91,DE93,capaExcUp,10,lossExc,0.0107341,107.341
Power,DE91,DEE0,capaExcUp,10,lossExc,0.0092332,92.332
Power,DE91,DEG0,capaExcUp,10,lossExc,0.0135573,135.573
Power,DE91,DE73,capaExcUp,10,lossExc,0.0127404,127.404
Power,DE91,DE92,capaExcUp,10,lossExc,0.0077665,77.665
Power,DEA4,DE73,capaExcUp,10,lossExc,0.0109012,109.012
Power,DEA4,DE92,capaExcUp,10,lossExc,0.0065115,65.115
Power,DEA4,DEA3,capaExcUp,10,lossExc,0.0094818,94.818
Power,DEA4,DEA5,capaExcUp,10,lossExc,0.0088333,88.333
Power,DEA4,DE94,capaExcUp,10,lossExc,0.0127962,127.962
Power,DE27,DE11,capaExcUp,10,lossExc,0.0115383,115.383
Power,DE27,DE21,capaExcUp,10,lossExc,0.0090751,90.751
Power,DE27,DE25,capaExcUp,10,lossExc,0.0133029,133.029
Power,DE27,DE14,capaExcUp,10,lossExc,0.007627,76.27
Power,DE71,DE12,capaExcUp,10,lossExc,0.0116606,116.606
Power,DE71,DEB3,capaExcUp,10,lossExc,0.0088925,88.925
Power,DE71,DE26,capaExcUp,10,lossExc,0.008466,84.66
Power,DE71,DE72,capaExcUp,10,lossExc,0.0072573,72.573
Power,DE71,DE73,capaExcUp,10,lossExc,0.0120672,120.672
Power,DE71,DEB1,capaExcUp,10,lossExc,0.009172,91.72
Power,DE92,DE93,capaExcUp,10,lossExc,0.0080677,80.677
Power,DE92,DE50,capaExcUp,10,lossExc,0.0088246,88.246
Power,DE92,DE94,capaExcUp,10,lossExc,0.0121585,121.585
Power,DEA5,DE72,capaExcUp,10,lossExc,0.0087036,87.036
Power,DEA5,DE73,capaExcUp,10,lossExc,0.0106305,106.305
Power,DEA5,DEA1,capaExcUp,10,lossExc,0.0097991,97.991
Power,DEA5,DEA3,capaExcUp,10,lossExc,0.0081525,81.525
Power,DEA5,DEA2,capaExcUp,10,lossExc,0.0098908,98.908
Power,DEA5,DEB1,capaExcUp,10,lossExc,0.0122435,122.435
Power,DE25,DE24,capaExcUp,10,lossExc,0.0088833,88.833
Power,DE25,DE11,capaExcUp,10,lossExc,0.0092333,92.333
Power,DE25,DE23,capaExcUp,10,lossExc,0.0096932,96.932
Power,DE25,DE26,capaExcUp,10,lossExc,0.0095231,95.231
Power,DE25,DE21,capaExcUp,10,lossExc,0.0155595,155.595
Power,DE72,DE73,capaExcUp,10,lossExc,0.0059993,59.993
Power,DE72,DEB1,capaExcUp,10,lossExc,0.0104157,104.157
Power,DEB1,DEC0,capaExcUp,10,lossExc,0.0103881,103.881
Power,DEB1,DEB3,capaExcUp,10,lossExc,0.00939,93.9
Power,DEB1,DEA2,capaExcUp,10,lossExc,0.008103,81.03
Power,DEB1,DEB2,capaExcUp,10,lossExc,0.0065645,65.645
Power,DE94,DE93,capaExcUp,10,lossExc,0.0151943,151.943
Power,DE94,DE50,capaExcUp,10,lossExc,0.0070704,70.704
Power,DE94,DEA3,capaExcUp,10,lossExc,0.0110599,110.599
Power,DE40,DE30,capaExcUp,10,lossExc,0.0107158,107.158
Power,DE40,DE93,capaExcUp,10,lossExc,0.0140967,140.967
Power,DE40,DE80,capaExcUp,10,lossExc,0.0073481,73.481
Power,DE40,DED2,capaExcUp,10,lossExc,0.0251705,251.705
Power,DE40,DEE0,capaExcUp,10,lossExc,0.0123012,123.012
Power,DE40,DED5,capaExcUp,10,lossExc,0.0195397,195.397
Power,DE93,DE80,capaExcUp,10,lossExc,0.0180237,180.237
Power,DE93,DEF0,capaExcUp,10,lossExc,0.0121657,121.657
Power,DE93,DEE0,capaExcUp,10,lossExc,0.015706,157.06
Power,DE93,DE60,capaExcUp,10,lossExc,0.006058,60.58
Power,DE93,DE50,capaExcUp,10,lossExc,0.0084991,84.991
Power,DEA3,DEA1,capaExcUp,10,lossExc,0.0079662,79.662
Power,DE24,DED4,capaExcUp,10,lossExc,0.012701,127.01
Power,DE24,DEG0,capaExcUp,10,lossExc,0.0098522,98.522
Power,DE24,DE23,capaExcUp,10,lossExc,0.0089779,89.779
Power,DE24,DE26,capaExcUp,10,lossExc,0.0103508,103.508
Power,DEB2,DEC0,capaExcUp,10,lossExc,0.0067482,67.482
Power,DEB2,DEA2,capaExcUp,10,lossExc,0.009509,95.09
Power,DE80,DEF0,capaExcUp,10,lossExc,0.017867,178.67
Power,DE14,DE12,capaExcUp,10,lossExc,0.0115765,115.765
Power,DE14,DE11,capaExcUp,10,lossExc,0.0098619,98.619
Power,DE14,DE13,capaExcUp,10,lossExc,0.0096519,96.519
Power,DE21,DE23,capaExcUp,10,lossExc,0.0145954,145.954
Power,DE21,DE22,capaExcUp,10,lossExc,0.0102536,102.536
Power,DE13,DE12,capaExcUp,10,lossExc,0.0115155,115.155
Power,DE12,DE11,capaExcUp,10,lossExc,0.0069586,69.586
Power,DE12,DEB3,capaExcUp,10,lossExc,0.0072235,72.235
Power,DE12,DE26,capaExcUp,10,lossExc,0.0143957,143.957
Power,DE73,DEG0,capaExcUp,10,lossExc,0.0111201,111.201
Power,DE73,DE26,capaExcUp,10,lossExc,0.0120627,120.627
Power,DE11,DE26,capaExcUp,10,lossExc,0.0113222,113.222
Power,DE22,DE23,capaExcUp,10,lossExc,0.0092209,92.209
Power,DEC0,DEB3,capaExcUp,10,lossExc,0.0072358,72.358
Power,DEE0,DEG0,capaExcUp,10,lossExc,0.0131822,131.822
Power,DEE0,DED5,capaExcUp,10,lossExc,0.0098904,98.904
Power,DED4,DED2,capaExcUp,10,lossExc,0.010485,104.85
Power,DED4,DEG0,capaExcUp,10,lossExc,0.0127759,127.759
Power,DED4,DED5,capaExcUp,10,lossExc,0.0070364,70.364
Power,DEA2,DEA1,capaExcUp,10,lossExc,0.0068812,68.812
Power,DEF0,DE60,capaExcUp,10,lossExc,0.0061504,61.504
Power,DEG0,DED5,capaExcUp,10,lossExc,0.0125966,125.966
Power,DEG0,DE26,capaExcUp,10,lossExc,0.012554,125.54
