carrier_1,region_2,region_2,parameter_1,value_1
electricity_central,DEA5,DEA3,capaExcResi,18.73
electricity_central,DEA3,DE94,capaExcResi,10.95
electricity_central,DEA1,DEA3,capaExcResi,8.27
electricity_central,DEA1,DEA2,capaExcResi,22.85
electricity_central,DEA1,DEB1,capaExcResi,3.4
electricity_central,DEA5,DEA1,capaExcResi,6.08
electricity_central,DEA5,DEB1,capaExcResi,4.87
electricity_central,DE72,DEB1,capaExcResi,8.5
electricity_central,DEB3,DE12,capaExcResi,3.66
electricity_central,DEB2,DEC0,capaExcResi,3.89
electricity_central,DE11,DE71,capaExcResi,4.38
electricity_central,DE71,DEB3,capaExcResi,4.15
electricity_central,DEC0,DEB3,capaExcResi,4.38
electricity_central,DE12,DE13,capaExcResi,6.08
electricity_central,DE11,DE12,capaExcResi,6.08
electricity_central,DE14,DE11,capaExcResi,17.98
electricity_central,DEA5,DEA4,capaExcResi,1.7
electricity_central,DE73,DEA4,capaExcResi,7.78
electricity_central,DE91,DE92,capaExcResi,14.12
electricity_central,DE92,DEA4,capaExcResi,5.1
electricity_central,DE92,DE94,capaExcResi,12.39
electricity_central,DE93,DE94,capaExcResi,3.89
electricity_central,DE94,DE50,capaExcResi,3.89
electricity_central,DE14,DE13,capaExcResi,5.59
electricity_central,DEB2,DEA2,capaExcResi,3.4
electricity_central,DE14,DE27,capaExcResi,7.29
electricity_central,DE72,DE71,capaExcResi,5.1
electricity_central,DE26,DE71,capaExcResi,7.78
electricity_central,DE25,DE26,capaExcResi,4.87
electricity_central,DE26,DE12,capaExcResi,1.7
electricity_central,DE24,DE26,capaExcResi,3.4
electricity_central,DE25,DE24,capaExcResi,3.4
electricity_central,DE24,DE23,capaExcResi,2.19
electricity_central,DE23,DE22,capaExcResi,2.19
electricity_central,DE25,DE21,capaExcResi,4.38
electricity_central,DE22,DE21,capaExcResi,11.67
electricity_central,DE40,DEE0,capaExcResi,13.6
electricity_central,DE40,DED2,capaExcResi,10.2
electricity_central,DED5,DEG0,capaExcResi,1.47
electricity_central,DEG0,DE73,capaExcResi,3.4
electricity_central,DED4,DED5,capaExcResi,0.49
electricity_central,DED4,DEG0,capaExcResi,1.47
electricity_central,DED2,DED4,capaExcResi,6.8
electricity_central,DE80,DE40,capaExcResi,7.78
electricity_central,DEE0,DE80,capaExcResi,2.68
electricity_central,DEA5,DE94,capaExcResi,3.4
electricity_central,DEA3,DEA4,capaExcResi,1.7
electricity_central,DE73,DE71,capaExcResi,3.4
electricity_central,DEF0,DE60,capaExcResi,6.8
electricity_central,DE93,DEA4,capaExcResi,1.7
electricity_central,DEE0,DEG0,capaExcResi,3.4
electricity_central,DE73,DEA5,capaExcResi,3.4
electricity_central,DE40,DE30,capaExcResi,14.58
electricity_central,DE92,DE93,capaExcResi,2.68
electricity_central,DEB1,DEA2,capaExcResi,9.97
electricity_central,DE80,DE30,capaExcResi,1.7
electricity_central,DE93,DEF0,capaExcResi,11.18
electricity_central,DE30,DEE0,capaExcResi,1.7
electricity_central,DE60,DE93,capaExcResi,3.4
electricity_central,DE27,DE21,capaExcResi,3.4
electricity_central,DE26,DE11,capaExcResi,5.1
electricity_central,DE73,DE72,capaExcResi,3.4
electricity_central,DED2,DED5,capaExcResi,3.4
electricity_central,DE71,DEB1,capaExcResi,4.38
electricity_central,DE91,DEE0,capaExcResi,3.4
electricity_central,DEF0,DE80,capaExcResi,3.4
electricity_central,DE93,DE91,capaExcResi,3.4
electricity_central,DE25,DE23,capaExcResi,0.49
electricity_central,DEB1,DEB3,capaExcResi,0.49
electricity_central,DE93,DE50,capaExcResi,0.49
electricity_central,DEB2,DEB1,capaExcResi,0.49
electricity_central,DEA2,DEA5,capaExcResi,0.98
electricity_central,DE91,DE73,capaExcResi,4.38
electricity_central,DE71,DE12,capaExcResi,1.96
electricity_central,DE22,DE25,capaExcResi,0.98
electricity_central,DE94,DEA4,capaExcResi,3.89
electricity_central,DEG0,DE24,capaExcResi,6.8
electricity_central,DE94,DEA1,capaExcResi,3.4
