region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,length
AT,AT,CH,CH,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0203,406.18
AT,AT,CZ,CZ,electricity,electricity_central,costExpExc,1500,capaExcUp,30,costOprExc,22.5,lossExc,0.014,280.27
AT,,DE,,electricity,electricity_central,costExpExc,2500,capaExcUp,30,costOprExc,37.5,lossExc,0.0274,547.31
AT,AT,HU,HU,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0226,451.11
AT,AT,IT,IT,electricity,electricity_central,costExpExc,1500,capaExcUp,30,costOprExc,22.5,lossExc,0.0315,630.98
AT,AT,SI,SI,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0103,205.94
AT,AT,SK,SK,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0239,477.88
BE,,DE,,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0228,456.19
BE,BE,FR,FR,electricity,electricity_central,costExpExc,500,capaExcUp,30,costOprExc,7.5,lossExc,0.0253,506.55
BE,BE,LU,LU,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0063,126.98
BE,BE,NL,NL,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0089,178.45
BE,BE,NO,NO,electricity,electricity_central,costExpExc,1500,capaExcUp,5,costOprExc,22.5,lossExc,0.05,1665.46
BE,BE,UK,UK,electricity,electricity_central,costExpExc,750,capaExcUp,5,costOprExc,11.25,lossExc,0.0254,847.94
BG,BG,GR,GR,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0246,491.09
BG,BG,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0308,615.86
BG,BG,RO,RO,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0194,388.21
BG,BG,TR,TR,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0356,711.89
CH,,DE,,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0311,621.28
CH,CH,FR,FR,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0261,522
CH,CH,IT,IT,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0301,602.15
CZ,,DE,,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.021,419.23
CZ,CZ,PL,PL,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0156,311
CZ,CZ,SK,SK,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0168,336.98
DE,,DK,,electricity,electricity_central,costExpExc,1625,capaExcUp,30,costOprExc,24.375,lossExc,0.0183,366.37
DE,,FR,,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.046,919.01
DE,,LU,,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0209,418.15
DE,,NL,,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0192,384.7
DE,,NO,,electricity,electricity_central,costExpExc,2500,capaExcUp,5,costOprExc,37.5,lossExc,0.0425,1415.58
DE,,PL,,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0282,564.22
DE,,SE,,electricity,electricity_central,costExpExc,1500,capaExcUp,5,costOprExc,22.5,lossExc,0.0306,1019.03
DE,,UK,,electricity,electricity_central,costExpExc,2500,capaExcUp,5,costOprExc,37.5,lossExc,0.0319,1062.65
DK,DK,NL,NL,electricity,electricity_central,costExpExc,1500,capaExcUp,30,costOprExc,22.5,lossExc,0.0265,530.36
