timestep_1,region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter_1,value_1,parameter_2,value_2,comment
all,AT,AT,SK,SK,electricity,electricity_central,capaExcResiDir,11.62857143,expExcFix,0,values from previous computation were increased by 1/0.7 to account for n-1 criterium
all,NONEU_Balkan,NONEU_Balkan,IT,IT,electricity,electricity_central,capaExcResiDir,34.68571429,expExcFix,0,
all,EE,EE,SE,SE,electricity,electricity_central,capaExcResiDir,0.014285714,expExcFix,0,
all,LT,LT,PL,PL,electricity,electricity_central,capaExcResiDir,10.07142857,expExcFix,0,
all,LT,LT,SE,SE,electricity,electricity_central,capaExcResiDir,0.014285714,expExcFix,0,
all,LV,LV,SE,SE,electricity,electricity_central,capaExcResiDir,0.014285714,expExcFix,0,
all,NL,NL,DK,DK,electricity,electricity_central,capaExcResiDir,2.028571429,expExcFix,0,
all,BE,BE,LU,LU,electricity,electricity_central,capaExcResiDir,10.77142857,expExcFix,0,
all,BE,BE,UK,UK,electricity,electricity_central,capaExcResiDir,31.72857143,expExcFix,0,
all,BE,BE,NO,NO,electricity,electricity_central,capaExcResiDir,11.48571429,expExcFix,0,
all,HU,HU,SI,SI,electricity,electricity_central,capaExcResiDir,17.28571429,expExcFix,0,
all,HR,HR,IT,IT,electricity,electricity_central,capaExcResiDir,9.828571429,expExcFix,0,
all,RO,RO,TR,TR,electricity,electricity_central,capaExcResiDir,32.1,expExcFix,0,
all,FR,FR,LU,LU,electricity,electricity_central,capaExcResiDir,33.15714286,expExcFix,0,
all,UK,UK,ES,ES,electricity,electricity_central,capaExcResiDir,7.142857143,expExcFix,0,
all,UK,UK,NO,NO,electricity,electricity_central,capaExcResiDir,11.78571429,expExcFix,0,
all,UK,UK,DK,DK,electricity,electricity_central,capaExcResiDir,1.942857143,expExcFix,0,
all,ES,ES,IT,IT,electricity,electricity_central,capaExcResiDir,7.142857143,expExcFix,0,
all,PL,PL,DK,DK,electricity,electricity_central,capaExcResiDir,0.028571429,expExcFix,0,
all,NO,NO,FI,FI,electricity,electricity_central,capaExcResiDir,3.328571429,expExcFix,0,
all,AT,AT,CZ,CZ,electricity,electricity_central,capaExcResiDir,2.571428571,expExcFix,0,
all,AT,AT,HU,HU,electricity,electricity_central,capaExcResiDir,2.728571429,expExcFix,0,
all,AT,AT,SI,SI,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,AT,AT,IT,IT,electricity,electricity_central,capaExcResiDir,0.2,expExcFix,0,
all,AT,AT,CH,CH,electricity,electricity_central,capaExcResiDir,35.1,expExcFix,0,
all,NONEU_Balkan,NONEU_Balkan,HU,HU,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,NONEU_Balkan,NONEU_Balkan,HR,HR,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,NONEU_Balkan,NONEU_Balkan,BG,BG,electricity,electricity_central,capaExcResiDir,28.51428571,expExcFix,0,
all,NONEU_Balkan,NONEU_Balkan,RO,RO,electricity,electricity_central,capaExcResiDir,12.84285714,expExcFix,0,
all,NONEU_Balkan,NONEU_Balkan,GR,GR,electricity,electricity_central,capaExcResiDir,28.55714286,expExcFix,0,
all,EE,EE,LV,LV,electricity,electricity_central,capaExcResiDir,14.01428571,expExcFix,0,
all,EE,EE,FI,FI,electricity,electricity_central,capaExcResiDir,11.17142857,expExcFix,0,
all,LT,LT,LV,LV,electricity,electricity_central,capaExcResiDir,14.78571429,expExcFix,0,
all,NL,NL,BE,BE,electricity,electricity_central,capaExcResiDir,8.4,expExcFix,0,
all,NL,NL,UK,UK,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,NL,NL,NO,NO,electricity,electricity_central,capaExcResiDir,2,expExcFix,0,
