carrier_1,carrier_2,region_1,region_2,region_1,region_2,parameter_1,value_1,parameter_2,value_2,length
gas,hydrogen,FR,FR,CH,CH,capaExcResiDir,15.5,costOprExc,2.74,522
gas,hydrogen,FR,FR,ES,ES,capaExcResiDir,9.8,costOprExc,3.85,734.9
gas,hydrogen,AT,AT,HU,HU,capaExcResiDir,7.7,costOprExc,2.36,451.11
gas,hydrogen,AT,AT,IT,IT,capaExcResiDir,68,costOprExc,3.31,630.98
gas,hydrogen,AT,AT,SI,SI,capaExcResiDir,6.7,costOprExc,1.08,205.94
gas,hydrogen,AT,AT,SK,SK,capaExcResiDir,14.7,costOprExc,2.5,477.88
gas,hydrogen,BE,BE,FR,FR,capaExcResiDir,51.7,costOprExc,2.66,506.55
gas,hydrogen,BE,BE,LU,LU,capaExcResiDir,2.3,costOprExc,0.67,126.98
gas,hydrogen,BE,BE,NL,NL,capaExcResiDir,23.4,costOprExc,0.94,178.45
gas,hydrogen,BE,BE,UK,UK,capaExcResiDir,47.8,costOprExc,4.44,847.94
gas,hydrogen,BG,BG,RO,RO,capaExcResiDir,0.9,costOprExc,2.03,388.21
gas,hydrogen,CH,CH,IT,IT,capaExcResiDir,37,costOprExc,3.16,602.15
gas,hydrogen,CZ,CZ,PL,PL,capaExcResiDir,1.7,costOprExc,1.63,311
gas,hydrogen,CZ,CZ,SK,SK,capaExcResiDir,41.4,costOprExc,1.77,336.98
gas,hydrogen,DK,DK,NL,NL,capaExcResiDir,23.5,costOprExc,2.78,530.36
gas,hydrogen,DK,DK,SE,SE,capaExcResiDir,5.2,costOprExc,3.62,691.57
gas,hydrogen,EE,EE,LV,LV,capaExcResiDir,11.9,costOprExc,1.1,209.93
gas,hydrogen,ES,ES,FR,FR,capaExcResiDir,13.4,costOprExc,3.85,734.9
gas,hydrogen,ES,ES,PT,PT,capaExcResiDir,8.6,costOprExc,4.64,884.35
gas,hydrogen,HR,HR,HU,HU,capaExcResiDir,4.5,costOprExc,2.21,421.22
gas,hydrogen,HU,HU,HR,HR,capaExcResiDir,4.6,costOprExc,2.21,421.22
gas,hydrogen,HU,HU,NONEU_Balkan,NONEU_Balkan,capaExcResiDir,8.4,costOprExc,1.79,340.77
gas,hydrogen,HU,HU,RO,RO,capaExcResiDir,3.1,costOprExc,2.3,439.31
gas,hydrogen,IE,IE,UK,UK,capaExcResiDir,5.3,costOprExc,2.2,419.41
gas,hydrogen,IT,IT,AT,AT,capaExcResiDir,68,costOprExc,3.31,630.98
gas,hydrogen,IT,IT,SI,SI,capaExcResiDir,1.7,costOprExc,2.61,498.07
gas,hydrogen,LT,LT,LV,LV,capaExcResiDir,4,costOprExc,1.03,196.15
gas,hydrogen,LV,LV,EE,EE,capaExcResiDir,10.9,costOprExc,1.1,209.93
gas,hydrogen,LV,LV,LT,LT,capaExcResiDir,3.9,costOprExc,1.03,196.15
gas,hydrogen,NL,NL,BE,BE,capaExcResiDir,47.4,costOprExc,0.94,178.45
gas,hydrogen,NL,NL,UK,UK,capaExcResiDir,29.4,costOprExc,3.9,744.73
gas,hydrogen,NO,NO,BE,BE,capaExcResiDir,29,costOprExc,8.73,1665.46
gas,hydrogen,NO,NO,FR,FR,capaExcResiDir,33.9,costOprExc,8.73,1665.46
gas,hydrogen,NO,NO,NL,NL,capaExcResiDir,31.4,costOprExc,7.8,1487.94
gas,hydrogen,NO,NO,UK,UK,capaExcResiDir,89.1,costOprExc,7.16,1366.79
gas,hydrogen,PT,PT,ES,ES,capaExcResiDir,4.8,costOprExc,4.64,884.35
gas,hydrogen,SI,SI,HR,HR,capaExcResiDir,3.2,costOprExc,1.09,208.32
gas,hydrogen,SI,SI,IT,IT,capaExcResiDir,1.3,costOprExc,2.61,498.07
gas,hydrogen,SK,SK,AT,AT,capaExcResiDir,91.5,costOprExc,2.5,477.88
gas,hydrogen,SK,SK,CZ,CZ,capaExcResiDir,30.9,costOprExc,1.77,336.98
gas,hydrogen,SK,SK,HU,HU,capaExcResiDir,7.5,costOprExc,0.97,184.75
gas,hydrogen,UK,UK,BE,BE,capaExcResiDir,37.5,costOprExc,4.44,847.94
gas,hydrogen,UK,UK,IE,IE,capaExcResiDir,20.3,costOprExc,2.2,419.41
gas,hydrogen,DE,,AT,,capaExcResi,33.85,costOprExc,2.87,547.31
gas,hydrogen,DE,,CZ,,capaExcResi,2.24,costOprExc,2.2,419.23
gas,hydrogen,DE,,NO,,capaExcResi,19.41832146,costOprExc,7.42,1415.58
gas,hydrogen,DE,,NL,,capaExcResi,9.8,costOprExc,2.02,384.7
gas,hydrogen,DE,,DK,,capaExcResi,5.833062184,costOprExc,1.92,366.37
