carrier_1,carrier_2,region_1,parameter,value
,,,rateDisc,0
,,,rateExpConv,0.02
,,,rateExpStIn,0.02
,,,rateExpStOut,0.02
,,,rateExpStSize,0.02
,,,rateExpExc,0.02
biomass,,,trdBuyPrc,0
biomass,,AT,useUp,63944.22419
biomass,,BE,useUp,48204.98445
biomass,,BG,useUp,37028.28031
biomass,,CH,useUp,67451.44797
biomass,,CZ,useUp,35348.80416
biomass,,DE,useUp,90831.87868
biomass,,DK,useUp,28460.63883
biomass,,EE,useUp,2062.458133
biomass,,ES,useUp,33023.58912
biomass,,FI,useUp,15024.67027
biomass,,FR,useUp,37165.1059
biomass,,GR,useUp,4631.024798
biomass,,HR,useUp,10190.79298
biomass,,HU,useUp,11255.14168
biomass,,IE,useUp,38924.38024
biomass,,IT,useUp,66492.51212
biomass,,LT,useUp,1484.8273
biomass,,LU,useUp,248.9747597
biomass,,LV,useUp,1965.247233
biomass,,NL,useUp,34585.33057
biomass,,NO,useUp,63668.18052
biomass,,NONEU_Balkan,useUp,137.9728918
biomass,,PL,useUp,34668.91285
biomass,,PT,useUp,18134.93617
biomass,,RO,useUp,32632.35578
biomass,,SE,useUp,15845.99785
biomass,,SI,useUp,33067.26513
biomass,,SK,useUp,40969.14482
biomass,,TR,useUp,61445.69604
biomass,,UK,useUp,43004.72496
electricity,electricity_central,,costLss,13000
gas,hydrogen,,costLss,13000
gas,synthGas,,costLss,13000
heatResidental,,,,13000
heatIndustry,,,,13000
mobility,,,,13000
