region_2,technology_1,technology_2,parameter,value
DE11,openspace,openspace_a,capaConvUp,1.49510246112416
DE11,openspace,openspace_b,capaConvUp,0.899693061760342
DE12,openspace,openspace_a,capaConvUp,0.24985535511294465
DE12,openspace,openspace_b,capaConvUp,1.0262274289100892
DE94,openspace,openspace_a,capaConvUp,9.232937546657434
DE94,openspace,openspace_b,capaConvUp,0.8796009827257748
DEA1,openspace,openspace_a,capaConvUp,0.9289077601713853
DEA1,openspace,openspace_b,capaConvUp,0.220862238357691
DEA4,openspace,openspace_a,capaConvUp,8.049842776487603
DEA4,openspace,openspace_b,capaConvUp,0.2959463594173772
DEA5,openspace,openspace_a,capaConvUp,0.575652052501243
DEA5,openspace,openspace_b,capaConvUp,0.44801790170049477
DEB3,openspace,openspace_a,capaConvUp,1.1178527233134004
DEB3,openspace,openspace_b,capaConvUp,0.5088452874883138
DED2,openspace,openspace_a,capaConvUp,1.61695294000995
DED2,openspace,openspace_b,capaConvUp,0.5390442667852311
DED4,openspace,openspace_a,capaConvUp,0.46597368520734406
DED4,openspace,openspace_b,capaConvUp,1.0677531012717907
DED5,openspace,openspace_a,capaConvUp,0.18980535454789782
DED5,openspace,openspace_b,capaConvUp,0.7933868350592638
DEE0,openspace,openspace_a,capaConvUp,2.616141517426545
DEE0,openspace,openspace_b,capaConvUp,16.577086175025993
DEF0,openspace,openspace_a,capaConvUp,1.6522276756427248
DEF0,openspace,openspace_b,capaConvUp,3.98646732736944
DEG0,openspace,openspace_a,capaConvUp,0.7980635733137268
DEG0,openspace,openspace_b,capaConvUp,9.24720546686213
DE92,openspace,openspace_a,capaConvUp,15.476890881933809
DE92,openspace,openspace_b,capaConvUp,0.3118126432955567
DE93,openspace,openspace_a,capaConvUp,3.1840163024256447
DE93,openspace,openspace_b,capaConvUp,1.2186317199549406
DEA2,openspace,openspace_a,capaConvUp,0.48513932205510807
DEA2,openspace,openspace_b,capaConvUp,1.3489363297380292
DEB1,openspace,openspace_a,capaConvUp,1.086302216480011
DEB1,openspace,openspace_b,capaConvUp,0.581439423014238
DEC0_,openspace,openspace_a,capaConvUp,0.20363634304027783
DEC0_,openspace,openspace_b,capaConvUp,0.3260605809895283
DEA3,openspace,openspace_a,capaConvUp,0.3106988302459829
DEA3,openspace,openspace_b,capaConvUp,7.327897972609046
DEB2,openspace,openspace_a,capaConvUp,0.6528030669104545
DEB2,openspace,openspace_b,capaConvUp,0.558564752251324
DE21,openspace,openspace_a,capaConvUp,0.4888098556101879
DE21,openspace,openspace_b,capaConvUp,3.104140424306966
DE22,openspace,openspace_a,capaConvUp,3.3714136464234414
DE22,openspace,openspace_b,capaConvUp,0.36227128139414644
DE23,openspace,openspace_a,capaConvUp,0.9699656239993488
DE23,openspace,openspace_b,capaConvUp,1.1631937089782576
DE25,openspace,openspace_a,capaConvUp,1.1110385435019525
DE25,openspace,openspace_b,capaConvUp,0.4737223656849167
DE26,openspace,openspace_a,capaConvUp,1.8628062080111127
DE26,openspace,openspace_b,capaConvUp,0.7293738115299078
DE40,openspace,openspace_a,capaConvUp,5.27662659653976
DE40,openspace,openspace_b,capaConvUp,2.1279852002112376
DE50,openspace,openspace_a,capaConvUp,0.011437858744447882
DE50,openspace,openspace_b,capaConvUp,0.0003153570578828273
DE60,openspace,openspace_a,capaConvUp,0.0386404997628927
DE60,openspace,openspace_b,capaConvUp,0.042891307399390254
DE71,openspace,openspace_a,capaConvUp,0.4146336465793389
DE71,openspace,openspace_b,capaConvUp,0.996236558791924
DE72,openspace,openspace_a,capaConvUp,0.7106729139334665
DE72,openspace,openspace_b,capaConvUp,0.29081648064854665
DE73,openspace,openspace_a,capaConvUp,1.2020379846449798
DE73,openspace,openspace_b,capaConvUp,0.8940701823255569
DE80,openspace,openspace_a,capaConvUp,2.903576270795134
DE80,openspace,openspace_b,capaConvUp,4.208133374249228
DE91,openspace,openspace_a,capaConvUp,0.7953790537739733
DE91,openspace,openspace_b,capaConvUp,0.3189453280083276
DE13,openspace,openspace_a,capaConvUp,1.7007181810179863
DE13,openspace,openspace_b,capaConvUp,0.1844058088615858
DE24,openspace,openspace_a,capaConvUp,1.4050644348970098
DE24,openspace,openspace_b,capaConvUp,0.3937803884797489
DE27,openspace,openspace_a,capaConvUp,3.213302323323041
DE27,openspace,openspace_b,capaConvUp,0.0023363190165423867
DE14,openspace,openspace_a,capaConvUp,0.6958638815535306
DE14,openspace,openspace_b,capaConvUp,1.430551643891131
DE30,openspace,openspace_a,capaConvUp,0.014019718290234429
DE30,openspace,openspace_b,capaConvUp,0.0022835741738836497
