region_2,technology_1,technology_2,parameter,value
DE11,rooftop,rooftop_a,capaConvUp,0.45537235300268436
DE11,rooftop,rooftop_b,capaConvUp,3.0136241081517117
DE11,rooftop,rooftop_c,capaConvUp,2.182039987002427
DE12,rooftop,rooftop_a,capaConvUp,2.085817737837029
DE12,rooftop,rooftop_b,capaConvUp,0.3062918898814744
DE12,rooftop,rooftop_c,capaConvUp,1.7191388405106902
DE94,rooftop,rooftop_a,capaConvUp,3.609923023435915
DE94,rooftop,rooftop_b,capaConvUp,0.4213199296375933
DE94,rooftop,rooftop_c,capaConvUp,2.1565582762843696
DEA1,rooftop,rooftop_a,capaConvUp,2.2162069120756778
DEA1,rooftop,rooftop_b,capaConvUp,2.815221231723224
DEA1,rooftop,rooftop_c,capaConvUp,1.5918440485260803
DEA4,rooftop,rooftop_a,capaConvUp,0.8033441658945938
DEA4,rooftop,rooftop_b,capaConvUp,1.5709893090226652
DEA4,rooftop,rooftop_c,capaConvUp,1.86156116010551
DEA5,rooftop,rooftop_a,capaConvUp,0.9353280500518861
DEA5,rooftop,rooftop_b,capaConvUp,1.2863225407488579
DEA5,rooftop,rooftop_c,capaConvUp,3.295460169104044
DEB3,rooftop,rooftop_a,capaConvUp,0.7827705073679753
DEB3,rooftop,rooftop_b,capaConvUp,1.144694760929997
DEB3,rooftop,rooftop_c,capaConvUp,1.5991650083262927
DED2,rooftop,rooftop_a,capaConvUp,2.6044497785445033
DED2,rooftop,rooftop_b,capaConvUp,1.1645970323601158
DED2,rooftop,rooftop_c,capaConvUp,0.17950145082976504
DED4,rooftop,rooftop_a,capaConvUp,1.5674356543970092
DED4,rooftop,rooftop_b,capaConvUp,0.39139945395076514
DED4,rooftop,rooftop_c,capaConvUp,2.106107524741567
DED5,rooftop,rooftop_a,capaConvUp,0.99331722267057
DED5,rooftop,rooftop_b,capaConvUp,0.9156842582173882
DED5,rooftop,rooftop_c,capaConvUp,0.12168810343021745
DEE0,rooftop,rooftop_a,capaConvUp,1.055402002724595
DEE0,rooftop,rooftop_b,capaConvUp,2.7004816363672863
DEE0,rooftop,rooftop_c,capaConvUp,2.6659776315195933
DEF0,rooftop,rooftop_a,capaConvUp,3.4818349046547024
DEF0,rooftop,rooftop_b,capaConvUp,1.9325132505566356
DEF0,rooftop,rooftop_c,capaConvUp,0.5061412721229134
DEG0,rooftop,rooftop_a,capaConvUp,1.0168845802046855
DEG0,rooftop,rooftop_b,capaConvUp,2.180154947965479
DEG0,rooftop,rooftop_c,capaConvUp,2.1451375358668505
DE92,rooftop,rooftop_a,capaConvUp,0.873485831045505
DE92,rooftop,rooftop_b,capaConvUp,1.2100959599544798
DE92,rooftop,rooftop_c,capaConvUp,2.2985105413290055
DE93,rooftop,rooftop_a,capaConvUp,2.6131643016920267
DE93,rooftop,rooftop_b,capaConvUp,1.8041228502690172
DE93,rooftop,rooftop_c,capaConvUp,0.5626807823788413
DEA2,rooftop,rooftop_a,capaConvUp,1.6813073765312907
DEA2,rooftop,rooftop_b,capaConvUp,2.0072163569815644
DEA2,rooftop,rooftop_c,capaConvUp,3.0704418077825975
DEB1,rooftop,rooftop_a,capaConvUp,1.8678364421496707
DEB1,rooftop,rooftop_b,capaConvUp,1.044667195595077
DEB1,rooftop,rooftop_c,capaConvUp,0.42772555637187315
DEC0_,rooftop,rooftop_a,capaConvUp,0.3196180771966483
DEC0_,rooftop,rooftop_b,capaConvUp,0.528361337516979
DEC0_,rooftop,rooftop_c,capaConvUp,1.4450386095091754
DEA3,rooftop,rooftop_a,capaConvUp,0.6355036871442091
DEA3,rooftop,rooftop_b,capaConvUp,2.36255520563345
DEA3,rooftop,rooftop_c,capaConvUp,1.681056878634318
DEB2,rooftop,rooftop_a,capaConvUp,0.1877612826820743
DEB2,rooftop,rooftop_b,capaConvUp,0.3633258827138845
DEB2,rooftop,rooftop_c,capaConvUp,0.7029745050198174
DE21,rooftop,rooftop_a,capaConvUp,5.080069836999641
DE21,rooftop,rooftop_b,capaConvUp,0.07518744291932328
DE21,rooftop,rooftop_c,capaConvUp,1.4732204466873655
DE22,rooftop,rooftop_a,capaConvUp,0.3062015273482325
DE22,rooftop,rooftop_b,capaConvUp,0.8690842298621304
DE22,rooftop,rooftop_c,capaConvUp,1.4815456906250368
DE23,rooftop,rooftop_a,capaConvUp,0.696411083687405
DE23,rooftop,rooftop_b,capaConvUp,0.667751602230091
DE23,rooftop,rooftop_c,capaConvUp,0.9730570424790952
DE25,rooftop,rooftop_a,capaConvUp,1.3843152791300777
DE25,rooftop,rooftop_b,capaConvUp,0.7713784302295253
DE25,rooftop,rooftop_c,capaConvUp,0.5732526684055301
DE26,rooftop,rooftop_a,capaConvUp,1.3967877040746328
DE26,rooftop,rooftop_b,capaConvUp,0.8651087945078803
DE26,rooftop,rooftop_c,capaConvUp,0.5521671813054552
DE40,rooftop,rooftop_a,capaConvUp,3.7868929697271527
DE40,rooftop,rooftop_b,capaConvUp,3.361146980466559
DE40,rooftop,rooftop_c,capaConvUp,1.4186650575405695
DE50,rooftop,rooftop_a,capaConvUp,0.6628641152373437
DE50,rooftop,rooftop_b,capaConvUp,0.1918478487586331
DE50,rooftop,rooftop_c,capaConvUp,0.08240639529748227
DE60,rooftop,rooftop_a,capaConvUp,1.9487520253675155
DE60,rooftop,rooftop_b,capaConvUp,0.046070137509786044
DE60,rooftop,rooftop_c,capaConvUp,0.2029753417504099
DE71,rooftop,rooftop_a,capaConvUp,2.5498184336248118
DE71,rooftop,rooftop_b,capaConvUp,1.5120804606937996
DE71,rooftop,rooftop_c,capaConvUp,0.9599061075637726
DE72,rooftop,rooftop_a,capaConvUp,0.8947626953104653
DE72,rooftop,rooftop_b,capaConvUp,1.0316648230632748
DE72,rooftop,rooftop_c,capaConvUp,0.39569697209826304
DE73,rooftop,rooftop_a,capaConvUp,0.6713458433633728
DE73,rooftop,rooftop_b,capaConvUp,0.4208046148930141
DE73,rooftop,rooftop_c,capaConvUp,1.7701684713691606
DE80,rooftop,rooftop_a,capaConvUp,1.1897360249607458
DE80,rooftop,rooftop_b,capaConvUp,1.6414163019944397
