region_2,technology_1,technology_2,parameter,value
DE11,rooftop,rooftop_a,capaConvUp,0.465372353
DE11,rooftop,rooftop_b,capaConvUp,3.023624108
DE11,rooftop,rooftop_c,capaConvUp,2.192039987
DE12,rooftop,rooftop_a,capaConvUp,2.095817738
DE12,rooftop,rooftop_b,capaConvUp,0.31629189
DE12,rooftop,rooftop_c,capaConvUp,1.729138841
DE94,rooftop,rooftop_a,capaConvUp,3.619923023
DE94,rooftop,rooftop_b,capaConvUp,0.43131993
DE94,rooftop,rooftop_c,capaConvUp,2.166558276
DEA1,rooftop,rooftop_a,capaConvUp,2.226206912
DEA1,rooftop,rooftop_b,capaConvUp,2.825221232
DEA1,rooftop,rooftop_c,capaConvUp,1.601844049
DEA4,rooftop,rooftop_a,capaConvUp,0.813344166
DEA4,rooftop,rooftop_b,capaConvUp,1.580989309
DEA4,rooftop,rooftop_c,capaConvUp,1.87156116
DEA5,rooftop,rooftop_a,capaConvUp,0.94532805
DEA5,rooftop,rooftop_b,capaConvUp,1.296322541
DEA5,rooftop,rooftop_c,capaConvUp,3.305460169
DEB3,rooftop,rooftop_a,capaConvUp,0.792770507
DEB3,rooftop,rooftop_b,capaConvUp,1.154694761
DEB3,rooftop,rooftop_c,capaConvUp,1.609165008
DED2,rooftop,rooftop_a,capaConvUp,2.614449779
DED2,rooftop,rooftop_b,capaConvUp,1.174597032
DED2,rooftop,rooftop_c,capaConvUp,0.189501451
DED4,rooftop,rooftop_a,capaConvUp,1.577435654
DED4,rooftop,rooftop_b,capaConvUp,0.401399454
DED4,rooftop,rooftop_c,capaConvUp,2.116107525
DED5,rooftop,rooftop_a,capaConvUp,1.003317223
DED5,rooftop,rooftop_b,capaConvUp,0.925684258
DED5,rooftop,rooftop_c,capaConvUp,0.131688103
DEE0,rooftop,rooftop_a,capaConvUp,1.065402003
DEE0,rooftop,rooftop_b,capaConvUp,2.710481636
DEE0,rooftop,rooftop_c,capaConvUp,2.675977632
DEF0,rooftop,rooftop_a,capaConvUp,3.491834905
DEF0,rooftop,rooftop_b,capaConvUp,1.942513251
DEF0,rooftop,rooftop_c,capaConvUp,0.516141272
DEG0,rooftop,rooftop_a,capaConvUp,1.02688458
DEG0,rooftop,rooftop_b,capaConvUp,2.190154948
DEG0,rooftop,rooftop_c,capaConvUp,2.155137536
DE92,rooftop,rooftop_a,capaConvUp,0.883485831
DE92,rooftop,rooftop_b,capaConvUp,1.22009596
DE92,rooftop,rooftop_c,capaConvUp,2.308510541
DE93,rooftop,rooftop_a,capaConvUp,2.623164302
DE93,rooftop,rooftop_b,capaConvUp,1.81412285
DE93,rooftop,rooftop_c,capaConvUp,0.572680782
DEA2,rooftop,rooftop_a,capaConvUp,1.691307377
DEA2,rooftop,rooftop_b,capaConvUp,2.017216357
DEA2,rooftop,rooftop_c,capaConvUp,3.080441808
DEB1,rooftop,rooftop_a,capaConvUp,1.877836442
DEB1,rooftop,rooftop_b,capaConvUp,1.054667196
DEB1,rooftop,rooftop_c,capaConvUp,0.437725556
DEC0_,rooftop,rooftop_a,capaConvUp,0.329618077
DEC0_,rooftop,rooftop_b,capaConvUp,0.538361338
DEC0_,rooftop,rooftop_c,capaConvUp,1.45503861
DEA3,rooftop,rooftop_a,capaConvUp,0.645503687
DEA3,rooftop,rooftop_b,capaConvUp,2.372555206
DEA3,rooftop,rooftop_c,capaConvUp,1.691056879
DEB2,rooftop,rooftop_a,capaConvUp,0.197761283
DEB2,rooftop,rooftop_b,capaConvUp,0.373325883
DEB2,rooftop,rooftop_c,capaConvUp,0.712974505
DE21,rooftop,rooftop_a,capaConvUp,5.090069837
DE21,rooftop,rooftop_b,capaConvUp,0.085187443
DE21,rooftop,rooftop_c,capaConvUp,1.483220447
DE22,rooftop,rooftop_a,capaConvUp,0.368030783
DE22,rooftop,rooftop_b,capaConvUp,0.87908423
DE22,rooftop,rooftop_c,capaConvUp,1.491545691
DE23,rooftop,rooftop_a,capaConvUp,0.706411084
DE23,rooftop,rooftop_b,capaConvUp,0.677751602
DE23,rooftop,rooftop_c,capaConvUp,0.983057042
DE25,rooftop,rooftop_a,capaConvUp,1.394315279
DE25,rooftop,rooftop_b,capaConvUp,0.78137843
DE25,rooftop,rooftop_c,capaConvUp,0.583252668
DE26,rooftop,rooftop_a,capaConvUp,1.406787704
DE26,rooftop,rooftop_b,capaConvUp,0.875108795
DE26,rooftop,rooftop_c,capaConvUp,0.562167181
DE40,rooftop,rooftop_a,capaConvUp,3.79689297
DE40,rooftop,rooftop_b,capaConvUp,3.37114698
DE40,rooftop,rooftop_c,capaConvUp,1.428665058
DE50,rooftop,rooftop_a,capaConvUp,0.672864115
DE50,rooftop,rooftop_b,capaConvUp,0.201847849
DE50,rooftop,rooftop_c,capaConvUp,0.092406395
DE60,rooftop,rooftop_a,capaConvUp,1.958752025
DE60,rooftop,rooftop_b,capaConvUp,0.056070138
DE60,rooftop,rooftop_c,capaConvUp,0.212975342
DE71,rooftop,rooftop_a,capaConvUp,2.559818434
DE71,rooftop,rooftop_b,capaConvUp,1.522080461
DE71,rooftop,rooftop_c,capaConvUp,0.969906108
DE72,rooftop,rooftop_a,capaConvUp,0.904762695
DE72,rooftop,rooftop_b,capaConvUp,1.041664823
DE72,rooftop,rooftop_c,capaConvUp,0.405696972
DE73,rooftop,rooftop_a,capaConvUp,0.681345843
DE73,rooftop,rooftop_b,capaConvUp,0.430804615
DE73,rooftop,rooftop_c,capaConvUp,1.780168471
DE80,rooftop,rooftop_a,capaConvUp,1.199736025
DE80,rooftop,rooftop_b,capaConvUp,1.651416302
DE80,rooftop,rooftop_c,capaConvUp,1.175882164
DE91,rooftop,rooftop_a,capaConvUp,1.32112099
DE91,rooftop,rooftop_b,capaConvUp,0.3341947
DE91,rooftop,rooftop_c,capaConvUp,1.944185517
DE13,rooftop,rooftop_a,capaConvUp,2.450396809
DE13,rooftop,rooftop_b,capaConvUp,0.941458842
DE13,rooftop,rooftop_c,capaConvUp,0.361982146
DE24,rooftop,rooftop_a,capaConvUp,1.019091914
DE24,rooftop,rooftop_b,capaConvUp,0.114030834
DE24,rooftop,rooftop_c,capaConvUp,1.25502443
DE27,rooftop,rooftop_a,capaConvUp,0.697592198
DE27,rooftop,rooftop_b,capaConvUp,2.364447184
DE27,rooftop,rooftop_c,capaConvUp,0.689467715
DE14,rooftop,rooftop_a,capaConvUp,1.22144334
DE14,rooftop,rooftop_b,capaConvUp,0.512233249
DE14,rooftop,rooftop_c,capaConvUp,1.774425565
DE30,rooftop,rooftop_a,capaConvUp,0.286590275
DE30,rooftop,rooftop_b,capaConvUp,2.310143249
DE30,rooftop,rooftop_c,capaConvUp,0.520553005
