region_2,technology_1,technology_2,parameter,value
DE11,wind_onshore,onshore_a,capaConvUp,2.606172084237107
DE11,wind_onshore,onshore_b,capaConvUp,2.767323351831434
DE12,wind_onshore,onshore_a,capaConvUp,1.8287035013503266
DE12,wind_onshore,onshore_b,capaConvUp,1.0689019172486467
DE94,wind_onshore,onshore_a,capaConvUp,16.006721552906114
DE94,wind_onshore,onshore_b,capaConvUp,4.487999424036588
DEA1,wind_onshore,onshore_a,capaConvUp,0.38452604065368445
DEA1,wind_onshore,onshore_b,capaConvUp,2.0364504923268996
DEA4,wind_onshore,onshore_a,capaConvUp,15.863454446962338
DEA4,wind_onshore,onshore_b,capaConvUp,1.0443957846021805
DEA5,wind_onshore,onshore_a,capaConvUp,0.7459302774627847
DEA5,wind_onshore,onshore_b,capaConvUp,1.8400799220257094
DEB3,wind_onshore,onshore_a,capaConvUp,2.025863802063239
DEB3,wind_onshore,onshore_b,capaConvUp,1.622880692089447
DED2,wind_onshore,onshore_a,capaConvUp,3.5992470836763713
DED2,wind_onshore,onshore_b,capaConvUp,1.13335943413318
DED4,wind_onshore,onshore_a,capaConvUp,2.1878935945637448
DED4,wind_onshore,onshore_b,capaConvUp,1.0757962468737925
DED5,wind_onshore,onshore_a,capaConvUp,0.4086589840747985
DED5,wind_onshore,onshore_b,capaConvUp,1.6624452470193576
DEE0,wind_onshore,onshore_a,capaConvUp,33.47290803033116
DEE0,wind_onshore,onshore_b,capaConvUp,5.6390654971742675
DEF0,wind_onshore,onshore_a,capaConvUp,3.0710390003407286
DEF0,wind_onshore,onshore_b,capaConvUp,8.47865129684239
DEG0,wind_onshore,onshore_a,capaConvUp,17.744450349792082
DEG0,wind_onshore,onshore_b,capaConvUp,3.264364805858591
DE92,wind_onshore,onshore_a,capaConvUp,16.24900528688697
DE92,wind_onshore,onshore_b,capaConvUp,15.646117453573678
DE93,wind_onshore,onshore_a,capaConvUp,5.863176683013936
DE93,wind_onshore,onshore_b,capaConvUp,3.6277285121101945
DEA2,wind_onshore,onshore_a,capaConvUp,2.7663578761353596
DEA2,wind_onshore,onshore_b,capaConvUp,1.2284531282545468
DEB1,wind_onshore,onshore_a,capaConvUp,2.135734393228473
DEB1,wind_onshore,onshore_b,capaConvUp,1.81791782919669
DEC0_,wind_onshore,onshore_a,capaConvUp,0.45705530177878306
DEC0_,wind_onshore,onshore_b,capaConvUp,0.7700977861321605
DEA3,wind_onshore,onshore_a,capaConvUp,15.006247321043627
DEA3,wind_onshore,onshore_b,capaConvUp,0.4061790033951102
DEB2,wind_onshore,onshore_a,capaConvUp,0.9185564778520527
DEB2,wind_onshore,onshore_b,capaConvUp,1.836422133849251
DE21,wind_onshore,onshore_a,capaConvUp,1.7062758146892087
DE21,wind_onshore,onshore_b,capaConvUp,6.53667166273058
DE22,wind_onshore,onshore_a,capaConvUp,5.784660399235915
DE22,wind_onshore,onshore_b,capaConvUp,2.2018694950403948
DE23,wind_onshore,onshore_a,capaConvUp,2.0841896067448813
DE23,wind_onshore,onshore_b,capaConvUp,2.8479538626421896
DE25,wind_onshore,onshore_a,capaConvUp,1.9496280278754674
DE25,wind_onshore,onshore_b,capaConvUp,1.6152367725952943
DE26,wind_onshore,onshore_a,capaConvUp,3.2070320926975153
DE26,wind_onshore,onshore_b,capaConvUp,2.5291415968160766
DE40,wind_onshore,onshore_a,capaConvUp,5.587513130476371
DE40,wind_onshore,onshore_b,capaConvUp,11.026577175995744
DE50,wind_onshore,onshore_a,capaConvUp,0.011498114525950273
DE50,wind_onshore,onshore_b,capaConvUp,0.01363351196855187
DE60,wind_onshore,onshore_a,capaConvUp,0.1310380665608096
DE60,wind_onshore,onshore_b,capaConvUp,0.03913183441332029
DE71,wind_onshore,onshore_a,capaConvUp,2.2658550364597256
DE71,wind_onshore,onshore_b,capaConvUp,1.0573423344484187
DE72,wind_onshore,onshore_a,capaConvUp,0.7898559018854543
DE72,wind_onshore,onshore_b,capaConvUp,1.5752403766462646
DE73,wind_onshore,onshore_a,capaConvUp,1.0240190789138062
DE73,wind_onshore,onshore_b,capaConvUp,3.700205534240719
DE80,wind_onshore,onshore_a,capaConvUp,3.619357298255853
DE80,wind_onshore,onshore_b,capaConvUp,11.419761436591891
DE91,wind_onshore,onshore_a,capaConvUp,1.9223916426241876
DE91,wind_onshore,onshore_b,capaConvUp,0.78404647421387
DE13,wind_onshore,onshore_a,capaConvUp,2.4013532293080133
DE13,wind_onshore,onshore_b,capaConvUp,2.2216419249883144
DE24,wind_onshore,onshore_a,capaConvUp,2.564223397571289
DE24,wind_onshore,onshore_b,capaConvUp,1.4668183301613213
DE27,wind_onshore,onshore_a,capaConvUp,6.716064298473923
DE27,wind_onshore,onshore_b,capaConvUp,0.2342596104436632
DE14,wind_onshore,onshore_a,capaConvUp,2.716222344993783
DE14,wind_onshore,onshore_b,capaConvUp,1.973898568670685
DE30,wind_onshore,onshore_a,capaConvUp,0.029863468048337317
DE30,wind_onshore,onshore_b,capaConvUp,0.028055895031247773
