region_2,region_3,technology_1,technology_2,parameter_1,value_1
Germany_,DE11,photovoltaik,RES_PV_Rooftop,capaConvUp,5.1
Germany_,DE12,photovoltaik,RES_PV_Rooftop,capaConvUp,1.85
Germany_,DE94,photovoltaik,RES_PV_Rooftop,capaConvUp,4.13
Germany_,DEA1,photovoltaik,RES_PV_Rooftop,capaConvUp,2.82
Germany_,DEA4,photovoltaik,RES_PV_Rooftop,capaConvUp,6.3
Germany_,DEA5,photovoltaik,RES_PV_Rooftop,capaConvUp,4.15
Germany_,DEB3,photovoltaik,RES_PV_Rooftop,capaConvUp,2.25
Germany_,DED2,photovoltaik,RES_PV_Rooftop,capaConvUp,3.54
Germany_,DED4,photovoltaik,RES_PV_Rooftop,capaConvUp,5.68
Germany_,DED5,photovoltaik,RES_PV_Rooftop,capaConvUp,0.49
Germany_,DEE0,photovoltaik,RES_PV_Rooftop,capaConvUp,11.73
Germany_,DEF0,photovoltaik,RES_PV_Rooftop,capaConvUp,8.33
Germany_,DEG0,photovoltaik,RES_PV_Rooftop,capaConvUp,5.98
Germany_,DE92,photovoltaik,RES_PV_Rooftop,capaConvUp,1.01
Germany_,DE93,photovoltaik,RES_PV_Rooftop,capaConvUp,5.35
Germany_,DEA2,photovoltaik,RES_PV_Rooftop,capaConvUp,1.48
Germany_,DEB1,photovoltaik,RES_PV_Rooftop,capaConvUp,1.98
Germany_,DEC0,photovoltaik,RES_PV_Rooftop,capaConvUp,0.62
Germany_,DEA3,photovoltaik,RES_PV_Rooftop,capaConvUp,0.71
Germany_,DEB2,photovoltaik,RES_PV_Rooftop,capaConvUp,1.12
Germany_,DE21,photovoltaik,RES_PV_Rooftop,capaConvUp,5.86
Germany_,DE22,photovoltaik,RES_PV_Rooftop,capaConvUp,1.05
Germany_,DE23,photovoltaik,RES_PV_Rooftop,capaConvUp,2.84
Germany_,DE25,photovoltaik,RES_PV_Rooftop,capaConvUp,2.19
Germany_,DE26,photovoltaik,RES_PV_Rooftop,capaConvUp,1.24
Germany_,DE40,photovoltaik,RES_PV_Rooftop,capaConvUp,8.51
Germany_,DE50,photovoltaik,RES_PV_Rooftop,capaConvUp,0.01
Germany_,DE60,photovoltaik,RES_PV_Rooftop,capaConvUp,0.07
Germany_,DE71,photovoltaik,RES_PV_Rooftop,capaConvUp,1.77
Germany_,DE72,photovoltaik,RES_PV_Rooftop,capaConvUp,1.54
Germany_,DE73,photovoltaik,RES_PV_Rooftop,capaConvUp,1.48
Germany_,DE80,photovoltaik,RES_PV_Rooftop,capaConvUp,7.08
Germany_,DE91,photovoltaik,RES_PV_Rooftop,capaConvUp,0.86
Germany_,DE13,photovoltaik,RES_PV_Rooftop,capaConvUp,2.29
Germany_,DE24,photovoltaik,RES_PV_Rooftop,capaConvUp,1.93
Germany_,DE27,photovoltaik,RES_PV_Rooftop,capaConvUp,1.4
Germany_,DE14,photovoltaik,RES_PV_Rooftop,capaConvUp,2.27
Germany_,DE30,photovoltaik,RES_PV_Rooftop,capaConvUp,0.02
Germany_,DE11,photovoltaik,RES_PV_Utility_Avg,capaConvUp,10.44
Germany_,DE12,photovoltaik,RES_PV_Utility_Avg,capaConvUp,6.57
Germany_,DE94,photovoltaik,RES_PV_Utility_Avg,capaConvUp,5.26
Germany_,DEA1,photovoltaik,RES_PV_Utility_Avg,capaConvUp,7.18
Germany_,DEA4,photovoltaik,RES_PV_Utility_Avg,capaConvUp,4
Germany_,DEA5,photovoltaik,RES_PV_Utility_Avg,capaConvUp,5.95
Germany_,DEB3,photovoltaik,RES_PV_Utility_Avg,capaConvUp,3.76
Germany_,DED2,photovoltaik,RES_PV_Utility_Avg,capaConvUp,3.77
Germany_,DED4,photovoltaik,RES_PV_Utility_Avg,capaConvUp,3.54
Germany_,DED5,photovoltaik,RES_PV_Utility_Avg,capaConvUp,2.01
Germany_,DEE0,photovoltaik,RES_PV_Utility_Avg,capaConvUp,5.73
Germany_,DEF0,photovoltaik,RES_PV_Utility_Avg,capaConvUp,8.43
Germany_,DEG0,photovoltaik,RES_PV_Utility_Avg,capaConvUp,5.05
Germany_,DE92,photovoltaik,RES_PV_Utility_Avg,capaConvUp,4.07
Germany_,DE93,photovoltaik,RES_PV_Utility_Avg,capaConvUp,5.28
Germany_,DEA2,photovoltaik,RES_PV_Utility_Avg,capaConvUp,6.9
Germany_,DEB1,photovoltaik,RES_PV_Utility_Avg,capaConvUp,3.08
Germany_,DEC0,photovoltaik,RES_PV_Utility_Avg,capaConvUp,2.96
