timestep_2,region_1,carrier_1,carrier_2,value,parameter
all,AT,gas,synthGas,0.462396721,dem
all,BE,gas,synthGas,3.465457595,dem
all,BG,gas,synthGas,1.162749232,dem
all,CH,gas,synthGas,0.553695638,dem
all,CZ,gas,synthGas,0.566365411,dem
all,DK,gas,synthGas,0.131026257,dem
all,EE,gas,synthGas,0.022182868,dem
all,ES,gas,synthGas,4.103182062,dem
all,FI,gas,synthGas,0.516660802,dem
all,FR,gas,synthGas,8.252163422,dem
all,GR,gas,synthGas,0.093640484,dem
all,HR,gas,synthGas,0.231050957,dem
all,HU,gas,synthGas,1.24328473,dem
all,IE,gas,synthGas,0.144022306,dem
all,IT,gas,synthGas,8.098737824,dem
all,LT,gas,synthGas,0.029101714,dem
all,LU,gas,synthGas,0.087957859,dem
all,LV,gas,synthGas,0.047158911,dem
all,NL,gas,synthGas,3.964057086,dem
all,NO,gas,synthGas,0.207540724,dem
all,NONEU_Balkan,gas,synthGas,1.634550411,dem
all,PL,gas,synthGas,1.864602525,dem
all,PT,gas,synthGas,0.324993722,dem
all,RO,gas,synthGas,4.251825764,dem
all,SE,gas,synthGas,0.519973473,dem
all,SI,gas,synthGas,0.157565283,dem
all,SK,gas,synthGas,3.84366754,dem
all,TR,gas,synthGas,2.815621796,dem
all,UK,gas,synthGas,5.481984639,dem
all,AT,gas,hydrogen,0.283662316,dem
all,BE,gas,hydrogen,3.575861274,dem
all,BG,gas,hydrogen,0.153340611,dem
all,CH,gas,hydrogen,0.432103617,dem
all,CZ,gas,hydrogen,1.289753642,dem
all,DK,gas,hydrogen,0.352982992,dem
all,EE,gas,hydrogen,0.049713272,dem
all,ES,gas,hydrogen,1.146812675,dem
all,FI,gas,hydrogen,0.238078514,dem
all,FR,gas,hydrogen,3.823395372,dem
all,GR,gas,hydrogen,0.516692475,dem
all,HR,gas,hydrogen,0.356925599,dem
all,HU,gas,hydrogen,0.365727026,dem
all,IE,gas,hydrogen,0.395177638,dem
all,IT,gas,hydrogen,4.153526743,dem
all,LT,gas,hydrogen,0.103557999,dem
all,LU,gas,hydrogen,0.050206067,dem
all,LV,gas,hydrogen,0.111571118,dem
all,NL,gas,hydrogen,1.03060377,dem
all,NO,gas,hydrogen,0.551925993,dem
all,NONEU_Balkan,gas,hydrogen,0.401637143,dem
all,PL,gas,hydrogen,4.08962966,dem
all,PT,gas,hydrogen,0.226539391,dem
all,RO,gas,hydrogen,0.426563952,dem
all,SE,gas,hydrogen,0.634096847,dem
all,SI,gas,hydrogen,0.117997383,dem
all,SK,gas,hydrogen,0.558704116,dem
all,TR,gas,hydrogen,2.350380115,dem
all,UK,gas,hydrogen,2.149902259,dem
