carrier_1,carrier_2,region_2,region_3,parameter,value
gas,H2,,,trdBuyPrc,500
,,,,emissionUp,0
gas,Gas_Natural,,,trdBuyPrc,11.86516007
Oil,,,,trdBuyPrc,20.49755635
Lignite,,,,trdBuyPrc,4.144509674
Hardcoal,,,,trdBuyPrc,7.296671962
Hardcoal,,,,emissionFac,342.0957868
Lignite,,,,emissionFac,396.1109111
gas,Gas_Natural,,,emissionFac,201.296363
Oil,,,,emissionFac,262.8736046
Biomass,,,AT,useUp,52857.38722
Biomass,,,BE,useUp,39847.06299
Biomass,,,BG,useUp,30608.20856
Biomass,,,CH,useUp,55756.51826
Biomass,,,CZ,useUp,29219.92491
Biomass,,Germany_,,useUp,75083.18138
Biomass,,,DK,useUp,23526.04987
Biomass,,,EE,useUp,1704.863098
Biomass,,,ES,useUp,27297.86246
Biomass,,,FI,useUp,12419.64891
Biomass,,,FR,useUp,30721.31093
Biomass,,,GR,useUp,3828.084148
Biomass,,,HR,useUp,8423.883428
Biomass,,,HU,useUp,9303.692233
Biomass,,,IE,useUp,32175.55713
Biomass,,,IT,useUp,54963.84552
Biomass,,,LT,useUp,1227.383592
Biomass,,,LU,useUp,205.8067862
Biomass,,,LV,useUp,1624.506909
Biomass,,,NL,useUp,28588.82461
Biomass,,,NO,useUp,52629.20481
Biomass,,,NONEU_Balkan,useUp,114.0507475
Biomass,,,PL,useUp,28657.91514
Biomass,,,PT,useUp,14990.64779
Biomass,,,RO,useUp,26974.46231
Biomass,,,SE,useUp,13098.57231
Biomass,,,SI,useUp,27333.9658
Biomass,,,SK,useUp,33865.79444
Biomass,,,TR,useUp,50792.0612
Biomass,,,UK,useUp,35548.43973
