region_1,region_2,region_3
Austria,Austria_,AT
Benelux,Belgium,BE
East2,East_,BG
Switzerland,Switzerland_,CH
Czech,Czech_,CZ
Scand,Denmark,DK
Iberia,Spain,ES
Scand,Finland,FI
France,France_,FR
Greece,Greece_,GR
East1,Croatia_Slovenia,HR
East1,Hungary_Slovakia,HU
GB,Ireland,IE
Italy,Italy_,IT
France,France_,LU
Benelux,Netherlands,NL
Scand,Norway,NO
Poland,Poland_,PL
Iberia,Portugal,PT
East2,East_,RO
Scand,Sweden,SE
East1,Croatia_Slovenia,SI
East1,Hungary_Slovakia,SK
GB,UnitedKingdom,UK
Balt,Balt_,EE
Balt,Balt_,LT
Balt,Balt_,LV
Balk,Balk_,NONEU_Balkan
East2,East_,TR
Germany,Germany_,DE11
Germany,Germany_,DE12
Germany,Germany_,DE94
Germany,Germany_,DEA1
Germany,Germany_,DEA4
Germany,Germany_,DEA5
Germany,Germany_,DEB3
Germany,Germany_,DED2
Germany,Germany_,DED4
Germany,Germany_,DED5
Germany,Germany_,DEE0
Germany,Germany_,DEF0
Germany,Germany_,DEG0
Germany,Germany_,DE92
Germany,Germany_,DE93
Germany,Germany_,DEA2
Germany,Germany_,DEB1
Germany,Germany_,DEC0
Germany,Germany_,DEA3
Germany,Germany_,DEB2
Germany,Germany_,DE21
Germany,Germany_,DE22
Germany,Germany_,DE23
Germany,Germany_,DE25
Germany,Germany_,DE26
Germany,Germany_,DE40
Germany,Germany_,DE50
Germany,Germany_,DE60
Germany,Germany_,DE71
Germany,Germany_,DE72
Germany,Germany_,DE73
Germany,Germany_,DE80
Germany,Germany_,DE91
Germany,Germany_,DE13
Germany,Germany_,DE24
Germany,Germany_,DE27
Germany,Germany_,DE14
Germany,Germany_,DE30
