technology_1,technology_2,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type
D_Battery_Li-Ion,,,,Power,Power,mature
D_Battery_Redox,,,,Power,Power,mature
D_Gas,,,,gas,gas,stock
D_PHS,,,,Power,Power,stock
D_CAES,,,,Power,Power,mature
P_Biomass,,Biomass,Power,,,mature
P_Coal_Hardcoal,,Hardcoal,Power,,,stock
P_Coal_Lignite,,Lignite,Power,,,stock
P_Gas,,Gas_Natural,Power,,,mature
P_Nuclear,,,Power,,,stock
P_Oil,,Oil,Power,,,stock
RES_Geothermal,,,Power,,,mature
RES_Hydro_Small,,,Power,,,stock
RES_CSP,,,Power,,,mature
photovoltaik,RES_PV_Rooftop,,Power,,,mature
photovoltaik,RES_PV_Utility_Avg,,Power,,,mature
photovoltaik,RES_PV_Utility_Inf,,Power,,,mature
photovoltaik,RES_PV_Utility_Opt,,Power,,,mature
wind_offshore,RES_Wind_Offshore_Transitional,,Power,,,mature
wind_offshore,RES_Wind_Offshore_Shallow,,Power,,,mature
wind_offshore,RES_Wind_Offshore_Deep,,Power,,,mature
wind_onshore,RES_Wind_Onshore_Avg,,Power,,,mature
wind_onshore,RES_Wind_Onshore_Inf,,Power,,,mature
wind_onshore,RES_Wind_Onshore_Opt,,Power,,,mature
X_Electrolysis,,Power,H2,,,emerging
X_Fuel_Cell,,H2,Power,,,emerging
X_Methanation,,H2,Gas_Synth,,,emerging
fermenter,,Biomass,Gas_Synth,,,emerging
P_Biomass_CCS,,Biomass,Power,,,emerging
P_Gas_CCS,,Gas_Natural,Power,,,emerging
X_SMR,,Gas_Natural,H2,,,emerging
X_SMR_CCS,,Gas_Natural,H2,,,emerging
P_H2_OCGT,,H2,Power,,,emerging
