technology_1,technology_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
P_Gas,,costOprConv,13.94770408,costExpConv,899.8518762,lifeConv,31
RES_Geothermal,,costOprConv,71.42857143,costExpConv,3589.285714,lifeConv,41
RES_CSP,,costOprConv,145.4857143,costExpConv,2119.642857,lifeConv,31
photovoltaik,RES_PV_Utility_Avg,costOprConv,9.821428571,costExpConv,536.6071429,lifeConv,21
photovoltaik,RES_PV_Utility_Inf,costOprConv,9.821428571,costExpConv,536.6071429,lifeConv,21
photovoltaik,RES_PV_Utility_Opt,costOprConv,9.821428571,costExpConv,536.6071429,lifeConv,21
photovoltaik,RES_PV_Rooftop,costOprConv,14.73214286,costExpConv,784.8214286,lifeConv,21
wind_offshore,RES_Wind_Offshore_Transitional,costOprConv,74,costExpConv,2642.857143,lifeConv,21
wind_offshore,RES_Wind_Offshore_Shallow,costOprConv,62.9,costExpConv,2246.428571,lifeConv,21
wind_offshore,RES_Wind_Offshore_Deep,costOprConv,85.1,costExpConv,3039.285714,lifeConv,21
wind_onshore,RES_Wind_Onshore_Avg,costOprConv,16.96428571,costExpConv,1071.428571,lifeConv,21
wind_onshore,RES_Wind_Onshore_Inf,costOprConv,16.96428571,costExpConv,1071.428571,lifeConv,21
wind_onshore,RES_Wind_Onshore_Opt,costOprConv,16.96428571,costExpConv,1071.428571,lifeConv,21
X_Electrolysis,,costOprConv,9,costExpConv,284.6716773,lifeConv,31
X_Fuel_Cell,,costOprConv,0,costExpConv,2805,lifeConv,31
X_Methanation,,costOprConv,3,costExpConv,215.0278293,lifeConv,31
fermenter,,costOprConv,3,costExpConv,215.0278293,lifeConv,31
P_Biomass_CCS,,costOprConv,63.34821429,costExpConv,7857.142857,lifeConv,31
P_Gas_CCS,,costOprConv,36.16071429,costExpConv,2678.571429,lifeConv,41
X_SMR,,costOprConv,15.97487657,costExpConv,658.0731464,lifeConv,21
X_SMR_CCS,,costOprConv,76.71885168,costExpConv,3160.375975,lifeConv,21
P_H2_OCGT,,costOprConv,6,costExpConv,769.6022727,lifeConv,31
P_Biomass,,costOprConv,42.23214286,costExpConv,5232.885841,lifeConv,31
P_Coal_Hardcoal,,costOprConv,38.57142857,,,,
P_Coal_Lignite,,costOprConv,36.64285714,,,,
P_Nuclear,,costOprConv,62.29285714,,,,
P_Oil,,costOprConv,5.988214286,,,,
RES_Hydro_Small,,costOprConv,58.92857143,,,,
