technology_1,region_1,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4
D_Battery_Li-Ion,,costExpStIn,115,lifeStIn,11,lifeStOut,11,lifeStSize,11
D_Battery_Redox,,costExpStIn,254.6428571,lifeStIn,20,lifeStOut,20,lifeStSize,20
D_CAES,,costExpStIn,455.3571429,lifeStIn,30,lifeStOut,30,lifeStSize,30
D_Battery_Li-Ion,,stOutToStIn,1,,,,,,
D_Battery_Redox,,stOutToStIn,1,,,,,,
D_PHS,,sizeToStIn,5,,,,,,
D_PHS,Scand,sizeToStIn,100,,,,,,
D_PHS,France,sizeToStIn,12,,,,,,
D_PHS,Austria,sizeToStIn,12,,,,,,
D_PHS,Switzerland,sizeToStIn,12,,,,,,
D_PHS,Germany,sizeToStIn,12,,,,,,
D_PHS,Italy,sizeToStIn,12,,,,,,
D_Battery_Li-Ion,,costOprStIn,0.23,,,,,,
D_Battery_Redox,,costOprStIn,5.092857143,,,,,,
D_CAES,,costOprStIn,5.446071429,,,,,,
D_PHS,,costOprStIn,18.48214286,,,,,,
D_Gas,,costOprStIn,4.9725,,,,,,
D_Gas,,costOprStSize,0.0049725,,,,,,
D_Battery_Li-Ion,,costExpStSize,245,,,,,,
D_Battery_Redox,,costExpStSize,450,,,,,,
D_CAES,,costExpStSize,500,,,,,,
