timestep_3,technology_1,region_2,region_3,value,parameter
h0001,D_PHS,,AT,7.846,stInflow
h0001,D_PHS,,CH,10.39,stInflow
h0001,D_PHS,Germany_,,5.9551,stInflow
h0001,D_PHS,,FR,12.716,stInflow
h0001,D_PHS,,IT,15.102,stInflow
h0001,D_PHS,,NO,24.7,stInflow
h0001,D_PHS,,SE,4.98,stInflow
h0002,D_PHS,,AT,7.846,stInflow
h0002,D_PHS,,CH,10.39,stInflow
h0002,D_PHS,Germany_,,5.9551,stInflow
h0002,D_PHS,,FR,12.716,stInflow
h0002,D_PHS,,IT,15.102,stInflow
h0002,D_PHS,,NO,24.7,stInflow
h0002,D_PHS,,SE,4.98,stInflow
h0003,D_PHS,,AT,7.846,stInflow
h0003,D_PHS,,CH,10.39,stInflow
h0003,D_PHS,Germany_,,5.9551,stInflow
h0003,D_PHS,,FR,12.716,stInflow
h0003,D_PHS,,IT,15.102,stInflow
h0003,D_PHS,,NO,24.7,stInflow
h0003,D_PHS,,SE,4.98,stInflow
h0004,D_PHS,,AT,7.846,stInflow
h0004,D_PHS,,CH,10.39,stInflow
h0004,D_PHS,Germany_,,5.9551,stInflow
h0004,D_PHS,,FR,12.716,stInflow
h0004,D_PHS,,IT,15.102,stInflow
h0004,D_PHS,,NO,24.7,stInflow
h0004,D_PHS,,SE,4.98,stInflow
h0005,D_PHS,,AT,7.846,stInflow
h0005,D_PHS,,CH,10.39,stInflow
h0005,D_PHS,Germany_,,5.9551,stInflow
h0005,D_PHS,,FR,12.716,stInflow
h0005,D_PHS,,IT,15.102,stInflow
h0005,D_PHS,,NO,24.7,stInflow
h0005,D_PHS,,SE,4.98,stInflow
h0006,D_PHS,,AT,7.846,stInflow
h0006,D_PHS,,CH,10.39,stInflow
h0006,D_PHS,Germany_,,5.9551,stInflow
h0006,D_PHS,,FR,12.716,stInflow
h0006,D_PHS,,IT,15.102,stInflow
h0006,D_PHS,,NO,24.7,stInflow
h0006,D_PHS,,SE,4.98,stInflow
h0007,D_PHS,,AT,7.846,stInflow
h0007,D_PHS,,CH,10.39,stInflow
h0007,D_PHS,Germany_,,5.9551,stInflow
h0007,D_PHS,,FR,12.716,stInflow
h0007,D_PHS,,IT,15.102,stInflow
h0007,D_PHS,,NO,24.7,stInflow
h0007,D_PHS,,SE,4.98,stInflow
h0008,D_PHS,,AT,7.846,stInflow
h0008,D_PHS,,CH,10.39,stInflow
h0008,D_PHS,Germany_,,5.9551,stInflow
h0008,D_PHS,,FR,12.716,stInflow
h0008,D_PHS,,IT,15.102,stInflow
h0008,D_PHS,,NO,24.7,stInflow
h0008,D_PHS,,SE,4.98,stInflow
h0009,D_PHS,,AT,7.846,stInflow
h0009,D_PHS,,CH,10.39,stInflow
h0009,D_PHS,Germany_,,5.9551,stInflow
h0009,D_PHS,,FR,12.716,stInflow
h0009,D_PHS,,IT,15.102,stInflow
h0009,D_PHS,,NO,24.7,stInflow
h0009,D_PHS,,SE,4.98,stInflow
h0010,D_PHS,,AT,7.846,stInflow
h0010,D_PHS,,CH,10.39,stInflow
h0010,D_PHS,Germany_,,5.9551,stInflow
h0010,D_PHS,,FR,12.716,stInflow
h0010,D_PHS,,IT,15.102,stInflow
h0010,D_PHS,,NO,24.7,stInflow
h0010,D_PHS,,SE,4.98,stInflow
h0011,D_PHS,,AT,7.846,stInflow
h0011,D_PHS,,CH,10.39,stInflow
h0011,D_PHS,Germany_,,5.9551,stInflow
h0011,D_PHS,,FR,12.716,stInflow
h0011,D_PHS,,IT,15.102,stInflow
h0011,D_PHS,,NO,24.7,stInflow
h0011,D_PHS,,SE,4.98,stInflow
h0012,D_PHS,,AT,7.846,stInflow
h0012,D_PHS,,CH,10.39,stInflow
h0012,D_PHS,Germany_,,5.9551,stInflow
h0012,D_PHS,,FR,12.716,stInflow
h0012,D_PHS,,IT,15.102,stInflow
h0012,D_PHS,,NO,24.7,stInflow
h0012,D_PHS,,SE,4.98,stInflow
h0013,D_PHS,,AT,7.846,stInflow
h0013,D_PHS,,CH,10.39,stInflow
h0013,D_PHS,Germany_,,5.9551,stInflow
h0013,D_PHS,,FR,12.716,stInflow
h0013,D_PHS,,IT,15.102,stInflow
h0013,D_PHS,,NO,24.7,stInflow
h0013,D_PHS,,SE,4.98,stInflow
h0014,D_PHS,,AT,7.846,stInflow
h0014,D_PHS,,CH,10.39,stInflow
h0014,D_PHS,Germany_,,5.9551,stInflow
h0014,D_PHS,,FR,12.716,stInflow
h0014,D_PHS,,IT,15.102,stInflow
h0014,D_PHS,,NO,24.7,stInflow
h0014,D_PHS,,SE,4.98,stInflow
h0015,D_PHS,,AT,7.846,stInflow
h0015,D_PHS,,CH,10.39,stInflow
h0015,D_PHS,Germany_,,5.9551,stInflow
h0015,D_PHS,,FR,12.716,stInflow
h0015,D_PHS,,IT,15.102,stInflow
h0015,D_PHS,,NO,24.7,stInflow
h0015,D_PHS,,SE,4.98,stInflow
h0016,D_PHS,,AT,7.846,stInflow
h0016,D_PHS,,CH,10.39,stInflow
h0016,D_PHS,Germany_,,5.9551,stInflow
h0016,D_PHS,,FR,12.716,stInflow
h0016,D_PHS,,IT,15.102,stInflow
h0016,D_PHS,,NO,24.7,stInflow
h0016,D_PHS,,SE,4.98,stInflow
h0017,D_PHS,,AT,7.846,stInflow
h0017,D_PHS,,CH,10.39,stInflow
h0017,D_PHS,Germany_,,5.9551,stInflow
h0017,D_PHS,,FR,12.716,stInflow
h0017,D_PHS,,IT,15.102,stInflow
h0017,D_PHS,,NO,24.7,stInflow
h0017,D_PHS,,SE,4.98,stInflow
h0018,D_PHS,,AT,7.846,stInflow
h0018,D_PHS,,CH,10.39,stInflow
h0018,D_PHS,Germany_,,5.9551,stInflow
h0018,D_PHS,,FR,12.716,stInflow
h0018,D_PHS,,IT,15.102,stInflow
h0018,D_PHS,,NO,24.7,stInflow
h0018,D_PHS,,SE,4.98,stInflow
h0019,D_PHS,,AT,7.846,stInflow
h0019,D_PHS,,CH,10.39,stInflow
h0019,D_PHS,Germany_,,5.9551,stInflow
h0019,D_PHS,,FR,12.716,stInflow
h0019,D_PHS,,IT,15.102,stInflow
h0019,D_PHS,,NO,24.7,stInflow
h0019,D_PHS,,SE,4.98,stInflow
h0020,D_PHS,,AT,7.846,stInflow
h0020,D_PHS,,CH,10.39,stInflow
h0020,D_PHS,Germany_,,5.9551,stInflow
h0020,D_PHS,,FR,12.716,stInflow
h0020,D_PHS,,IT,15.102,stInflow
h0020,D_PHS,,NO,24.7,stInflow
h0020,D_PHS,,SE,4.98,stInflow
h0021,D_PHS,,AT,7.846,stInflow
h0021,D_PHS,,CH,10.39,stInflow
h0021,D_PHS,Germany_,,5.9551,stInflow
h0021,D_PHS,,FR,12.716,stInflow
h0021,D_PHS,,IT,15.102,stInflow
h0021,D_PHS,,NO,24.7,stInflow
h0021,D_PHS,,SE,4.98,stInflow
h0022,D_PHS,,AT,7.846,stInflow
h0022,D_PHS,,CH,10.39,stInflow
h0022,D_PHS,Germany_,,5.9551,stInflow
h0022,D_PHS,,FR,12.716,stInflow
h0022,D_PHS,,IT,15.102,stInflow
h0022,D_PHS,,NO,24.7,stInflow
h0022,D_PHS,,SE,4.98,stInflow
h0023,D_PHS,,AT,7.846,stInflow
h0023,D_PHS,,CH,10.39,stInflow
h0023,D_PHS,Germany_,,5.9551,stInflow
h0023,D_PHS,,FR,12.716,stInflow
h0023,D_PHS,,IT,15.102,stInflow
h0023,D_PHS,,NO,24.7,stInflow
h0023,D_PHS,,SE,4.98,stInflow
h0024,D_PHS,,AT,7.846,stInflow
h0024,D_PHS,,CH,10.39,stInflow
h0024,D_PHS,Germany_,,5.9551,stInflow
h0024,D_PHS,,FR,12.716,stInflow
h0024,D_PHS,,IT,15.102,stInflow
h0024,D_PHS,,NO,24.7,stInflow
h0024,D_PHS,,SE,4.98,stInflow
h0025,D_PHS,,AT,7.846,stInflow
h0025,D_PHS,,CH,10.39,stInflow
h0025,D_PHS,Germany_,,5.9551,stInflow
h0025,D_PHS,,FR,12.716,stInflow
h0025,D_PHS,,IT,15.102,stInflow
h0025,D_PHS,,NO,24.7,stInflow
h0025,D_PHS,,SE,4.98,stInflow
h0026,D_PHS,,AT,7.846,stInflow
h0026,D_PHS,,CH,10.39,stInflow
h0026,D_PHS,Germany_,,5.9551,stInflow
h0026,D_PHS,,FR,12.716,stInflow
h0026,D_PHS,,IT,15.102,stInflow
h0026,D_PHS,,NO,24.7,stInflow
h0026,D_PHS,,SE,4.98,stInflow
h0027,D_PHS,,AT,7.846,stInflow
h0027,D_PHS,,CH,10.39,stInflow
h0027,D_PHS,Germany_,,5.9551,stInflow
h0027,D_PHS,,FR,12.716,stInflow
h0027,D_PHS,,IT,15.102,stInflow
h0027,D_PHS,,NO,24.7,stInflow
h0027,D_PHS,,SE,4.98,stInflow
h0028,D_PHS,,AT,7.846,stInflow
h0028,D_PHS,,CH,10.39,stInflow
h0028,D_PHS,Germany_,,5.9551,stInflow
h0028,D_PHS,,FR,12.716,stInflow
h0028,D_PHS,,IT,15.102,stInflow
h0028,D_PHS,,NO,24.7,stInflow
h0028,D_PHS,,SE,4.98,stInflow
h0029,D_PHS,,AT,7.846,stInflow
h0029,D_PHS,,CH,10.39,stInflow
