region_1,region_2,parameter,value
AT,AT,expConvFix,0
BE,BE,expConvFix,0
BG,BG,expConvFix,0
CH,CH,expConvFix,0
CZ,CZ,expConvFix,0
DK,DK,expConvFix,0
ES,ES,expConvFix,0
FI,FI,expConvFix,0
FR,FR,expConvFix,0
GR,GR,expConvFix,0
HR,HR,expConvFix,0
HU,HU,expConvFix,0
IE,IE,expConvFix,0
IT,IT,expConvFix,0
LU,LU,expConvFix,0
NL,NL,expConvFix,0
NO,NO,expConvFix,0
PL,PL,expConvFix,0
PT,PT,expConvFix,0
RO,RO,expConvFix,0
SE,SE,expConvFix,0
SI,SI,expConvFix,0
SK,SK,expConvFix,0
UK,UK,expConvFix,0
EE,EE,expConvFix,0
LT,LT,expConvFix,0
LV,LV,expConvFix,0
NONEU_Balkan,NONEU_Balkan,expConvFix,0
TR,TR,expConvFix,0
