region_1,region_2,technology_1,technology_2,technology_3,parameter,value
AT,AT,electricResidentalHeating,,,capaConvResi,100
BE,BE,electricResidentalHeating,,,capaConvResi,100
BG,BG,electricResidentalHeating,,,capaConvResi,100
CH,CH,electricResidentalHeating,,,capaConvResi,100
CZ,CZ,electricResidentalHeating,,,capaConvResi,100
DK,DK,electricResidentalHeating,,,capaConvResi,100
EE,EE,electricResidentalHeating,,,capaConvResi,100
ES,ES,electricResidentalHeating,,,capaConvResi,100
FI,FI,electricResidentalHeating,,,capaConvResi,100
FR,FR,electricResidentalHeating,,,capaConvResi,100
GR,GR,electricResidentalHeating,,,capaConvResi,100
HR,HR,electricResidentalHeating,,,capaConvResi,100
HU,HU,electricResidentalHeating,,,capaConvResi,100
IE,IE,electricResidentalHeating,,,capaConvResi,100
IT,IT,electricResidentalHeating,,,capaConvResi,100
LT,LT,electricResidentalHeating,,,capaConvResi,100
LU,LU,electricResidentalHeating,,,capaConvResi,100
LV,LV,electricResidentalHeating,,,capaConvResi,100
NL,NL,electricResidentalHeating,,,capaConvResi,100
NO,NO,electricResidentalHeating,,,capaConvResi,100
NONEU_Balkan,NONEU_Balkan,electricResidentalHeating,,,capaConvResi,100
PL,PL,electricResidentalHeating,,,capaConvResi,100
PT,PT,electricResidentalHeating,,,capaConvResi,100
RO,RO,electricResidentalHeating,,,capaConvResi,100
SE,SE,electricResidentalHeating,,,capaConvResi,100
SI,SI,electricResidentalHeating,,,capaConvResi,100
SK,SK,electricResidentalHeating,,,capaConvResi,100
TR,TR,electricResidentalHeating,,,capaConvResi,100
UK,UK,electricResidentalHeating,,,capaConvResi,100
AT,AT,pumpedHydro,,,capaStOutResi,12.36
BE,BE,pumpedHydro,,,capaStOutResi,1.31
BG,BG,pumpedHydro,,,capaStOutResi,2.8
CH,CH,pumpedHydro,,,capaStOutResi,13.58
CZ,CZ,pumpedHydro,,,capaStOutResi,1.05
ES,ES,pumpedHydro,,,capaStOutResi,19.2
FI,FI,pumpedHydro,,,capaStOutResi,3.2
FR,FR,pumpedHydro,,,capaStOutResi,13.5
GR,GR,pumpedHydro,,,capaStOutResi,4.01
HR,HR,pumpedHydro,,,capaStOutResi,2.3
IE,IE,pumpedHydro,,,capaStOutResi,0.45
IT,IT,pumpedHydro,,,capaStOutResi,16.46
LT,LT,pumpedHydro,,,capaStOutResi,1.13
LU,LU,pumpedHydro,,,capaStOutResi,1.31
LV,LV,pumpedHydro,,,capaStOutResi,1.62
NO,NO,pumpedHydro,,,capaStOutResi,35.82
PL,PL,pumpedHydro,,,capaStOutResi,1.42
PT,PT,pumpedHydro,,,capaStOutResi,8.47
RO,RO,pumpedHydro,,,capaStOutResi,3.31
SE,SE,pumpedHydro,,,capaStOutResi,16.19
