technology_1,technology_2,region_1,region_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4
,,AT,AT,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,BE,BE,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,BG,BG,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,CH,CH,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,CZ,CZ,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,DK,DK,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,ES,ES,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,FI,FI,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,FR,FR,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,GR,GR,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,HR,HR,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,HU,HU,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,IE,IE,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,IT,IT,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,LU,LU,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,NL,NL,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,NO,NO,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,PL,PL,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,PT,PT,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,RO,RO,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,SE,SE,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,SI,SI,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,SK,SK,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,UK,UK,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,EE,EE,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,LT,LT,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,LV,LV,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,NONEU_Balkan,NONEU_Balkan,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
,,TR,TR,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
pumpedHydro,,AT,AT,capaStInResi,5.651,capaStOutResi,12.351,capaStSizeResi,148.212,,
pumpedHydro,,BE,BE,capaStInResi,1.15,capaStOutResi,1.308,capaStSizeResi,6.54,,
pumpedHydro,,BG,BG,capaStInResi,0.933,capaStOutResi,2.8,capaStSizeResi,14,,
pumpedHydro,,CH,CH,capaStInResi,4.105,capaStOutResi,13.58,capaStSizeResi,162.96,,
pumpedHydro,,CZ,CZ,capaStInResi,1,capaStOutResi,1.05,capaStSizeResi,5.25,,
pumpedHydro,,ES,ES,capaStInResi,8.28,capaStOutResi,19.2,capaStSizeResi,96,,
pumpedHydro,,FI,FI,capaStInResi,0,capaStOutResi,3.2,capaStSizeResi,16,,
pumpedHydro,,FR,FR,capaStInResi,5.5,capaStOutResi,13.5,capaStSizeResi,162,,
pumpedHydro,,GR,GR,capaStInResi,1.289,capaStOutResi,4.009,capaStSizeResi,20.045,,
pumpedHydro,,HR,HR,capaStInResi,0.3,capaStOutResi,2.3,capaStSizeResi,11.5,,
pumpedHydro,,IE,IE,capaStInResi,0.442,capaStOutResi,0.442,capaStSizeResi,2.21,,
pumpedHydro,,IT,IT,capaStInResi,5.73179697,capaStOutResi,16.45586969,capaStSizeResi,197.4704363,,
pumpedHydro,,LT,LT,capaStInResi,0.95,capaStOutResi,1.125,capaStSizeResi,5.625,,
pumpedHydro,,LU,LU,capaStInResi,1.026,capaStOutResi,1.31,capaStSizeResi,6.55,,
pumpedHydro,,LV,LV,capaStInResi,0,capaStOutResi,1.619,capaStSizeResi,8.095,,
pumpedHydro,,NO,NO,capaStInResi,1.114708,capaStOutResi,35.8169,capaStSizeResi,3581.69,,
pumpedHydro,,PL,PL,capaStInResi,1.488,capaStOutResi,1.413,capaStSizeResi,7.065,,
pumpedHydro,,PT,PT,capaStInResi,4.1199,capaStOutResi,8.4662,capaStSizeResi,42.331,,
pumpedHydro,,RO,RO,capaStInResi,0,capaStOutResi,3.3099157,capaStSizeResi,16.5495785,,
pumpedHydro,,SE,SE,capaStInResi,0,capaStOutResi,16.184,capaStSizeResi,1618.4,,
pumpedHydro,,SI,SI,capaStInResi,0.617,capaStOutResi,0.6,capaStSizeResi,3,,
pumpedHydro,,SK,SK,capaStInResi,1.486,capaStOutResi,2.292,capaStSizeResi,11.46,,
pumpedHydro,,TR,TR,capaStInResi,0,capaStOutResi,26.625,capaStSizeResi,133.125,,
pumpedHydro,,UK,UK,capaStInResi,0,capaStOutResi,1.553,capaStSizeResi,7.765,,
battery,grid,AT,AT,capaStInResi,6.05,capaStOutResi,6.05,capaStSizeResi,18.16,,
battery,grid,BE,BE,capaStInResi,0.2,capaStOutResi,0.2,capaStSizeResi,0.6,,
battery,grid,BG,BG,capaStInResi,5.8,capaStOutResi,5.8,capaStSizeResi,17.41,,
battery,grid,CH,CH,capaStInResi,2.74,capaStOutResi,2.74,capaStSizeResi,8.22,,
battery,grid,CZ,CZ,capaStInResi,13.14,capaStOutResi,13.14,capaStSizeResi,39.42,,
battery,grid,DK,DK,capaStInResi,2.79,capaStOutResi,2.79,capaStSizeResi,8.37,,
