region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter_1,value_1,parameter_2,value_2
DE,DE13,CH,CH,electricity,electricity_central,capaExcResiDir,3.500000017,expExcFix,0
DE,DE13,FR,FR,electricity,electricity_central,capaExcResiDir,12.4972078,expExcFix,0
DE,DE22,AT,AT,electricity,electricity_central,capaExcResiDir,2.25,expExcFix,0
DE,DE23,CZ,CZ,electricity,electricity_central,capaExcResiDir,2.603396777,expExcFix,0
DE,DE27,AT,AT,electricity,electricity_central,capaExcResiDir,6.750000001,expExcFix,0
DE,DE40,PL,PL,electricity,electricity_central,capaExcResiDir,4.070807114,expExcFix,0
DE,DE80,SE,SE,electricity,electricity_central,capaExcResiDir,0.615000017,expExcFix,0
DE,DE94,NL,NL,electricity,electricity_central,capaExcResiDir,3.190620455,expExcFix,0
DE,DEA1,NL,NL,electricity,electricity_central,capaExcResiDir,3.190620455,expExcFix,0
DE,DEA2,BE,BE,electricity,electricity_central,capaExcResiDir,2.000000003,expExcFix,0
DE,DEA2,NL,NL,electricity,electricity_central,capaExcResiDir,3.190620455,expExcFix,0
DE,DEA3,NL,NL,electricity,electricity_central,capaExcResiDir,3.190620455,expExcFix,0
DE,DEC0_,FR,FR,electricity,electricity_central,capaExcResiDir,4.165735935,expExcFix,0
DE,DEC0_,LU,LU,electricity,electricity_central,capaExcResiDir,2.300000015,expExcFix,0
DE,DED2,PL,PL,electricity,electricity_central,capaExcResiDir,4.070807114,expExcFix,0
DE,DED4,CZ,CZ,electricity,electricity_central,capaExcResiDir,2.603396777,expExcFix,0
DE,DEF0,DK,DK,electricity,electricity_central,capaExcResiDir,4.500000001,expExcFix,0
DE,DE94,NO,NO,electricity,electricity_central,capaExcResiDir,1.400000001,expExcFix,0
CH,CH,DE,DE13,electricity,electricity_central,capaExcResiDir,5.400000017,expExcFix,0
FR,FR,DE,DE13,electricity,electricity_central,capaExcResiDir,12.1222078,expExcFix,0
AT,AT,DE,DE22,electricity,electricity_central,capaExcResiDir,2.25,expExcFix,0
CZ,CZ,DE,DE23,electricity,electricity_central,capaExcResiDir,2.903396777,expExcFix,0
AT,AT,DE,DE27,electricity,electricity_central,capaExcResiDir,6.750000001,expExcFix,0
PL,PL,DE,DE40,electricity,electricity_central,capaExcResiDir,5.070807114,expExcFix,0
SE,SE,DE,DE80,electricity,electricity_central,capaExcResiDir,0.615000017,expExcFix,0
NL,NL,DE,DE94,electricity,electricity_central,capaExcResiDir,3.190620455,expExcFix,0
NL,NL,DE,DEA1,electricity,electricity_central,capaExcResiDir,3.190620455,expExcFix,0
BE,BE,DE,DEA2,electricity,electricity_central,capaExcResiDir,2.000000003,expExcFix,0
NL,NL,DE,DEA2,electricity,electricity_central,capaExcResiDir,3.190620455,expExcFix,0
NL,NL,DE,DEA3,electricity,electricity_central,capaExcResiDir,3.190620455,expExcFix,0
FR,FR,DE,DEC0_,electricity,electricity_central,capaExcResiDir,4.040735935,expExcFix,0
LU,LU,DE,DEC0_,electricity,electricity_central,capaExcResiDir,2.300000015,expExcFix,0
PL,PL,DE,DED2,electricity,electricity_central,capaExcResiDir,5.070807114,expExcFix,0
CZ,CZ,DE,DED4,electricity,electricity_central,capaExcResiDir,2.903396777,expExcFix,0
DK,DK,DE,DEF0,electricity,electricity_central,capaExcResiDir,4.485000001,expExcFix,0
NO,NO,DE,DE94,electricity,electricity_central,capaExcResiDir,1.400000001,expExcFix,0
