region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter,value
AT,AT,CH,CH,electricity,electricity_central,capaExcResiDir,2.4
AT,AT,CZ,CZ,electricity,electricity_central,capaExcResiDir,1.8
AT,AT,HU,HU,electricity,electricity_central,capaExcResiDir,1.6
AT,AT,IT,IT,electricity,electricity_central,capaExcResiDir,1.41
AT,AT,SI,SI,electricity,electricity_central,capaExcResiDir,30
AT,AT,SK,SK,electricity,electricity_central,capaExcResiDir,0
BE,BE,FR,FR,electricity,electricity_central,capaExcResiDir,6.6
BE,BE,LU,LU,electricity,electricity_central,capaExcResiDir,1.389971636
BE,BE,NL,NL,electricity,electricity_central,capaExcResiDir,7.8
BE,BE,NO,NO,electricity,electricity_central,capaExcResiDir,0
BE,BE,UK,UK,electricity,electricity_central,capaExcResiDir,16.43224401
BG,BG,GR,GR,electricity,electricity_central,capaExcResiDir,2.8
BG,BG,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,4.089869834
BG,BG,RO,RO,electricity,electricity_central,capaExcResiDir,22.20925847
BG,BG,TR,TR,electricity,electricity_central,capaExcResiDir,21.77329116
CH,CH,FR,FR,electricity,electricity_central,capaExcResiDir,20.24724587
CH,CH,IT,IT,electricity,electricity_central,capaExcResiDir,8.48
CZ,CZ,PL,PL,electricity,electricity_central,capaExcResiDir,1.585322372
CZ,CZ,SK,SK,electricity,electricity_central,capaExcResiDir,22.51254333
DK,DK,NL,NL,electricity,electricity_central,capaExcResiDir,1.4
DK,DK,NO,NO,electricity,electricity_central,capaExcResiDir,3.28
DK,DK,PL,PL,electricity,electricity_central,capaExcResiDir,0
DK,DK,SE,SE,electricity,electricity_central,capaExcResiDir,4.88
DK,DK,UK,UK,electricity,electricity_central,capaExcResiDir,0
EE,EE,FI,FI,electricity,electricity_central,capaExcResiDir,2.032
EE,EE,LV,LV,electricity,electricity_central,capaExcResiDir,3.025292694
EE,EE,SE,SE,electricity,electricity_central,capaExcResiDir,0
ES,ES,FR,FR,electricity,electricity_central,capaExcResiDir,29.6
ES,ES,IT,IT,electricity,electricity_central,capaExcResiDir,0
ES,ES,PT,PT,electricity,electricity_central,capaExcResiDir,12.2
ES,ES,UK,UK,electricity,electricity_central,capaExcResiDir,0
FI,FI,NO,NO,electricity,electricity_central,capaExcResiDir,0
FI,FI,SE,SE,electricity,electricity_central,capaExcResiDir,6.4
FR,FR,IT,IT,electricity,electricity_central,capaExcResiDir,13.6
FR,FR,LU,LU,electricity,electricity_central,capaExcResiDir,0.76
FR,FR,UK,UK,electricity,electricity_central,capaExcResiDir,30
GR,GR,IT,IT,electricity,electricity_central,capaExcResiDir,1
GR,GR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,19.83890766
GR,GR,TR,TR,electricity,electricity_central,capaExcResiDir,1.32
HR,HR,HU,HU,electricity,electricity_central,capaExcResiDir,9.27574018
HR,HR,IT,IT,electricity,electricity_central,capaExcResiDir,0
HR,HR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,7.103769796
HR,HR,SI,SI,electricity,electricity_central,capaExcResiDir,30
HU,HU,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,30
HU,HU,RO,RO,electricity,electricity_central,capaExcResiDir,30
HU,HU,SI,SI,electricity,electricity_central,capaExcResiDir,6.77433372
HU,HU,SK,SK,electricity,electricity_central,capaExcResiDir,29
IE,IE,UK,UK,electricity,electricity_central,capaExcResiDir,3.975603437
IT,IT,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1.6
IT,IT,SI,SI,electricity,electricity_central,capaExcResiDir,1.36
LT,LT,LV,LV,electricity,electricity_central,capaExcResiDir,2.4
LT,LT,PL,PL,electricity,electricity_central,capaExcResiDir,12.64345545
LT,LT,SE,SE,electricity,electricity_central,capaExcResiDir,1.4
LV,LV,SE,SE,electricity,electricity_central,capaExcResiDir,0
NL,NL,NO,NO,electricity,electricity_central,capaExcResiDir,1.4
NL,NL,UK,UK,electricity,electricity_central,capaExcResiDir,16.50288476
NO,NO,SE,SE,electricity,electricity_central,capaExcResiDir,19.60611714
NO,NO,UK,UK,electricity,electricity_central,capaExcResiDir,0
NONEU_Balkan,NONEU_Balkan,RO,RO,electricity,electricity_central,capaExcResiDir,1.6
PL,PL,SE,SE,electricity,electricity_central,capaExcResiDir,1.2
PL,PL,SK,SK,electricity,electricity_central,capaExcResiDir,5.710634355
RO,RO,TR,TR,electricity,electricity_central,capaExcResiDir,0
CH,CH,AT,AT,electricity,electricity_central,capaExcResiDir,2.4
CZ,CZ,AT,AT,electricity,electricity_central,capaExcResiDir,1.6
HU,HU,AT,AT,electricity,electricity_central,capaExcResiDir,1.6
IT,IT,AT,AT,electricity,electricity_central,capaExcResiDir,1.07
SI,SI,AT,AT,electricity,electricity_central,capaExcResiDir,30
SK,SK,AT,AT,electricity,electricity_central,capaExcResiDir,0
FR,FR,BE,BE,electricity,electricity_central,capaExcResiDir,9.6
LU,LU,BE,BE,electricity,electricity_central,capaExcResiDir,0.389971636
NL,NL,BE,BE,electricity,electricity_central,capaExcResiDir,5.8
NO,NO,BE,BE,electricity,electricity_central,capaExcResiDir,0
UK,UK,BE,BE,electricity,electricity_central,capaExcResiDir,16.43224401
GR,GR,BG,BG,electricity,electricity_central,capaExcResiDir,1.28
NONEU_Balkan,NONEU_Balkan,BG,BG,electricity,electricity_central,capaExcResiDir,2.889869834
RO,RO,BG,BG,electricity,electricity_central,capaExcResiDir,22.20925847
TR,TR,BG,BG,electricity,electricity_central,capaExcResiDir,20.97329116
FR,FR,CH,CH,electricity,electricity_central,capaExcResiDir,23.94724587
IT,IT,CH,CH,electricity,electricity_central,capaExcResiDir,3.82
PL,PL,CZ,CZ,electricity,electricity_central,capaExcResiDir,1.985322372
SK,SK,CZ,CZ,electricity,electricity_central,capaExcResiDir,21.11254333
NL,NL,DK,DK,electricity,electricity_central,capaExcResiDir,1.4
NO,NO,DK,DK,electricity,electricity_central,capaExcResiDir,3.28
