region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter_1,value_1,parameter_2,value_2
DE,DE13,CH,CH,electricity,electricity_central,capaExcResiDir,3.5,expExcFix,0
DE,DE13,FR,FR,electricity,electricity_central,capaExcResiDir,22.5,expExcFix,0
DE,DE22,AT,AT,electricity,electricity_central,capaExcResiDir,1.4425,expExcFix,0
DE,DE23,CZ,CZ,electricity,electricity_central,capaExcResiDir,4.585,expExcFix,0
DE,DE27,AT,AT,electricity,electricity_central,capaExcResiDir,4.3275,expExcFix,0
DE,DE40,PL,PL,electricity,electricity_central,capaExcResiDir,12.175,expExcFix,0
DE,DE80,SE,SE,electricity,electricity_central,capaExcResiDir,0.85,expExcFix,0
DE,DE94,NL,NL,electricity,electricity_central,capaExcResiDir,7.5,expExcFix,0
DE,DEA1,NL,NL,electricity,electricity_central,capaExcResiDir,7.5,expExcFix,0
DE,DEA2,BE,BE,electricity,electricity_central,capaExcResiDir,2,expExcFix,0
DE,DEA2,NL,NL,electricity,electricity_central,capaExcResiDir,7.5,expExcFix,0
DE,DEA3,NL,NL,electricity,electricity_central,capaExcResiDir,7.5,expExcFix,0
DE,DEC0_,FR,FR,electricity,electricity_central,capaExcResiDir,7.5,expExcFix,0
DE,DEC0_,LU,LU,electricity,electricity_central,capaExcResiDir,12.14,expExcFix,0
DE,DED2,PL,PL,electricity,electricity_central,capaExcResiDir,12.175,expExcFix,0
DE,DED4,CZ,CZ,electricity,electricity_central,capaExcResiDir,4.585,expExcFix,0
DE,DEF0,DK,DK,electricity,electricity_central,capaExcResiDir,4.49,expExcFix,0
DE,DE94,NO,NO,electricity,electricity_central,capaExcResiDir,1.4,expExcFix,0
CH,CH,DE,DE13,electricity,electricity_central,capaExcResiDir,3.5,expExcFix,0
FR,FR,DE,DE13,electricity,electricity_central,capaExcResiDir,22.5,expExcFix,0
AT,AT,DE,DE22,electricity,electricity_central,capaExcResiDir,1.4425,expExcFix,0
CZ,CZ,DE,DE23,electricity,electricity_central,capaExcResiDir,4.585,expExcFix,0
AT,AT,DE,DE27,electricity,electricity_central,capaExcResiDir,4.3275,expExcFix,0
PL,PL,DE,DE40,electricity,electricity_central,capaExcResiDir,12.175,expExcFix,0
SE,SE,DE,DE80,electricity,electricity_central,capaExcResiDir,0.85,expExcFix,0
NL,NL,DE,DE94,electricity,electricity_central,capaExcResiDir,7.5,expExcFix,0
NL,NL,DE,DEA1,electricity,electricity_central,capaExcResiDir,7.5,expExcFix,0
BE,BE,DE,DEA2,electricity,electricity_central,capaExcResiDir,2,expExcFix,0
NL,NL,DE,DEA2,electricity,electricity_central,capaExcResiDir,7.5,expExcFix,0
NL,NL,DE,DEA3,electricity,electricity_central,capaExcResiDir,7.5,expExcFix,0
FR,FR,DE,DEC0_,electricity,electricity_central,capaExcResiDir,7.5,expExcFix,0
LU,LU,DE,DEC0_,electricity,electricity_central,capaExcResiDir,12.14,expExcFix,0
PL,PL,DE,DED2,electricity,electricity_central,capaExcResiDir,12.175,expExcFix,0
CZ,CZ,DE,DED4,electricity,electricity_central,capaExcResiDir,4.585,expExcFix,0
DK,DK,DE,DEF0,electricity,electricity_central,capaExcResiDir,4.49,expExcFix,0
NO,NO,DE,DE94,electricity,electricity_central,capaExcResiDir,1.4,expExcFix,0
DE,DE21,AT,AT,gas,hydrogen,capaExcResiDir,4.33,,
DE,DE22,AT,AT,gas,hydrogen,capaExcResiDir,4.33,,
DE,DE23,CZ,CZ,gas,hydrogen,capaExcResiDir,0,,
DE,DE94,NO,NO,gas,hydrogen,capaExcResiDir,10.98,,
DE,DE94,NL,NL,gas,hydrogen,capaExcResiDir,0,,
DE,DEA1,NL,NL,gas,hydrogen,capaExcResiDir,0,,
DE,DEA3,NL,NL,gas,hydrogen,capaExcResiDir,0,,
DE,DED4,CZ,CZ,gas,hydrogen,capaExcResiDir,0,,
DE,DEF0,DK,DK,gas,hydrogen,capaExcResiDir,5.83,,
AT,AT,DE,DE21,gas,hydrogen,capaExcResiDir,4.33,,
AT,AT,DE,DE22,gas,hydrogen,capaExcResiDir,4.33,,
CZ,CZ,DE,DE23,gas,hydrogen,capaExcResiDir,0,,
NO,NO,DE,DE94,gas,hydrogen,capaExcResiDir,10.98,,
NL,NL,DE,DE94,gas,hydrogen,capaExcResiDir,0,,
NL,NL,DE,DEA1,gas,hydrogen,capaExcResiDir,0,,
NL,NL,DE,DEA3,gas,hydrogen,capaExcResiDir,0,,
CZ,CZ,DE,DED4,gas,hydrogen,capaExcResiDir,0,,
DK,DK,DE,DEF0,gas,hydrogen,capaExcResiDir,5.83,,
