region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter,value
AT,AT,CH,CH,electricity,electricity_central,capaExcResiDir,1.314215881
AT,AT,CZ,CZ,electricity,electricity_central,capaExcResiDir,0.90000058
AT,AT,HU,HU,electricity,electricity_central,capaExcResiDir,0.800026315
AT,AT,IT,IT,electricity,electricity_central,capaExcResiDir,0.705012751
AT,AT,SI,SI,electricity,electricity_central,capaExcResiDir,7.908133019
AT,AT,SK,SK,electricity,electricity_central,capaExcResiDir,0.000529959
BE,BE,FR,FR,electricity,electricity_central,capaExcResiDir,3.300006939
BE,BE,LU,LU,electricity,electricity_central,capaExcResiDir,10.69570439
BE,BE,NL,NL,electricity,electricity_central,capaExcResiDir,3.90000196
BE,BE,NO,NO,electricity,electricity_central,capaExcResiDir,0.000448764
BE,BE,UK,UK,electricity,electricity_central,capaExcResiDir,1.000010451
BG,BG,GR,GR,electricity,electricity_central,capaExcResiDir,2.571030922
BG,BG,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,2.564872761
BG,BG,RO,RO,electricity,electricity_central,capaExcResiDir,12.95846765
BG,BG,TR,TR,electricity,electricity_central,capaExcResiDir,29.9984777
CH,CH,FR,FR,electricity,electricity_central,capaExcResiDir,28.14973651
CH,CH,IT,IT,electricity,electricity_central,capaExcResiDir,4.240000263
CZ,CZ,PL,PL,electricity,electricity_central,capaExcResiDir,0.600003787
CZ,CZ,SK,SK,electricity,electricity_central,capaExcResiDir,12.8437254
DK,DK,NL,NL,electricity,electricity_central,capaExcResiDir,0.700012312
DK,DK,NO,NO,electricity,electricity_central,capaExcResiDir,1.640000013
DK,DK,PL,PL,electricity,electricity_central,capaExcResiDir,0.000177258
DK,DK,SE,SE,electricity,electricity_central,capaExcResiDir,2.440074072
DK,DK,UK,UK,electricity,electricity_central,capaExcResiDir,0.000199279
EE,EE,FI,FI,electricity,electricity_central,capaExcResiDir,4.630348219
EE,EE,LV,LV,electricity,electricity_central,capaExcResiDir,2.802785736
EE,EE,SE,SE,electricity,electricity_central,capaExcResiDir,0.000140298
ES,ES,FR,FR,electricity,electricity_central,capaExcResiDir,29.79976448
ES,ES,IT,IT,electricity,electricity_central,capaExcResiDir,9.09E-05
ES,ES,PT,PT,electricity,electricity_central,capaExcResiDir,7.41319278
ES,ES,UK,UK,electricity,electricity_central,capaExcResiDir,8.99E-05
FI,FI,NO,NO,electricity,electricity_central,capaExcResiDir,0.000338648
FI,FI,SE,SE,electricity,electricity_central,capaExcResiDir,14.33943351
FR,FR,IT,IT,electricity,electricity_central,capaExcResiDir,6.800022655
FR,FR,LU,LU,electricity,electricity_central,capaExcResiDir,17.79202399
FR,FR,UK,UK,electricity,electricity_central,capaExcResiDir,13.92489431
GR,GR,IT,IT,electricity,electricity_central,capaExcResiDir,1.110866101
GR,GR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,29.99758464
GR,GR,TR,TR,electricity,electricity_central,capaExcResiDir,29.95958061
HR,HR,HU,HU,electricity,electricity_central,capaExcResiDir,2.000000234
HR,HR,IT,IT,electricity,electricity_central,capaExcResiDir,1.500617407
HR,HR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1.300029823
HR,HR,SI,SI,electricity,electricity_central,capaExcResiDir,1.640000054
HU,HU,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,20.39481708
HU,HU,RO,RO,electricity,electricity_central,capaExcResiDir,8.443068823
HU,HU,SI,SI,electricity,electricity_central,capaExcResiDir,6.834618951
HU,HU,SK,SK,electricity,electricity_central,capaExcResiDir,16.0267166
IE,IE,UK,UK,electricity,electricity_central,capaExcResiDir,14.95823753
IT,IT,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,0.800001412
IT,IT,SI,SI,electricity,electricity_central,capaExcResiDir,2.086350015
LT,LT,LV,LV,electricity,electricity_central,capaExcResiDir,1.229904304
LT,LT,PL,PL,electricity,electricity_central,capaExcResiDir,2.635639435
LT,LT,SE,SE,electricity,electricity_central,capaExcResiDir,0.70000164
LV,LV,SE,SE,electricity,electricity_central,capaExcResiDir,0.000174996
NL,NL,NO,NO,electricity,electricity_central,capaExcResiDir,0.700002196
NL,NL,UK,UK,electricity,electricity_central,capaExcResiDir,11.5749097
NO,NO,SE,SE,electricity,electricity_central,capaExcResiDir,29.24394021
NO,NO,UK,UK,electricity,electricity_central,capaExcResiDir,0.000632112
NONEU_Balkan,NONEU_Balkan,RO,RO,electricity,electricity_central,capaExcResiDir,0.800000725
PL,PL,SE,SE,electricity,electricity_central,capaExcResiDir,0.60000156
PL,PL,SK,SK,electricity,electricity_central,capaExcResiDir,4.105305885
RO,RO,TR,TR,electricity,electricity_central,capaExcResiDir,0.00114552
CH,CH,AT,AT,electricity,electricity_central,capaExcResiDir,1.314215881
CZ,CZ,AT,AT,electricity,electricity_central,capaExcResiDir,0.80000058
HU,HU,AT,AT,electricity,electricity_central,capaExcResiDir,0.800026315
IT,IT,AT,AT,electricity,electricity_central,capaExcResiDir,0.535012751
SI,SI,AT,AT,electricity,electricity_central,capaExcResiDir,7.908133019
