region_1,region_2,technology_1,technology_2,parameter,value
AT,AT,wind_offshore,offshore_c,capaConvResi,0
BE,BE,wind_offshore,offshore_c,capaConvResi,0
BG,BG,wind_offshore,offshore_c,capaConvResi,0
CH,CH,wind_offshore,offshore_c,capaConvResi,0
CZ,CZ,wind_offshore,offshore_c,capaConvResi,0
DK,DK,wind_offshore,offshore_c,capaConvResi,0
EE,EE,wind_offshore,offshore_c,capaConvResi,0
ES,ES,wind_offshore,offshore_c,capaConvResi,0
FI,FI,wind_offshore,offshore_c,capaConvResi,0
FR,FR,wind_offshore,offshore_c,capaConvResi,0
GR,GR,wind_offshore,offshore_c,capaConvResi,0
HR,HR,wind_offshore,offshore_c,capaConvResi,0
HU,HU,wind_offshore,offshore_c,capaConvResi,0
IE,IE,wind_offshore,offshore_c,capaConvResi,0
IT,IT,wind_offshore,offshore_c,capaConvResi,0
LT,LT,wind_offshore,offshore_c,capaConvResi,0
LU,LU,wind_offshore,offshore_c,capaConvResi,0
LV,LV,wind_offshore,offshore_c,capaConvResi,0
NL,NL,wind_offshore,offshore_c,capaConvResi,0
NO,NO,wind_offshore,offshore_c,capaConvResi,0
NONEU_Balkan,NONEU_Balkan,wind_offshore,offshore_c,capaConvResi,0
PL,PL,wind_offshore,offshore_c,capaConvResi,0
PT,PT,wind_offshore,offshore_c,capaConvResi,0
RO,RO,wind_offshore,offshore_c,capaConvResi,0
SE,SE,wind_offshore,offshore_c,capaConvResi,0
SI,SI,wind_offshore,offshore_c,capaConvResi,0
SK,SK,wind_offshore,offshore_c,capaConvResi,0
TR,TR,wind_offshore,offshore_c,capaConvResi,0
UK,UK,wind_offshore,offshore_c,capaConvResi,0
AT,AT,electricResidentalHeating,,capaConvResi,100
BE,BE,electricResidentalHeating,,capaConvResi,100
BG,BG,electricResidentalHeating,,capaConvResi,100
CH,CH,electricResidentalHeating,,capaConvResi,100
CZ,CZ,electricResidentalHeating,,capaConvResi,100
DK,DK,electricResidentalHeating,,capaConvResi,100
EE,EE,electricResidentalHeating,,capaConvResi,100
ES,ES,electricResidentalHeating,,capaConvResi,100
FI,FI,electricResidentalHeating,,capaConvResi,100
FR,FR,electricResidentalHeating,,capaConvResi,100
GR,GR,electricResidentalHeating,,capaConvResi,100
HR,HR,electricResidentalHeating,,capaConvResi,100
HU,HU,electricResidentalHeating,,capaConvResi,100
IE,IE,electricResidentalHeating,,capaConvResi,100
IT,IT,electricResidentalHeating,,capaConvResi,100
LT,LT,electricResidentalHeating,,capaConvResi,100
LU,LU,electricResidentalHeating,,capaConvResi,100
LV,LV,electricResidentalHeating,,capaConvResi,100
NL,NL,electricResidentalHeating,,capaConvResi,100
NO,NO,electricResidentalHeating,,capaConvResi,100
NONEU_Balkan,NONEU_Balkan,electricResidentalHeating,,capaConvResi,100
PL,PL,electricResidentalHeating,,capaConvResi,100
PT,PT,electricResidentalHeating,,capaConvResi,100
RO,RO,electricResidentalHeating,,capaConvResi,100
SE,SE,electricResidentalHeating,,capaConvResi,100
SI,SI,electricResidentalHeating,,capaConvResi,100
SK,SK,electricResidentalHeating,,capaConvResi,100
TR,TR,electricResidentalHeating,,capaConvResi,100
UK,UK,electricResidentalHeating,,capaConvResi,100
AT,AT,fermenter,,capaConvResi,0.1
BE,BE,fermenter,,capaConvResi,5.37
BG,BG,fermenter,,capaConvResi,0.1
CH,CH,fermenter,,capaConvResi,0.1
CZ,CZ,fermenter,,capaConvResi,0.96
DK,DK,fermenter,,capaConvResi,0.1
EE,EE,fermenter,,capaConvResi,1.63
ES,ES,fermenter,,capaConvResi,43.25
FI,FI,fermenter,,capaConvResi,34.84
FR,FR,fermenter,,capaConvResi,12.66
GR,GR,fermenter,,capaConvResi,20.19
HR,HR,fermenter,,capaConvResi,0.1
HU,HU,fermenter,,capaConvResi,0.1
IE,IE,fermenter,,capaConvResi,1.83
IT,IT,fermenter,,capaConvResi,0.1
LT,LT,fermenter,,capaConvResi,4.16
LU,LU,fermenter,,capaConvResi,0.23
LV,LV,fermenter,,capaConvResi,1.28
NL,NL,fermenter,,capaConvResi,0.34
NO,NO,fermenter,,capaConvResi,0.1
NONEU_Balkan,NONEU_Balkan,fermenter,,capaConvResi,0.1
PL,PL,fermenter,,capaConvResi,30.34
PT,PT,fermenter,,capaConvResi,10.96
RO,RO,fermenter,,capaConvResi,0.1
SE,SE,fermenter,,capaConvResi,35.77
SI,SI,fermenter,,capaConvResi,0.1
SK,SK,fermenter,,capaConvResi,0.92
TR,TR,fermenter,,capaConvResi,98.21
UK,UK,fermenter,,capaConvResi,8.44
AT,AT,pumpedHydro,,capaStOutResi,12.35
BE,BE,pumpedHydro,,capaStOutResi,1.3
BG,BG,pumpedHydro,,capaStOutResi,2.8
CH,CH,pumpedHydro,,capaStOutResi,13.58
CZ,CZ,pumpedHydro,,capaStOutResi,1.05
ES,ES,pumpedHydro,,capaStOutResi,19.2
FI,FI,pumpedHydro,,capaStOutResi,3.2
FR,FR,pumpedHydro,,capaStOutResi,13.5
GR,GR,pumpedHydro,,capaStOutResi,4
HR,HR,pumpedHydro,,capaStOutResi,2.29
IE,IE,pumpedHydro,,capaStOutResi,0.44
IT,IT,pumpedHydro,,capaStOutResi,16.45
LT,LT,pumpedHydro,,capaStOutResi,1.12
LU,LU,pumpedHydro,,capaStOutResi,1.31
LV,LV,pumpedHydro,,capaStOutResi,1.61
NO,NO,pumpedHydro,,capaStOutResi,35.81
