value,parameter,region_2,technology_1,technology_2
0.07679268590602006,capaConvFix,DE11,fermenter,
0.04336303294813657,capaConvFix,DE12,fermenter,
0.04561527569797356,capaConvFix,DE13,fermenter,
0.04453375075259001,capaConvFix,DE14,fermenter,
0.0795218736730034,capaConvFix,DE21,fermenter,
0.04922309995826993,capaConvFix,DE22,fermenter,
0.03774419702834715,capaConvFix,DE23,fermenter,
0.07066805725833829,capaConvFix,DE24,fermenter,
0.040690305283914215,capaConvFix,DE25,fermenter,
0.047826897595666065,capaConvFix,DE26,fermenter,
0.05606493725321151,capaConvFix,DE27,fermenter,
0.022751474522298996,capaConvFix,DE30,fermenter,
0.5285486441750172,capaConvFix,DE40,fermenter,
0.016265296826596023,capaConvFix,DE50,fermenter,
0.02018594122809195,capaConvFix,DE60,fermenter,
0.0521492615545568,capaConvFix,DE71,fermenter,
0.04033109621502123,capaConvFix,DE72,fermenter,
0.05828898591131224,capaConvFix,DE73,fermenter,
0.7733295492816311,capaConvFix,DE80,fermenter,
0.07746625590296081,capaConvFix,DE91,fermenter,
0.9543017380721125,capaConvFix,DE92,fermenter,
0.3347191862822648,capaConvFix,DE93,fermenter,
0.9209129637356996,capaConvFix,DE94,fermenter,
0.11718188495646031,capaConvFix,DEA1,fermenter,
0.13121176328567766,capaConvFix,DEA2,fermenter,
0.5127640741397284,capaConvFix,DEA3,fermenter,
0.4906199159466509,capaConvFix,DEA4,fermenter,
0.10331425226352653,capaConvFix,DEA5,fermenter,
0.08427051103559416,capaConvFix,DEB1,fermenter,
0.0755924061610796,capaConvFix,DEB2,fermenter,
0.061904156790500695,capaConvFix,DEB3,fermenter,
0.043954930839226115,capaConvFix,DEC0_,fermenter,
0.1311024948799386,capaConvFix,DED2,fermenter,
0.09253418578605985,capaConvFix,DED4,fermenter,
0.07030953342484136,capaConvFix,DED5,fermenter,
1.047320773843193,capaConvFix,DEE0,fermenter,
1.1927471675887031,capaConvFix,DEF0,fermenter,
0.19993808173113115,capaConvFix,DEG0,fermenter,
0.47147868157259615,capaConvFix,DE11,electrolysis,
0.2662329799011984,capaConvFix,DE12,electrolysis,
0.28006091715519843,capaConvFix,DE13,electrolysis,
0.2734207541068405,capaConvFix,DE14,electrolysis,
0.48823488478335647,capaConvFix,DE21,electrolysis,
0.302211623378339,capaConvFix,DE22,electrolysis,
0.23173540607395732,capaConvFix,DE23,electrolysis,
0.43387572751698883,capaConvFix,DE24,electrolysis,
0.24982342083365472,capaConvFix,DE25,electrolysis,
0.29363945740494635,capaConvFix,DE26,electrolysis,
0.3442179731927084,capaConvFix,DE27,electrolysis,
0.13968563652967797,capaConvFix,DE30,electrolysis,
3.245093135661305,capaConvFix,DE40,electrolysis,
0.09986290507634456,capaConvFix,DE50,electrolysis,
0.12393421123686225,capaConvFix,DE60,electrolysis,
0.320177173029436,capaConvFix,DE71,electrolysis,
0.24761801004208725,capaConvFix,DE72,electrolysis,
0.35787280915401226,capaConvFix,DE73,electrolysis,
4.747957334929607,capaConvFix,DE80,electrolysis,
0.47561415216276587,capaConvFix,DE91,electrolysis,
5.859059622413919,capaConvFix,DE92,electrolysis,
2.0550519725087892,capaConvFix,DE93,electrolysis,
5.654064900355072,capaConvFix,DE94,electrolysis,
0.7194534215286822,capaConvFix,DEA1,electrolysis,
0.805591684036893,capaConvFix,DEA2,electrolysis,
3.148181715235979,capaConvFix,DEA3,electrolysis,
3.0122247762875958,capaConvFix,DEA4,electrolysis,
0.6343112872035578,capaConvFix,DEA5,electrolysis,
0.517389761404297,capaConvFix,DEB1,electrolysis,
0.46410940798897143,capaConvFix,DEB2,electrolysis,
0.3800686208992269,capaConvFix,DEB3,electrolysis,
0.2698670139765011,capaConvFix,DEC0_,electrolysis,
0.8049208164501225,capaConvFix,DED2,electrolysis,
0.5681256671787412,capaConvFix,DED4,electrolysis,
0.4316745238172465,capaConvFix,DED5,electrolysis,
6.430162089127681,capaConvFix,DEE0,electrolysis,
7.323026345404661,capaConvFix,DEF0,electrolysis,
1.2275458536000727,capaConvFix,DEG0,electrolysis,
0.0,capaStSizeFix,DE11,,home
0.0,capaStSizeFix,DE12,,home
0.0,capaStSizeFix,DE13,,home
0.0,capaStSizeFix,DE14,,home
0.0,capaStSizeFix,DE21,,home
0.0,capaStSizeFix,DE22,,home
0.0,capaStSizeFix,DE23,,home
0.0,capaStSizeFix,DE24,,home
0.0,capaStSizeFix,DE25,,home
0.0,capaStSizeFix,DE26,,home
0.0,capaStSizeFix,DE27,,home
0.0,capaStSizeFix,DE30,,home
0.0,capaStSizeFix,DE40,,home
0.0,capaStSizeFix,DE50,,home
0.0,capaStSizeFix,DE60,,home
