value,parameter,region_2,technology_1,technology_2
0.0,capaConvLow,DE11,,offshore_c
0.0,capaConvLow,DE12,,offshore_c
0.0,capaConvLow,DE13,,offshore_c
0.0,capaConvLow,DE14,,offshore_c
0.0,capaConvLow,DE21,,offshore_c
0.0,capaConvLow,DE22,,offshore_c
0.0,capaConvLow,DE23,,offshore_c
0.0,capaConvLow,DE24,,offshore_c
0.0,capaConvLow,DE25,,offshore_c
0.0,capaConvLow,DE26,,offshore_c
0.0,capaConvLow,DE27,,offshore_c
0.0,capaConvLow,DE30,,offshore_c
0.0,capaConvLow,DE40,,offshore_c
0.0,capaConvLow,DE50,,offshore_c
0.0,capaConvLow,DE60,,offshore_c
0.0,capaConvLow,DE71,,offshore_c
0.0,capaConvLow,DE72,,offshore_c
0.0,capaConvLow,DE73,,offshore_c
0.0,capaConvLow,DE80,,offshore_c
0.0,capaConvLow,DE91,,offshore_c
0.0,capaConvLow,DE92,,offshore_c
0.0,capaConvLow,DE93,,offshore_c
0.0,capaConvLow,DE94,,offshore_c
0.0,capaConvLow,DEA1,,offshore_c
0.0,capaConvLow,DEA2,,offshore_c
0.0,capaConvLow,DEA3,,offshore_c
0.0,capaConvLow,DEA4,,offshore_c
0.0,capaConvLow,DEA5,,offshore_c
0.0,capaConvLow,DEB1,,offshore_c
0.0,capaConvLow,DEB2,,offshore_c
0.0,capaConvLow,DEB3,,offshore_c
0.0,capaConvLow,DEC0_,,offshore_c
0.0,capaConvLow,DED2,,offshore_c
0.0,capaConvLow,DED4,,offshore_c
0.0,capaConvLow,DED5,,offshore_c
0.0,capaConvLow,DEE0,,offshore_c
0.0,capaConvLow,DEF0,,offshore_c
0.0,capaConvLow,DEG0,,offshore_c
0.0,capaConvLow,DE11,,offshore_a
0.0,capaConvLow,DE12,,offshore_a
0.0,capaConvLow,DE13,,offshore_a
0.0,capaConvLow,DE14,,offshore_a
0.0,capaConvLow,DE21,,offshore_a
0.0,capaConvLow,DE22,,offshore_a
0.0,capaConvLow,DE23,,offshore_a
0.0,capaConvLow,DE24,,offshore_a
0.0,capaConvLow,DE25,,offshore_a
0.0,capaConvLow,DE26,,offshore_a
0.0,capaConvLow,DE27,,offshore_a
0.0,capaConvLow,DE30,,offshore_a
0.0,capaConvLow,DE40,,offshore_a
0.0,capaConvLow,DE50,,offshore_a
0.0,capaConvLow,DE60,,offshore_a
0.0,capaConvLow,DE71,,offshore_a
0.0,capaConvLow,DE72,,offshore_a
0.0,capaConvLow,DE73,,offshore_a
12.06,capaConvLow,DE80,,offshore_a
0.0,capaConvLow,DE91,,offshore_a
0.0,capaConvLow,DE92,,offshore_a
0.0,capaConvLow,DE93,,offshore_a
9.100000000000001,capaConvLow,DE94,,offshore_a
0.0,capaConvLow,DEA1,,offshore_a
0.0,capaConvLow,DEA2,,offshore_a
0.0,capaConvLow,DEA3,,offshore_a
0.0,capaConvLow,DEA4,,offshore_a
0.0,capaConvLow,DEA5,,offshore_a
0.0,capaConvLow,DEB1,,offshore_a
0.0,capaConvLow,DEB2,,offshore_a
0.0,capaConvLow,DEB3,,offshore_a
0.0,capaConvLow,DEC0_,,offshore_a
0.0,capaConvLow,DED2,,offshore_a
0.0,capaConvLow,DED4,,offshore_a
0.0,capaConvLow,DED5,,offshore_a
0.0,capaConvLow,DEE0,,offshore_a
28.799999999966314,capaConvLow,DEF0,,offshore_a
0.0,capaConvLow,DEG0,,offshore_a
0.0,capaConvLow,DE11,,offshore_b
0.0,capaConvLow,DE12,,offshore_b
0.0,capaConvLow,DE13,,offshore_b
0.0,capaConvLow,DE14,,offshore_b
0.0,capaConvLow,DE21,,offshore_b
0.0,capaConvLow,DE22,,offshore_b
0.0,capaConvLow,DE23,,offshore_b
0.0,capaConvLow,DE24,,offshore_b
0.0,capaConvLow,DE25,,offshore_b
0.0,capaConvLow,DE26,,offshore_b
0.0,capaConvLow,DE27,,offshore_b
0.0,capaConvLow,DE30,,offshore_b
0.0,capaConvLow,DE40,,offshore_b
0.0,capaConvLow,DE50,,offshore_b
0.0,capaConvLow,DE60,,offshore_b
0.0,capaConvLow,DE71,,offshore_b
0.0,capaConvLow,DE72,,offshore_b
0.0,capaConvLow,DE73,,offshore_b
0.0,capaConvLow,DE80,,offshore_b
0.0,capaConvLow,DE91,,offshore_b
0.0,capaConvLow,DE92,,offshore_b
0.0,capaConvLow,DE93,,offshore_b
0.0,capaConvLow,DE94,,offshore_b
0.0,capaConvLow,DEA1,,offshore_b
0.0,capaConvLow,DEA2,,offshore_b
0.0,capaConvLow,DEA3,,offshore_b
0.0,capaConvLow,DEA4,,offshore_b
0.0,capaConvLow,DEA5,,offshore_b
0.0,capaConvLow,DEB1,,offshore_b
0.0,capaConvLow,DEB2,,offshore_b
0.0,capaConvLow,DEB3,,offshore_b
0.0,capaConvLow,DEC0_,,offshore_b
0.0,capaConvLow,DED2,,offshore_b
0.0,capaConvLow,DED4,,offshore_b
0.0,capaConvLow,DED5,,offshore_b
0.0,capaConvLow,DEE0,,offshore_b
0.0,capaConvLow,DEF0,,offshore_b
0.0,capaConvLow,DEG0,,offshore_b
2.172118225362437,capaConvLow,DE11,,rooftop_c
2.3585575033042216,capaConvLow,DE12,,rooftop_c
0.8532965026729474,capaConvLow,DE13,,rooftop_c
2.0549050736629937,capaConvLow,DE14,,rooftop_c
1.4554944091763211,capaConvLow,DE21,,rooftop_c
1.481545691,capaConvLow,DE22,,rooftop_c
0.6658744887507477,capaConvLow,DE23,,rooftop_c
0.11497822181188765,capaConvLow,DE24,,rooftop_c
1.3843152678154613,capaConvLow,DE25,,rooftop_c
1.3992123486953734,capaConvLow,DE26,,rooftop_c
2.544531592012309,capaConvLow,DE27,,rooftop_c
0.10146846392685563,capaConvLow,DE30,,rooftop_c
1.5085719986531305,capaConvLow,DE40,,rooftop_c
0.03501668994449829,capaConvLow,DE50,,rooftop_c
0.042564219699999295,capaConvLow,DE60,,rooftop_c
2.757468601987182,capaConvLow,DE71,,rooftop_c
0.8947626809052377,capaConvLow,DE72,,rooftop_c
1.7685881365436278,capaConvLow,DE73,,rooftop_c
1.2507005216598026,capaConvLow,DE80,,rooftop_c
2.0402214102122174,capaConvLow,DE91,,rooftop_c
1.807586105490962,capaConvLow,DE92,,rooftop_c
3.0287713320150846,capaConvLow,DE93,,rooftop_c
3.5929746486324765,capaConvLow,DE94,,rooftop_c
3.7554333797967745,capaConvLow,DEA1,,rooftop_c
1.6837654738939407,capaConvLow,DEA2,,rooftop_c
1.8789616653492187,capaConvLow,DEA3,,rooftop_c
2.3491921614836064,capaConvLow,DEA4,,rooftop_c
0.8241205455321112,capaConvLow,DEA5,,rooftop_c
1.0271430267582384,capaConvLow,DEB1,,rooftop_c
0.1798084549237864,capaConvLow,DEB2,,rooftop_c
0.7190173180616215,capaConvLow,DEB3,,rooftop_c
0.34618675826825435,capaConvLow,DEC0_,,rooftop_c
1.598636159850668,capaConvLow,DED2,,rooftop_c
0.363846781640127,capaConvLow,DED4,,rooftop_c
0.057553301254368076,capaConvLow,DED5,,rooftop_c
2.9587768683351006,capaConvLow,DEE0,,rooftop_c
3.677697437871398,capaConvLow,DEF0,,rooftop_c
2.226519619798142,capaConvLow,DEG0,,rooftop_c
1.468046619924183,capaConvLow,DE11,,openspace_a
