region_2,technology_1,technology_2,technology_3,parameter,value
DE11,pv,openspace,openspace_a,capaConvUp,2.936
DE11,pv,openspace,openspace_b,capaConvUp,1.992
DE12,pv,openspace,openspace_a,capaConvUp,0.498
DE12,pv,openspace,openspace_b,capaConvUp,2.088
DE94,pv,openspace,openspace_a,capaConvUp,8.552
DE94,pv,openspace,openspace_b,capaConvUp,1.755
DEA1,pv,openspace,openspace_a,capaConvUp,1.907
DEA1,pv,openspace,openspace_b,capaConvUp,0.447
DEA4,pv,openspace,openspace_a,capaConvUp,4.108
DEA4,pv,openspace,openspace_b,capaConvUp,0.695
DEA5,pv,openspace,openspace_a,capaConvUp,0.902
DEA5,pv,openspace,openspace_b,capaConvUp,1.145
DEB3,pv,openspace,openspace_a,capaConvUp,1.027
DEB3,pv,openspace,openspace_b,capaConvUp,2.226
DED2,pv,openspace,openspace_a,capaConvUp,1.552
DED2,pv,openspace,openspace_b,capaConvUp,2.88
DED4,pv,openspace,openspace_a,capaConvUp,2.175
DED4,pv,openspace,openspace_b,capaConvUp,1.003
DED5,pv,openspace,openspace_a,capaConvUp,1.595
DED5,pv,openspace,openspace_b,capaConvUp,0.389
DEE0,pv,openspace,openspace_a,capaConvUp,12.433
DEE0,pv,openspace,openspace_b,capaConvUp,5.667
DEF0,pv,openspace,openspace_a,capaConvUp,8.14
DEF0,pv,openspace,openspace_b,capaConvUp,4.003
DEG0,pv,openspace,openspace_a,capaConvUp,1.976
DEG0,pv,openspace,openspace_b,capaConvUp,3.828
DE92,pv,openspace,openspace_a,capaConvUp,9.402
DE92,pv,openspace,openspace_b,capaConvUp,0.65
DE93,pv,openspace,openspace_a,capaConvUp,7.416
DE93,pv,openspace,openspace_b,capaConvUp,1.881
DEA2,pv,openspace,openspace_a,capaConvUp,2.661
DEA2,pv,openspace,openspace_b,capaConvUp,1.013
DEB1,pv,openspace,openspace_a,capaConvUp,2.149
DEB1,pv,openspace,openspace_b,capaConvUp,1.187
DEC0_,pv,openspace,openspace_a,capaConvUp,0.625
DEC0_,pv,openspace,openspace_b,capaConvUp,0.436
DEA3,pv,openspace,openspace_a,capaConvUp,0.774
DEA3,pv,openspace,openspace_b,capaConvUp,4.181
DEB2,pv,openspace,openspace_a,capaConvUp,1.117
DEB2,pv,openspace,openspace_b,capaConvUp,1.306
DE21,pv,openspace,openspace_a,capaConvUp,0.934
DE21,pv,openspace,openspace_b,capaConvUp,6.259
DE22,pv,openspace,openspace_a,capaConvUp,0.745
DE22,pv,openspace,openspace_b,capaConvUp,6.724
DE23,pv,openspace,openspace_a,capaConvUp,2.414
DE23,pv,openspace,openspace_b,capaConvUp,1.853
DE25,pv,openspace,openspace_a,capaConvUp,2.314
DE25,pv,openspace,openspace_b,capaConvUp,0.884
DE26,pv,openspace,openspace_a,capaConvUp,1.466
DE26,pv,openspace,openspace_b,capaConvUp,3.719
DE40,pv,openspace,openspace_a,capaConvUp,10.854
DE40,pv,openspace,openspace_b,capaConvUp,4.571
DE50,pv,openspace,openspace_a,capaConvUp,0.024
DE50,pv,openspace,openspace_b,capaConvUp,0.001
DE60,pv,openspace,openspace_a,capaConvUp,0.081
DE60,pv,openspace,openspace_b,capaConvUp,0.087
DE71,pv,openspace,openspace_a,capaConvUp,1.998
DE71,pv,openspace,openspace_b,capaConvUp,0.832
DE72,pv,openspace,openspace_a,capaConvUp,0.632
DE72,pv,openspace,openspace_b,capaConvUp,1.372
DE73,pv,openspace,openspace_a,capaConvUp,1.852
DE73,pv,openspace,openspace_b,capaConvUp,2.358
DE80,pv,openspace,openspace_a,capaConvUp,7.123
DE80,pv,openspace,openspace_b,capaConvUp,7.536
DE91,pv,openspace,openspace_a,capaConvUp,1.588
DE91,pv,openspace,openspace_b,capaConvUp,0.729
DE13,pv,openspace,openspace_a,capaConvUp,0.421
DE13,pv,openspace,openspace_b,capaConvUp,3.778
DE24,pv,openspace,openspace_a,capaConvUp,2.812
DE24,pv,openspace,openspace_b,capaConvUp,0.794
DE27,pv,openspace,openspace_a,capaConvUp,6.432
DE27,pv,openspace,openspace_b,capaConvUp,0.004
DE14,pv,openspace,openspace_a,capaConvUp,3.15
DE14,pv,openspace,openspace_b,capaConvUp,1.412
DE30,pv,openspace,openspace_a,capaConvUp,0.03
DE30,pv,openspace,openspace_b,capaConvUp,0.004
DE11,pv,rooftop,rooftop_a,capaConvUp,18.81
DE11,pv,rooftop,rooftop_b,capaConvUp,7.855
DE11,pv,rooftop,rooftop_c,capaConvUp,11.775
DE12,pv,rooftop,rooftop_a,capaConvUp,9.4
DE12,pv,rooftop,rooftop_b,capaConvUp,1.405
DE12,pv,rooftop,rooftop_c,capaConvUp,12.785
DE94,pv,rooftop,rooftop_a,capaConvUp,14.39
DE94,pv,rooftop,rooftop_b,capaConvUp,2.545
DE94,pv,rooftop,rooftop_c,capaConvUp,19.48
DEA1,pv,rooftop,rooftop_a,capaConvUp,15.705
DEA1,pv,rooftop,rooftop_b,capaConvUp,0.05
DEA1,pv,rooftop,rooftop_c,capaConvUp,20.36
