region_2,value,technology_2,parameter
DE11,23.52985329,agrar_pv,capaConvUp
DE12,7.438539958,agrar_pv,capaConvUp
DE13,3.87940807,agrar_pv,capaConvUp
DE14,19.07011857,agrar_pv,capaConvUp
DE21,20.6559654,agrar_pv,capaConvUp
DE22,19.39130852,agrar_pv,capaConvUp
DE23,17.11951161,agrar_pv,capaConvUp
DE24,14.1635506,agrar_pv,capaConvUp
DE25,17.38147268,agrar_pv,capaConvUp
DE26,19.24186569,agrar_pv,capaConvUp
DE27,16.52809512,agrar_pv,capaConvUp
DE40,61.05221617,agrar_pv,capaConvUp
DE60,0.095239694,agrar_pv,capaConvUp
DE71,7.839684733,agrar_pv,capaConvUp
DE72,7.62395208,agrar_pv,capaConvUp
DE73,14.89647675,agrar_pv,capaConvUp
DE80,62.07339503,agrar_pv,capaConvUp
DE91,11.42938636,agrar_pv,capaConvUp
DE92,15.50508872,agrar_pv,capaConvUp
DE93,44.46410301,agrar_pv,capaConvUp
DE94,32.8603113,agrar_pv,capaConvUp
DEA1,9.613311176,agrar_pv,capaConvUp
DEA2,8.081086,agrar_pv,capaConvUp
DEA3,15.33018494,agrar_pv,capaConvUp
DEA4,16.16744694,agrar_pv,capaConvUp
DEA5,10.05844149,agrar_pv,capaConvUp
DEB1,9.070532141,agrar_pv,capaConvUp
DEB2,5.111958411,agrar_pv,capaConvUp
DEB3,14.09107208,agrar_pv,capaConvUp
DEC0_,2.815780466,agrar_pv,capaConvUp
DED2,15.70777939,agrar_pv,capaConvUp
DED4,16.23261531,agrar_pv,capaConvUp
DED5,8.40252516,agrar_pv,capaConvUp
DEE0,56.13405994,agrar_pv,capaConvUp
DEF0,39.19709455,agrar_pv,capaConvUp
DEG0,37.74656866,agrar_pv,capaConvUp
DE50,0,agrar_pv,capaConvUp
DE30,0,agrar_pv,capaConvUp
