region_2,technology_1,technology_2,parameter,value
DE11,openspace,openspace_a,capaConvUp,7.980797505
DE11,openspace,openspace_b,capaConvUp,5.415853568
DE12,openspace,openspace_a,capaConvUp,1.354596386
DE12,openspace,openspace_b,capaConvUp,5.674733023
DE94,openspace,openspace_a,capaConvUp,23.24550639
DE94,openspace,openspace_b,capaConvUp,4.771500689
DEA1,openspace,openspace_a,capaConvUp,5.183657203
DEA1,openspace,openspace_b,capaConvUp,1.21606317
DEA4,openspace,openspace_a,capaConvUp,11.16608119
DEA4,openspace,openspace_b,capaConvUp,1.887770353
DEA5,openspace,openspace_a,capaConvUp,2.451521574
DEA5,openspace,openspace_b,capaConvUp,3.113494217
DEB3,openspace,openspace_a,capaConvUp,2.792886835
DEB3,openspace,openspace_b,capaConvUp,6.050393242
DED2,openspace,openspace_a,capaConvUp,4.2180567
DED2,openspace,openspace_b,capaConvUp,7.829067813
DED4,openspace,openspace_a,capaConvUp,5.91188897
DED4,openspace,openspace_b,capaConvUp,2.727629497
DED5,openspace,openspace_a,capaConvUp,4.335580507
DED5,openspace,openspace_b,capaConvUp,1.057915148
DEE0,openspace,openspace_a,capaConvUp,33.79396987
DEE0,openspace,openspace_b,capaConvUp,15.40286741
DEF0,openspace,openspace_a,capaConvUp,22.12543866
DEF0,openspace,openspace_b,capaConvUp,10.87960592
DEG0,openspace,openspace_a,capaConvUp,5.370719889
DEG0,openspace,openspace_b,capaConvUp,10.40394486
DE92,openspace,openspace_a,capaConvUp,25.55514884
DE92,openspace,openspace_b,capaConvUp,1.76624801
DE93,openspace,openspace_a,capaConvUp,20.15885484
DE93,openspace,openspace_b,capaConvUp,5.113558643
DEA2,openspace,openspace_a,capaConvUp,7.23351738
DEA2,openspace,openspace_b,capaConvUp,2.752903423
DEB1,openspace,openspace_a,capaConvUp,5.842143283
DEB1,openspace,openspace_b,capaConvUp,3.226010092
DEC0_,openspace,openspace_a,capaConvUp,1.699502545
DEC0_,openspace,openspace_b,capaConvUp,1.184799889
DEA3,openspace,openspace_a,capaConvUp,2.103305044
DEA3,openspace,openspace_b,capaConvUp,11.36399289
DEB2,openspace,openspace_a,capaConvUp,3.036597011
DEB2,openspace,openspace_b,capaConvUp,3.550155866
DE21,openspace,openspace_a,capaConvUp,2.537763498
DE21,openspace,openspace_b,capaConvUp,17.01261352
DE22,openspace,openspace_a,capaConvUp,2.02544354
DE22,openspace,openspace_b,capaConvUp,18.27786088
DE23,openspace,openspace_a,capaConvUp,6.561629032
DE23,openspace,openspace_b,capaConvUp,5.036078857
DE25,openspace,openspace_a,capaConvUp,6.289348813
DE25,openspace,openspace_b,capaConvUp,2.40306837
DE26,openspace,openspace_a,capaConvUp,3.9857674
DE26,openspace,openspace_b,capaConvUp,10.1090681
DE40,openspace,openspace_a,capaConvUp,29.50205081
DE40,openspace,openspace_b,capaConvUp,12.42437701
DE50,openspace,openspace_a,capaConvUp,0.064098556
DE50,openspace,openspace_b,capaConvUp,0.001714387
DE60,openspace,openspace_a,capaConvUp,0.21927999
DE60,openspace,openspace_b,capaConvUp,0.236496448
DE71,openspace,openspace_a,capaConvUp,5.430941542
DE71,openspace,openspace_b,capaConvUp,2.261460878
DE72,openspace,openspace_a,capaConvUp,1.718516751
DE72,openspace,openspace_b,capaConvUp,3.729941862
DE73,openspace,openspace_a,capaConvUp,5.035400603
DE73,openspace,openspace_b,capaConvUp,6.408760829
DE80,openspace,openspace_a,capaConvUp,19.36017847
DE80,openspace,openspace_b,capaConvUp,20.48537085
DE91,openspace,openspace_a,capaConvUp,4.316018976
DE91,openspace,openspace_b,capaConvUp,1.980893033
DE13,openspace,openspace_a,capaConvUp,1.143159063
DE13,openspace,openspace_b,capaConvUp,10.27053018
DE24,openspace,openspace_a,capaConvUp,7.643255246
DE24,openspace,openspace_b,capaConvUp,2.157772844
DE27,openspace,openspace_a,capaConvUp,17.48277116
DE27,openspace,openspace_b,capaConvUp,0.012043011
DE14,openspace,openspace_a,capaConvUp,8.562124619
DE14,openspace,openspace_b,capaConvUp,3.837979173
DE30,openspace,openspace_a,capaConvUp,0.081606407
DE30,openspace,openspace_b,capaConvUp,0.011653921
DE11,rooftop,rooftop_a,capaConvUp,18.83005957
DE11,rooftop,rooftop_b,capaConvUp,7.862557521
DE11,rooftop,rooftop_c,capaConvUp,11.78912938
DE12,rooftop,rooftop_a,capaConvUp,9.411383852
DE12,rooftop,rooftop_b,capaConvUp,1.405893903
DE12,rooftop,rooftop_c,capaConvUp,12.80102493
DE94,rooftop,rooftop_a,capaConvUp,14.40476967
DE94,rooftop,rooftop_b,capaConvUp,2.547186772
DE94,rooftop,rooftop_c,capaConvUp,19.5007999
DEA1,rooftop,rooftop_a,capaConvUp,15.72277058
DEA1,rooftop,rooftop_b,capaConvUp,0.051617038
DEA1,rooftop,rooftop_c,capaConvUp,20.38254151
DEA4,rooftop,rooftop_a,capaConvUp,4.360134799
DEA4,rooftop,rooftop_b,capaConvUp,10.51416876
DEA4,rooftop,rooftop_c,capaConvUp,12.75019473
DEA5,rooftop,rooftop_a,capaConvUp,7.639238565
DEA5,rooftop,rooftop_b,capaConvUp,17.83187425
DEA5,rooftop,rooftop_c,capaConvUp,4.472898267
DEB3,rooftop,rooftop_a,capaConvUp,8.803226905
DEB3,rooftop,rooftop_b,capaConvUp,6.435037631
DEB3,rooftop,rooftop_c,capaConvUp,3.902452535
DED2,rooftop,rooftop_a,capaConvUp,4.231151343
DED2,rooftop,rooftop_b,capaConvUp,11.40191687
DED2,rooftop,rooftop_c,capaConvUp,8.67656664
DED4,rooftop,rooftop_a,capaConvUp,12.45180256
DED4,rooftop,rooftop_b,capaConvUp,8.868960224
DED4,rooftop,rooftop_c,capaConvUp,1.974771359
DED5,rooftop,rooftop_a,capaConvUp,7.515961471
DED5,rooftop,rooftop_b,capaConvUp,4.176848424
DED5,rooftop,rooftop_c,capaConvUp,0.312369457
DEE0,rooftop,rooftop_a,capaConvUp,6.283880639
DEE0,rooftop,rooftop_b,capaConvUp,15.06640777
DEE0,rooftop,rooftop_c,capaConvUp,16.05870382
DEF0,rooftop,rooftop_a,capaConvUp,10.43359461
DEF0,rooftop,rooftop_b,capaConvUp,2.896788089
DEF0,rooftop,rooftop_c,capaConvUp,19.9606312
DEG0,rooftop,rooftop_a,capaConvUp,13.10981717
DEG0,rooftop,rooftop_b,capaConvUp,5.409250986
DEG0,rooftop,rooftop_c,capaConvUp,12.08439189
DE92,rooftop,rooftop_a,capaConvUp,11.63411052
DE92,rooftop,rooftop_b,capaConvUp,4.066162221
DE92,rooftop,rooftop_c,capaConvUp,9.810638414
DE93,rooftop,rooftop_a,capaConvUp,9.804201623
DE93,rooftop,rooftop_b,capaConvUp,2.522719261
DE93,rooftop,rooftop_c,capaConvUp,16.43859742
DEA2,rooftop,rooftop_a,capaConvUp,16.64035478
DEA2,rooftop,rooftop_b,capaConvUp,10.91853591
DEA2,rooftop,rooftop_c,capaConvUp,9.138604342
DEB1,rooftop,rooftop_a,capaConvUp,10.3811256
DEB1,rooftop,rooftop_b,capaConvUp,2.386739241
DEB1,rooftop,rooftop_c,capaConvUp,5.574798824
DEC0_,rooftop,rooftop_a,capaConvUp,7.849293404
DEC0_,rooftop,rooftop_b,capaConvUp,2.717095271
DEC0_,rooftop,rooftop_c,capaConvUp,1.878921945
DEA3,rooftop,rooftop_a,capaConvUp,15.65214322
DEA3,rooftop,rooftop_b,capaConvUp,4.074363535
DEA3,rooftop,rooftop_c,capaConvUp,10.19802785
DEB2,rooftop,rooftop_a,capaConvUp,2.127868399
DEB2,rooftop,rooftop_b,capaConvUp,3.70261991
DEB2,rooftop,rooftop_c,capaConvUp,0.975906954
DE21,rooftop,rooftop_a,capaConvUp,27.75190884
DE21,rooftop,rooftop_b,capaConvUp,0.354445256
DE21,rooftop,rooftop_c,capaConvUp,7.899667577
DE22,rooftop,rooftop_a,capaConvUp,7.602409664
DE22,rooftop,rooftop_b,capaConvUp,4.716937714
DE22,rooftop,rooftop_c,capaConvUp,8.041060353
DE23,rooftop,rooftop_a,capaConvUp,3.779757581
DE23,rooftop,rooftop_b,capaConvUp,5.291436064
DE23,rooftop,rooftop_c,capaConvUp,3.614020867
DE25,rooftop,rooftop_a,capaConvUp,6.882553828
DE25,rooftop,rooftop_b,capaConvUp,3.111317679
DE25,rooftop,rooftop_c,capaConvUp,7.513344188
DE26,rooftop,rooftop_a,capaConvUp,6.597361687
DE26,rooftop,rooftop_b,capaConvUp,4.861569122
DE26,rooftop,rooftop_c,capaConvUp,7.594197815
DE40,rooftop,rooftop_a,capaConvUp,23.25497759
DE40,rooftop,rooftop_b,capaConvUp,17.99014705
DE40,rooftop,rooftop_c,capaConvUp,8.18774514
DE50,rooftop,rooftop_a,capaConvUp,3.85488869
DE50,rooftop,rooftop_b,capaConvUp,1.04125046
DE50,rooftop,rooftop_c,capaConvUp,0.190052473
DE60,rooftop,rooftop_a,capaConvUp,10.38555156
DE60,rooftop,rooftop_b,capaConvUp,1.34462776
