region_2,technology_1,technology_2,parameter,value
AT,wind_onshore,onshore_a,capaConvUp,5.591768649
BE,wind_onshore,onshore_a,capaConvUp,11.5948549
BG,wind_onshore,onshore_a,capaConvUp,5.237613579
CH,wind_onshore,onshore_a,capaConvUp,2.0875
CZ,wind_onshore,onshore_a,capaConvUp,14.86285139
DK,wind_onshore,onshore_a,capaConvUp,11.26085787
EE,wind_onshore,onshore_a,capaConvUp,1.641652292
ES,wind_onshore,onshore_a,capaConvUp,19.2112867
FI,wind_onshore,onshore_a,capaConvUp,22.99827792
FR,wind_onshore,onshore_a,capaConvUp,155.1772329
GR,wind_onshore,onshore_a,capaConvUp,6.228378258
HR,wind_onshore,onshore_a,capaConvUp,5.149375644
HU,wind_onshore,onshore_a,capaConvUp,7.901096359
IE,wind_onshore,onshore_a,capaConvUp,23.85658767
IT,wind_onshore,onshore_a,capaConvUp,38.05929511
LT,wind_onshore,onshore_a,capaConvUp,2.366633414
LU,wind_onshore,onshore_a,capaConvUp,0.569899734
LV,wind_onshore,onshore_a,capaConvUp,2.3444553
NL,wind_onshore,onshore_a,capaConvUp,14.78111658
NO,wind_onshore,onshore_a,capaConvUp,16.72403309
NONEU_Balkan,wind_onshore,onshore_a,capaConvUp,14.9381508
PL,wind_onshore,onshore_a,capaConvUp,42.48900086
PT,wind_onshore,onshore_a,capaConvUp,3.52147844
RO,wind_onshore,onshore_a,capaConvUp,11.24925616
SE,wind_onshore,onshore_a,capaConvUp,24.98572384
SI,wind_onshore,onshore_a,capaConvUp,1.8446
SK,wind_onshore,onshore_a,capaConvUp,9.240990006
TR,wind_onshore,onshore_a,capaConvUp,43.07208257
UK,wind_onshore,onshore_a,capaConvUp,65.33487032
AT,wind_onshore,onshore_b,capaConvUp,5.591768649
BE,wind_onshore,onshore_b,capaConvUp,11.5948549
BG,wind_onshore,onshore_b,capaConvUp,5.237613579
CH,wind_onshore,onshore_b,capaConvUp,2.0875
CZ,wind_onshore,onshore_b,capaConvUp,14.86285139
DK,wind_onshore,onshore_b,capaConvUp,11.26085787
EE,wind_onshore,onshore_b,capaConvUp,1.641652292
ES,wind_onshore,onshore_b,capaConvUp,19.2112867
FI,wind_onshore,onshore_b,capaConvUp,22.99827792
FR,wind_onshore,onshore_b,capaConvUp,155.1772329
GR,wind_onshore,onshore_b,capaConvUp,6.228378258
HR,wind_onshore,onshore_b,capaConvUp,5.149375644
HU,wind_onshore,onshore_b,capaConvUp,7.901096359
IE,wind_onshore,onshore_b,capaConvUp,23.85658767
IT,wind_onshore,onshore_b,capaConvUp,38.05929511
LT,wind_onshore,onshore_b,capaConvUp,2.366633414
LU,wind_onshore,onshore_b,capaConvUp,0.569899734
LV,wind_onshore,onshore_b,capaConvUp,2.3444553
NL,wind_onshore,onshore_b,capaConvUp,14.78111658
NO,wind_onshore,onshore_b,capaConvUp,16.72403309
NONEU_Balkan,wind_onshore,onshore_b,capaConvUp,14.9381508
PL,wind_onshore,onshore_b,capaConvUp,42.48900086
PT,wind_onshore,onshore_b,capaConvUp,3.52147844
RO,wind_onshore,onshore_b,capaConvUp,11.24925616
SE,wind_onshore,onshore_b,capaConvUp,24.98572384
SI,wind_onshore,onshore_b,capaConvUp,1.8446
SK,wind_onshore,onshore_b,capaConvUp,9.240990006
TR,wind_onshore,onshore_b,capaConvUp,43.07208257
UK,wind_onshore,onshore_b,capaConvUp,65.33487032
AT,wind_offshore,offshore_a,capaConvUp,0
BE,wind_offshore,offshore_a,capaConvUp,2.536231884
BG,wind_offshore,offshore_a,capaConvUp,0
CH,wind_offshore,offshore_a,capaConvUp,0
CZ,wind_offshore,offshore_a,capaConvUp,0
DK,wind_offshore,offshore_a,capaConvUp,3.360507247
EE,wind_offshore,offshore_a,capaConvUp,0.380434783
ES,wind_offshore,offshore_a,capaConvUp,0.00634058
FI,wind_offshore,offshore_a,capaConvUp,0.475543478
FR,wind_offshore,offshore_a,capaConvUp,3.804347827
GR,wind_offshore,offshore_a,capaConvUp,0
HR,wind_offshore,offshore_a,capaConvUp,0
HU,wind_offshore,offshore_a,capaConvUp,0
IE,wind_offshore,offshore_a,capaConvUp,2.219202899
