carrier_1,carrier_2,region_1,region_2,region_1,region_2,parameter,value
gas,hydrogen,FR,FR,CH,CH,capaExcResiDir,15.5
gas,hydrogen,FR,FR,ES,ES,capaExcResiDir,9.8
gas,hydrogen,AT,AT,HU,HU,capaExcResiDir,7.7
gas,hydrogen,AT,AT,IT,IT,capaExcResiDir,68
gas,hydrogen,AT,AT,SI,SI,capaExcResiDir,6.7
gas,hydrogen,AT,AT,SK,SK,capaExcResiDir,14.7
gas,hydrogen,BE,BE,FR,FR,capaExcResiDir,51.7
gas,hydrogen,BE,BE,LU,LU,capaExcResiDir,2.3
gas,hydrogen,BE,BE,NL,NL,capaExcResiDir,23.4
gas,hydrogen,BE,BE,UK,UK,capaExcResiDir,47.8
gas,hydrogen,BG,BG,RO,RO,capaExcResiDir,0.9
gas,hydrogen,CH,CH,IT,IT,capaExcResiDir,37
gas,hydrogen,CZ,CZ,PL,PL,capaExcResiDir,1.7
gas,hydrogen,CZ,CZ,SK,SK,capaExcResiDir,41.4
gas,hydrogen,DK,DK,NL,NL,capaExcResiDir,23.5
gas,hydrogen,DK,DK,SE,SE,capaExcResiDir,5.2
gas,hydrogen,EE,EE,LV,LV,capaExcResiDir,11.9
gas,hydrogen,ES,ES,FR,FR,capaExcResiDir,13.4
gas,hydrogen,ES,ES,PT,PT,capaExcResiDir,8.6
gas,hydrogen,HR,HR,HU,HU,capaExcResiDir,4.5
gas,hydrogen,HU,HU,HR,HR,capaExcResiDir,4.6
gas,hydrogen,HU,HU,NONEU_Balkan,NONEU_Balkan,capaExcResiDir,8.4
gas,hydrogen,HU,HU,RO,RO,capaExcResiDir,3.1
gas,hydrogen,IE,IE,UK,UK,capaExcResiDir,5.3
gas,hydrogen,IT,IT,AT,AT,capaExcResiDir,68
gas,hydrogen,IT,IT,SI,SI,capaExcResiDir,1.7
gas,hydrogen,LT,LT,LV,LV,capaExcResiDir,4
gas,hydrogen,LV,LV,EE,EE,capaExcResiDir,10.9
gas,hydrogen,LV,LV,LT,LT,capaExcResiDir,3.9
gas,hydrogen,NL,NL,BE,BE,capaExcResiDir,47.4
gas,hydrogen,NL,NL,UK,UK,capaExcResiDir,29.4
gas,hydrogen,NO,NO,BE,BE,capaExcResiDir,29
gas,hydrogen,NO,NO,FR,FR,capaExcResiDir,33.9
gas,hydrogen,NO,NO,NL,NL,capaExcResiDir,31.4
gas,hydrogen,NO,NO,UK,UK,capaExcResiDir,89.1
gas,hydrogen,PT,PT,ES,ES,capaExcResiDir,4.8
gas,hydrogen,SI,SI,HR,HR,capaExcResiDir,3.2
gas,hydrogen,SI,SI,IT,IT,capaExcResiDir,1.3
gas,hydrogen,SK,SK,AT,AT,capaExcResiDir,91.5
gas,hydrogen,SK,SK,CZ,CZ,capaExcResiDir,30.9
gas,hydrogen,SK,SK,HU,HU,capaExcResiDir,7.5
gas,hydrogen,UK,UK,BE,BE,capaExcResiDir,37.5
gas,hydrogen,UK,UK,IE,IE,capaExcResiDir,20.3
