region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter_1,value_1,parameter_2,value_2
AT,AT,CH,CH,electricity,electricity_central,capaExcResiDir,1.2,expExcUp,0
AT,AT,CZ,CZ,electricity,electricity_central,capaExcResiDir,0.9,expExcUp,0
AT,,DE,,electricity,electricity_central,capaExcResiDir,9,expExcUp,0
AT,AT,HU,HU,electricity,electricity_central,capaExcResiDir,0.8,expExcUp,0
AT,AT,IT,IT,electricity,electricity_central,capaExcResiDir,0.705,expExcUp,0
AT,AT,SI,SI,electricity,electricity_central,capaExcResiDir,1.04,expExcUp,0
AT,AT,SK,SK,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
BE,,DE,,electricity,electricity_central,capaExcResiDir,2,expExcUp,0
BE,BE,FR,FR,electricity,electricity_central,capaExcResiDir,3.3,expExcUp,0
BE,BE,LU,LU,electricity,electricity_central,capaExcResiDir,0.68,expExcUp,0
BE,BE,NL,NL,electricity,electricity_central,capaExcResiDir,3.9,expExcUp,0
BE,BE,NO,NO,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
BE,BE,UK,UK,electricity,electricity_central,capaExcResiDir,1,expExcUp,0
BG,BG,GR,GR,electricity,electricity_central,capaExcResiDir,1.4,expExcUp,0
BG,BG,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1.744,expExcUp,0
BG,BG,RO,RO,electricity,electricity_central,capaExcResiDir,0.3,expExcUp,0
BG,BG,TR,TR,electricity,electricity_central,capaExcResiDir,0.7,expExcUp,0
CH,,DE,,electricity,electricity_central,capaExcResiDir,5.4,expExcUp,0
CH,CH,FR,FR,electricity,electricity_central,capaExcResiDir,1.3,expExcUp,0
CH,CH,IT,IT,electricity,electricity_central,capaExcResiDir,4.24,expExcUp,0
CZ,,DE,,electricity,electricity_central,capaExcResiDir,2.6,expExcUp,0
CZ,CZ,PL,PL,electricity,electricity_central,capaExcResiDir,0.6,expExcUp,0
CZ,CZ,SK,SK,electricity,electricity_central,capaExcResiDir,1.8,expExcUp,0
DE,,DK,,electricity,electricity_central,capaExcResiDir,4.5,expExcUp,0
DE,,FR,,electricity,electricity_central,capaExcResiDir,2.3,expExcUp,0
DE,,LU,,electricity,electricity_central,capaExcResiDir,2.3,expExcUp,0
