carrier_1,carrier_2,region_1,region_2,region_1,region_2,parameter_1,value_1,parameter_2,value_2
gas,hydrogen,FR,FR,CH,CH,capaExcResiDir,15.5,expExcFix,0
gas,hydrogen,FR,FR,ES,ES,capaExcResiDir,9.8,expExcFix,0
gas,hydrogen,AT,AT,HU,HU,capaExcResiDir,7.7,expExcFix,0
gas,hydrogen,AT,AT,IT,IT,capaExcResiDir,68,expExcFix,0
gas,hydrogen,AT,AT,SI,SI,capaExcResiDir,6.7,expExcFix,0
gas,hydrogen,AT,AT,SK,SK,capaExcResiDir,14.7,expExcFix,0
gas,hydrogen,BE,BE,FR,FR,capaExcResiDir,51.7,expExcFix,0
gas,hydrogen,BE,BE,LU,LU,capaExcResiDir,2.3,expExcFix,0
gas,hydrogen,BE,BE,NL,NL,capaExcResiDir,23.4,expExcFix,0
gas,hydrogen,BE,BE,UK,UK,capaExcResiDir,47.8,expExcFix,0
gas,hydrogen,BG,BG,RO,RO,capaExcResiDir,0.9,expExcFix,0
gas,hydrogen,CH,CH,IT,IT,capaExcResiDir,37,expExcFix,0
gas,hydrogen,CZ,CZ,PL,PL,capaExcResiDir,1.7,expExcFix,0
gas,hydrogen,CZ,CZ,SK,SK,capaExcResiDir,41.4,expExcFix,0
gas,hydrogen,DK,DK,NL,NL,capaExcResiDir,23.5,expExcFix,0
gas,hydrogen,DK,DK,SE,SE,capaExcResiDir,5.2,expExcFix,0
gas,hydrogen,EE,EE,LV,LV,capaExcResiDir,11.9,expExcFix,0
gas,hydrogen,ES,ES,FR,FR,capaExcResiDir,13.4,expExcFix,0
gas,hydrogen,ES,ES,PT,PT,capaExcResiDir,8.6,expExcFix,0
gas,hydrogen,HR,HR,HU,HU,capaExcResiDir,4.5,expExcFix,0
gas,hydrogen,HU,HU,HR,HR,capaExcResiDir,4.6,expExcFix,0
gas,hydrogen,HU,HU,NONEU_Balkan,NONEU_Balkan,capaExcResiDir,8.4,expExcFix,0
gas,hydrogen,HU,HU,RO,RO,capaExcResiDir,3.1,expExcFix,0
gas,hydrogen,IE,IE,UK,UK,capaExcResiDir,5.3,expExcFix,0
gas,hydrogen,IT,IT,AT,AT,capaExcResiDir,68,expExcFix,0
gas,hydrogen,IT,IT,SI,SI,capaExcResiDir,1.7,expExcFix,0
gas,hydrogen,LT,LT,LV,LV,capaExcResiDir,4,expExcFix,0
gas,hydrogen,LV,LV,EE,EE,capaExcResiDir,10.9,expExcFix,0
gas,hydrogen,LV,LV,LT,LT,capaExcResiDir,3.9,expExcFix,0
gas,hydrogen,NL,NL,BE,BE,capaExcResiDir,47.4,expExcFix,0
gas,hydrogen,NL,NL,UK,UK,capaExcResiDir,29.4,expExcFix,0
gas,hydrogen,NO,NO,BE,BE,capaExcResiDir,29,expExcFix,0
gas,hydrogen,NO,NO,FR,FR,capaExcResiDir,33.9,expExcFix,0
gas,hydrogen,NO,NO,NL,NL,capaExcResiDir,31.4,expExcFix,0
gas,hydrogen,NO,NO,UK,UK,capaExcResiDir,89.1,expExcFix,0
gas,hydrogen,PT,PT,ES,ES,capaExcResiDir,4.8,expExcFix,0
gas,hydrogen,SI,SI,HR,HR,capaExcResiDir,3.2,expExcFix,0
gas,hydrogen,SI,SI,IT,IT,capaExcResiDir,1.3,expExcFix,0
gas,hydrogen,SK,SK,AT,AT,capaExcResiDir,91.5,expExcFix,0
gas,hydrogen,SK,SK,CZ,CZ,capaExcResiDir,30.9,expExcFix,0
gas,hydrogen,SK,SK,HU,HU,capaExcResiDir,7.5,expExcFix,0
gas,hydrogen,UK,UK,BE,BE,capaExcResiDir,37.5,expExcFix,0
gas,hydrogen,UK,UK,IE,IE,capaExcResiDir,20.3,expExcFix,0
