technology_1,technology_2,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type,region_expansion
battery,grid,,,electricity_central,electricity_central,mature,1
battery,home,,,electricity_decentral; electricity_central,electricity_decentral; electricity_central,mature,1
pumpedHydro,,,,electricity_central,electricity_central,mature,1
caes,,,,electricity_central,electricity_central,mature,1
biomassPlant,,biomass,electricity_central,,,mature,1
ror,,,electricity_central,,,stock,1
photovoltaik,rooftop_good,,electricity_central; electricity_decentral,,,mature,2
photovoltaik,rooftop_middle,,electricity_central; electricity_decentral,,,mature,2
photovoltaik,rooftop_bad,,electricity_central; electricity_decentral,,,mature,2
photovoltaik,openspace_good,,electricity_central,,,mature,2
photovoltaik,openspace_bad,,electricity_central,,,mature,2
wind_offshore,offshore_good,,electricity_central,,,mature,2
wind_offshore,offshore_bad,,electricity_central,,,mature,2
wind_onshore,onshore_good,,electricity_central,,,mature,2
wind_onshore,onshore_bad,,electricity_central,,,mature,2
electrolysis,,electricity_central,hydrogen,,,mature,1
ocgtHydrogen,,hydrogen,electricity_central,,,mature,1
electricMobility,,electricity,mobility,,,stock,1
electricResidentalHeating,,electricity,heatResidental,,,stock,1
electricIndustryHeating,,electricity,heatIndustry,,,stock,1
methanation,hydrogen,synthGas,,,,mature,1
fermenter,biomass,synthGas,,,,mature,1
gasPlant,,synthGas,electricity_central,,,mature,1
