carrier_1,region_2,parameter,timestep_2,value
heatIndustry,DE11,dem,d001,2.6407300309583333
heatIndustry,DE11,dem,d002,2.6407300309583333
heatIndustry,DE11,dem,d003,2.6407300309583333
heatIndustry,DE11,dem,d004,2.6407300309583333
heatIndustry,DE11,dem,d005,2.6407300309583333
heatIndustry,DE11,dem,d006,2.6407300309583333
heatIndustry,DE11,dem,d007,2.6407300309583333
heatIndustry,DE11,dem,d008,2.6407300309583333
heatIndustry,DE11,dem,d009,2.6407300309583333
heatIndustry,DE11,dem,d010,2.6407300309583333
heatIndustry,DE11,dem,d011,2.6407300309583333
heatIndustry,DE11,dem,d012,2.6407300309583333
heatIndustry,DE11,dem,d013,2.6407300309583333
heatIndustry,DE11,dem,d014,2.6407300309583333
heatIndustry,DE11,dem,d015,2.6407300309583333
heatIndustry,DE11,dem,d016,2.6407300309583333
heatIndustry,DE11,dem,d017,2.6407300309583333
heatIndustry,DE11,dem,d018,2.6407300309583333
heatIndustry,DE11,dem,d019,2.6407300309583333
heatIndustry,DE11,dem,d020,2.6407300309583333
heatIndustry,DE11,dem,d021,2.6407300309583333
heatIndustry,DE11,dem,d022,2.6407300309583333
heatIndustry,DE11,dem,d023,2.6407300309583333
heatIndustry,DE11,dem,d024,2.6407300309583333
heatIndustry,DE11,dem,d025,2.6407300309583333
heatIndustry,DE11,dem,d026,2.6407300309583333
heatIndustry,DE11,dem,d027,2.6407300309583333
heatIndustry,DE11,dem,d028,2.6407300309583333
heatIndustry,DE11,dem,d029,2.6407300309583333
heatIndustry,DE11,dem,d030,2.6407300309583333
heatIndustry,DE11,dem,d031,2.6407300309583333
heatIndustry,DE11,dem,d032,2.6407300309583333
heatIndustry,DE11,dem,d033,2.6407300309583333
heatIndustry,DE11,dem,d034,2.6407300309583333
heatIndustry,DE11,dem,d035,2.6407300309583333
heatIndustry,DE11,dem,d036,2.6407300309583333
heatIndustry,DE11,dem,d037,2.6407300309583333
heatIndustry,DE11,dem,d038,2.6407300309583333
heatIndustry,DE11,dem,d039,2.6407300309583333
heatIndustry,DE11,dem,d040,2.6407300309583333
heatIndustry,DE11,dem,d041,2.6407300309583333
heatIndustry,DE11,dem,d042,2.6407300309583333
heatIndustry,DE11,dem,d043,2.6407300309583333
heatIndustry,DE11,dem,d044,2.6407300309583333
heatIndustry,DE11,dem,d045,2.6407300309583333
heatIndustry,DE11,dem,d046,2.6407300309583333
heatIndustry,DE11,dem,d047,2.6407300309583333
heatIndustry,DE11,dem,d048,2.6407300309583333
heatIndustry,DE11,dem,d049,2.6407300309583333
heatIndustry,DE11,dem,d050,2.6407300309583333
heatIndustry,DE11,dem,d051,2.6407300309583333
heatIndustry,DE11,dem,d052,2.6407300309583333
heatIndustry,DE11,dem,d053,2.6407300309583333
heatIndustry,DE11,dem,d054,2.6407300309583333
heatIndustry,DE11,dem,d055,2.6407300309583333
heatIndustry,DE11,dem,d056,2.6407300309583333
heatIndustry,DE11,dem,d057,2.6407300309583333
heatIndustry,DE11,dem,d058,2.6407300309583333
heatIndustry,DE11,dem,d059,2.6407300309583333
heatIndustry,DE11,dem,d060,2.6407300309583333
heatIndustry,DE11,dem,d061,2.6407300309583333
heatIndustry,DE11,dem,d062,2.6407300309583333
heatIndustry,DE11,dem,d063,2.6407300309583333
heatIndustry,DE11,dem,d064,2.6407300309583333
heatIndustry,DE11,dem,d065,2.6407300309583333
heatIndustry,DE11,dem,d066,2.6407300309583333
heatIndustry,DE11,dem,d067,2.6407300309583333
heatIndustry,DE11,dem,d068,2.6407300309583333
heatIndustry,DE11,dem,d069,2.6407300309583333
heatIndustry,DE11,dem,d070,2.6407300309583333
heatIndustry,DE11,dem,d071,2.6407300309583333
heatIndustry,DE11,dem,d072,2.6407300309583333
heatIndustry,DE11,dem,d073,2.6407300309583333
heatIndustry,DE11,dem,d074,2.6407300309583333
heatIndustry,DE11,dem,d075,2.6407300309583333
heatIndustry,DE11,dem,d076,2.6407300309583333
heatIndustry,DE11,dem,d077,2.6407300309583333
heatIndustry,DE11,dem,d078,2.6407300309583333
heatIndustry,DE11,dem,d079,2.6407300309583333
heatIndustry,DE11,dem,d080,2.6407300309583333
heatIndustry,DE11,dem,d081,2.6407300309583333
heatIndustry,DE11,dem,d082,2.6407300309583333
heatIndustry,DE11,dem,d083,2.6407300309583333
heatIndustry,DE11,dem,d084,2.6407300309583333
heatIndustry,DE11,dem,d085,2.6407300309583333
heatIndustry,DE11,dem,d086,2.6407300309583333
heatIndustry,DE11,dem,d087,2.6407300309583333
heatIndustry,DE11,dem,d088,2.6407300309583333
heatIndustry,DE11,dem,d089,2.6407300309583333
heatIndustry,DE11,dem,d090,2.6407300309583333
heatIndustry,DE11,dem,d091,2.6407300309583333
heatIndustry,DE11,dem,d092,2.7155880676249997
heatIndustry,DE11,dem,d093,2.4431910145416667
