carrier_1,region_2,parameter,timestep_2,value
mobility,DE11,dem,d001,0.6163377822083332
mobility,DE11,dem,d002,0.6163377822083332
mobility,DE11,dem,d003,0.6163377822083332
mobility,DE11,dem,d004,0.6163377822083332
mobility,DE11,dem,d005,0.6163377822083332
mobility,DE11,dem,d006,0.6163377822083332
mobility,DE11,dem,d007,0.6163377822083332
mobility,DE11,dem,d008,0.6163377822083332
mobility,DE11,dem,d009,0.6163377822083332
mobility,DE11,dem,d010,0.6163377822083332
mobility,DE11,dem,d011,0.6163377822083332
mobility,DE11,dem,d012,0.6163377822083332
mobility,DE11,dem,d013,0.6163377822083332
mobility,DE11,dem,d014,0.6163377822083332
mobility,DE11,dem,d015,0.6163377822083332
mobility,DE11,dem,d016,0.6163377822083332
mobility,DE11,dem,d017,0.6163377822083332
mobility,DE11,dem,d018,0.6163377822083332
mobility,DE11,dem,d019,0.6163377822083332
mobility,DE11,dem,d020,0.6163377822083332
mobility,DE11,dem,d021,0.6163377822083332
mobility,DE11,dem,d022,0.6163377822083332
mobility,DE11,dem,d023,0.6163377822083332
mobility,DE11,dem,d024,0.6163377822083332
mobility,DE11,dem,d025,0.6163377822083332
mobility,DE11,dem,d026,0.6163377822083332
mobility,DE11,dem,d027,0.6163377822083332
mobility,DE11,dem,d028,0.6163377822083332
mobility,DE11,dem,d029,0.6163377822083332
mobility,DE11,dem,d030,0.6163377822083332
mobility,DE11,dem,d031,0.6163377822083332
mobility,DE11,dem,d032,0.6163377822083332
mobility,DE11,dem,d033,0.6163377822083332
mobility,DE11,dem,d034,0.6163377822083332
mobility,DE11,dem,d035,0.6163377822083332
mobility,DE11,dem,d036,0.6163377822083332
mobility,DE11,dem,d037,0.6163377822083332
mobility,DE11,dem,d038,0.6163377822083332
mobility,DE11,dem,d039,0.6163377822083332
mobility,DE11,dem,d040,0.6163377822083332
mobility,DE11,dem,d041,0.6163377822083332
mobility,DE11,dem,d042,0.6163377822083332
mobility,DE11,dem,d043,0.6163377822083332
mobility,DE11,dem,d044,0.6163377822083332
mobility,DE11,dem,d045,0.6163377822083332
mobility,DE11,dem,d046,0.6163377822083332
mobility,DE11,dem,d047,0.6163377822083332
mobility,DE11,dem,d048,0.6163377822083332
mobility,DE11,dem,d049,0.6163377822083332
mobility,DE11,dem,d050,0.6163377822083332
mobility,DE11,dem,d051,0.6163377822083332
mobility,DE11,dem,d052,0.6163377822083332
mobility,DE11,dem,d053,0.6163377822083332
mobility,DE11,dem,d054,0.6163377822083332
mobility,DE11,dem,d055,0.6163377822083332
mobility,DE11,dem,d056,0.6163377822083332
mobility,DE11,dem,d057,0.6163377822083332
mobility,DE11,dem,d058,0.6163377822083332
mobility,DE11,dem,d059,0.6163377822083332
mobility,DE11,dem,d060,0.6163377822083332
mobility,DE11,dem,d061,0.6163377822083332
mobility,DE11,dem,d062,0.6163377822083332
mobility,DE11,dem,d063,0.6163377822083332
mobility,DE11,dem,d064,0.6163377822083332
mobility,DE11,dem,d065,0.6163377822083332
mobility,DE11,dem,d066,0.6163377822083332
mobility,DE11,dem,d067,0.6163377822083332
mobility,DE11,dem,d068,0.6163377822083332
mobility,DE11,dem,d069,0.6163377822083332
mobility,DE11,dem,d070,0.6163377822083332
mobility,DE11,dem,d071,0.6163377822083332
mobility,DE11,dem,d072,0.6163377822083332
mobility,DE11,dem,d073,0.6163377822083332
mobility,DE11,dem,d074,0.6163377822083332
mobility,DE11,dem,d075,0.6163377822083332
mobility,DE11,dem,d076,0.6163377822083332
mobility,DE11,dem,d077,0.6163377822083332
mobility,DE11,dem,d078,0.6163377822083332
mobility,DE11,dem,d079,0.6163377822083332
mobility,DE11,dem,d080,0.6163377822083332
mobility,DE11,dem,d081,0.6163377822083332
mobility,DE11,dem,d082,0.6163377822083332
mobility,DE11,dem,d083,0.6163377822083332
mobility,DE11,dem,d084,0.6163377822083332
mobility,DE11,dem,d085,0.6163377822083332
mobility,DE11,dem,d086,0.6163377822083332
mobility,DE11,dem,d087,0.6163377822083332
mobility,DE11,dem,d088,0.6163377822083332
mobility,DE11,dem,d089,0.6163377822083332
mobility,DE11,dem,d090,0.6163377822083332
mobility,DE11,dem,d091,0.6163377822083332
mobility,DE11,dem,d092,0.6163377822083332
mobility,DE11,dem,d093,0.6163377822083332
mobility,DE11,dem,d094,0.6163377822083332
mobility,DE11,dem,d095,0.6163377822083332
mobility,DE11,dem,d096,0.6163377822083332
mobility,DE11,dem,d097,0.6163377822083332
mobility,DE11,dem,d098,0.6163377822083332
mobility,DE11,dem,d099,0.6163377822083332
mobility,DE11,dem,d100,0.6163377822083332
mobility,DE11,dem,d101,0.6163377822083332
mobility,DE11,dem,d102,0.6163377822083332
mobility,DE11,dem,d103,0.6163377822083332
mobility,DE11,dem,d104,0.6163377822083332
mobility,DE11,dem,d105,0.6163377822083332
mobility,DE11,dem,d106,0.6163377822083332
mobility,DE11,dem,d107,0.6163377822083332
mobility,DE11,dem,d108,0.6163377822083332
mobility,DE11,dem,d109,0.6163377822083332
mobility,DE11,dem,d110,0.6163377822083332
mobility,DE11,dem,d111,0.6163377822083332
mobility,DE11,dem,d112,0.6163377822083332
mobility,DE11,dem,d113,0.6163377822083332
mobility,DE11,dem,d114,0.6163377822083332
mobility,DE11,dem,d115,0.6163377822083332
mobility,DE11,dem,d116,0.6163377822083332
mobility,DE11,dem,d117,0.6163377822083332
mobility,DE11,dem,d118,0.6163377822083332
mobility,DE11,dem,d119,0.6163377822083332
mobility,DE11,dem,d120,0.6163377822083332
mobility,DE11,dem,d121,0.6163377822083332
mobility,DE11,dem,d122,0.6163377822083332
mobility,DE11,dem,d123,0.6163377822083332
mobility,DE11,dem,d124,0.6163377822083332
mobility,DE11,dem,d125,0.6163377822083332
mobility,DE11,dem,d126,0.6163377822083332
mobility,DE11,dem,d127,0.6163377822083332
mobility,DE11,dem,d128,0.6163377822083332
mobility,DE11,dem,d129,0.6163377822083332
mobility,DE11,dem,d130,0.6163377822083332
mobility,DE11,dem,d131,0.6163377822083332
mobility,DE11,dem,d132,0.6163377822083332
mobility,DE11,dem,d133,0.6163377822083332
mobility,DE11,dem,d134,0.6163377822083332
mobility,DE11,dem,d135,0.6163377822083332
mobility,DE11,dem,d136,0.6163377822083332
mobility,DE11,dem,d137,0.6163377822083332
mobility,DE11,dem,d138,0.6163377822083332
mobility,DE11,dem,d139,0.6163377822083332
mobility,DE11,dem,d140,0.6163377822083332
mobility,DE11,dem,d141,0.6163377822083332
mobility,DE11,dem,d142,0.6163377822083332
mobility,DE11,dem,d143,0.6163377822083332
mobility,DE11,dem,d144,0.6163377822083332
mobility,DE11,dem,d145,0.6163377822083332
mobility,DE11,dem,d146,0.6163377822083332
mobility,DE11,dem,d147,0.6163377822083332
mobility,DE11,dem,d148,0.6163377822083332
mobility,DE11,dem,d149,0.6163377822083332
mobility,DE11,dem,d150,0.6163377822083332
mobility,DE11,dem,d151,0.6163377822083332
mobility,DE11,dem,d152,0.6163377822083332
mobility,DE11,dem,d153,0.6163377822083332
mobility,DE11,dem,d154,0.6163377822083332
mobility,DE11,dem,d155,0.6163377822083332
mobility,DE11,dem,d156,0.6163377822083332
mobility,DE11,dem,d157,0.6163377822083332
mobility,DE11,dem,d158,0.6163377822083332
mobility,DE11,dem,d159,0.6163377822083332
mobility,DE11,dem,d160,0.6163377822083332
mobility,DE11,dem,d161,0.6163377822083332
mobility,DE11,dem,d162,0.6163377822083332
mobility,DE11,dem,d163,0.6163377822083332
mobility,DE11,dem,d164,0.6163377822083332
mobility,DE11,dem,d165,0.6163377822083332
mobility,DE11,dem,d166,0.6163377822083332
mobility,DE11,dem,d167,0.6163377822083332
mobility,DE11,dem,d168,0.6163377822083332
mobility,DE11,dem,d169,0.6163377822083332
mobility,DE11,dem,d170,0.6163377822083332
mobility,DE11,dem,d171,0.6163377822083332
mobility,DE11,dem,d172,0.6163377822083332
mobility,DE11,dem,d173,0.6163377822083332
mobility,DE11,dem,d174,0.6163377822083332
mobility,DE11,dem,d175,0.6163377822083332
mobility,DE11,dem,d176,0.6163377822083332
mobility,DE11,dem,d177,0.6163377822083332
mobility,DE11,dem,d178,0.6163377822083332
mobility,DE11,dem,d179,0.6163377822083332
mobility,DE11,dem,d180,0.6163377822083332
mobility,DE11,dem,d181,0.6163377822083332
mobility,DE11,dem,d182,0.6163377822083332
mobility,DE11,dem,d183,0.6163377822083332
mobility,DE11,dem,d184,0.6163377822083332
mobility,DE11,dem,d185,0.6163377822083332
mobility,DE11,dem,d186,0.6163377822083332
mobility,DE11,dem,d187,0.6163377822083332
mobility,DE11,dem,d188,0.6163377822083332
mobility,DE11,dem,d189,0.6163377822083332
mobility,DE11,dem,d190,0.6163377822083332
mobility,DE11,dem,d191,0.6163377822083332
mobility,DE11,dem,d192,0.6163377822083332
mobility,DE11,dem,d193,0.6163377822083332
mobility,DE11,dem,d194,0.6163377822083332
mobility,DE11,dem,d195,0.6163377822083332
mobility,DE11,dem,d196,0.6163377822083332
mobility,DE11,dem,d197,0.6163377822083332
mobility,DE11,dem,d198,0.6163377822083332
mobility,DE11,dem,d199,0.6163377822083332
mobility,DE11,dem,d200,0.6163377822083332
mobility,DE11,dem,d201,0.6163377822083332
mobility,DE11,dem,d202,0.6163377822083332
mobility,DE11,dem,d203,0.6163377822083332
mobility,DE11,dem,d204,0.6163377822083332
mobility,DE11,dem,d205,0.6163377822083332
mobility,DE11,dem,d206,0.6163377822083332
mobility,DE11,dem,d207,0.6163377822083332
mobility,DE11,dem,d208,0.6163377822083332
mobility,DE11,dem,d209,0.6163377822083332
mobility,DE11,dem,d210,0.6163377822083332
mobility,DE11,dem,d211,0.6163377822083332
mobility,DE11,dem,d212,0.6163377822083332
mobility,DE11,dem,d213,0.6163377822083332
mobility,DE11,dem,d214,0.6163377822083332
mobility,DE11,dem,d215,0.6163377822083332
mobility,DE11,dem,d216,0.6163377822083332
mobility,DE11,dem,d217,0.6163377822083332
mobility,DE11,dem,d218,0.6163377822083332
mobility,DE11,dem,d219,0.6163377822083332
mobility,DE11,dem,d220,0.6163377822083332
mobility,DE11,dem,d221,0.6163377822083332
mobility,DE11,dem,d222,0.6163377822083332
mobility,DE11,dem,d223,0.6163377822083332
mobility,DE11,dem,d224,0.6163377822083332
mobility,DE11,dem,d225,0.6163377822083332
mobility,DE11,dem,d226,0.6163377822083332
mobility,DE11,dem,d227,0.6163377822083332
mobility,DE11,dem,d228,0.6163377822083332
mobility,DE11,dem,d229,0.6163377822083332
mobility,DE11,dem,d230,0.6163377822083332
mobility,DE11,dem,d231,0.6163377822083332
mobility,DE11,dem,d232,0.6163377822083332
mobility,DE11,dem,d233,0.6163377822083332
mobility,DE11,dem,d234,0.6163377822083332
mobility,DE11,dem,d235,0.6163377822083332
mobility,DE11,dem,d236,0.6163377822083332
mobility,DE11,dem,d237,0.6163377822083332
mobility,DE11,dem,d238,0.6163377822083332
mobility,DE11,dem,d239,0.6163377822083332
mobility,DE11,dem,d240,0.6163377822083332
mobility,DE11,dem,d241,0.6163377822083332
mobility,DE11,dem,d242,0.6163377822083332
mobility,DE11,dem,d243,0.6163377822083332
mobility,DE11,dem,d244,0.6163377822083332
mobility,DE11,dem,d245,0.6163377822083332
mobility,DE11,dem,d246,0.6163377822083332
mobility,DE11,dem,d247,0.6163377822083332
mobility,DE11,dem,d248,0.6163377822083332
mobility,DE11,dem,d249,0.6163377822083332
mobility,DE11,dem,d250,0.6163377822083332
mobility,DE11,dem,d251,0.6163377822083332
mobility,DE11,dem,d252,0.6163377822083332
mobility,DE11,dem,d253,0.6163377822083332
mobility,DE11,dem,d254,0.6163377822083332
mobility,DE11,dem,d255,0.6163377822083332
mobility,DE11,dem,d256,0.6163377822083332
mobility,DE11,dem,d257,0.6163377822083332
mobility,DE11,dem,d258,0.6163377822083332
mobility,DE11,dem,d259,0.6163377822083332
mobility,DE11,dem,d260,0.6163377822083332
mobility,DE11,dem,d261,0.6163377822083332
mobility,DE11,dem,d262,0.6163377822083332
mobility,DE11,dem,d263,0.6163377822083332
mobility,DE11,dem,d264,0.6163377822083332
mobility,DE11,dem,d265,0.6163377822083332
mobility,DE11,dem,d266,0.6163377822083332
mobility,DE11,dem,d267,0.6163377822083332
mobility,DE11,dem,d268,0.6163377822083332
mobility,DE11,dem,d269,0.6163377822083332
mobility,DE11,dem,d270,0.6163377822083332
mobility,DE11,dem,d271,0.6163377822083332
mobility,DE11,dem,d272,0.6163377822083332
mobility,DE11,dem,d273,0.6163377822083332
mobility,DE11,dem,d274,0.6163377822083332
mobility,DE11,dem,d275,0.6163377822083332
mobility,DE11,dem,d276,0.6163377822083332
mobility,DE11,dem,d277,0.6163377822083332
mobility,DE11,dem,d278,0.6163377822083332
mobility,DE11,dem,d279,0.6163377822083332
