technology_1,region_1,region_2,parameter,timestep_2,value
pumpedHydro,DE,DE12,stInflow,d001,0.042265624
pumpedHydro,DE,DEA5,stInflow,d001,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d001,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d001,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d001,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d001,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d001,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d001,0.077229545
pumpedHydro,DE,DE23,stInflow,d001,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d001,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d001,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d001,0.131992313
pumpedHydro,DE,DE13,stInflow,d001,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d001,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d002,0.042265624
pumpedHydro,DE,DEA5,stInflow,d002,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d002,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d002,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d002,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d002,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d002,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d002,0.077229545
pumpedHydro,DE,DE23,stInflow,d002,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d002,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d002,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d002,0.131992313
pumpedHydro,DE,DE13,stInflow,d002,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d002,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d003,0.042265624
pumpedHydro,DE,DEA5,stInflow,d003,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d003,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d003,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d003,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d003,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d003,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d003,0.077229545
pumpedHydro,DE,DE23,stInflow,d003,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d003,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d003,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d003,0.131992313
pumpedHydro,DE,DE13,stInflow,d003,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d003,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d004,0.042265624
pumpedHydro,DE,DEA5,stInflow,d004,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d004,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d004,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d004,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d004,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d004,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d004,0.077229545
pumpedHydro,DE,DE23,stInflow,d004,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d004,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d004,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d004,0.131992313
pumpedHydro,DE,DE13,stInflow,d004,1.4590767299999998
