value,parameter,region_2,technology_1,technology_2
0.0,capaConvFix,DE11,,offshore_c
0.0,capaConvFix,DE12,,offshore_c
0.0,capaConvFix,DE13,,offshore_c
0.0,capaConvFix,DE14,,offshore_c
0.0,capaConvFix,DE21,,offshore_c
0.0,capaConvFix,DE22,,offshore_c
0.0,capaConvFix,DE23,,offshore_c
0.0,capaConvFix,DE24,,offshore_c
0.0,capaConvFix,DE25,,offshore_c
0.0,capaConvFix,DE26,,offshore_c
0.0,capaConvFix,DE27,,offshore_c
0.0,capaConvFix,DE30,,offshore_c
0.0,capaConvFix,DE40,,offshore_c
0.0,capaConvFix,DE50,,offshore_c
0.0,capaConvFix,DE60,,offshore_c
0.0,capaConvFix,DE71,,offshore_c
0.0,capaConvFix,DE72,,offshore_c
0.0,capaConvFix,DE73,,offshore_c
0.0,capaConvFix,DE80,,offshore_c
0.0,capaConvFix,DE91,,offshore_c
0.0,capaConvFix,DE92,,offshore_c
0.0,capaConvFix,DE93,,offshore_c
0.0,capaConvFix,DE94,,offshore_c
0.0,capaConvFix,DEA1,,offshore_c
0.0,capaConvFix,DEA2,,offshore_c
0.0,capaConvFix,DEA3,,offshore_c
0.0,capaConvFix,DEA4,,offshore_c
0.0,capaConvFix,DEA5,,offshore_c
0.0,capaConvFix,DEB1,,offshore_c
0.0,capaConvFix,DEB2,,offshore_c
0.0,capaConvFix,DEB3,,offshore_c
0.0,capaConvFix,DEC0_,,offshore_c
0.0,capaConvFix,DED2,,offshore_c
0.0,capaConvFix,DED4,,offshore_c
0.0,capaConvFix,DED5,,offshore_c
0.0,capaConvFix,DEE0,,offshore_c
0.0,capaConvFix,DEF0,,offshore_c
0.0,capaConvFix,DEG0,,offshore_c
0.0,capaConvFix,DE11,,offshore_a
0.0,capaConvFix,DE12,,offshore_a
0.0,capaConvFix,DE13,,offshore_a
0.0,capaConvFix,DE14,,offshore_a
0.0,capaConvFix,DE21,,offshore_a
0.0,capaConvFix,DE22,,offshore_a
0.0,capaConvFix,DE23,,offshore_a
0.0,capaConvFix,DE24,,offshore_a
0.0,capaConvFix,DE25,,offshore_a
0.0,capaConvFix,DE26,,offshore_a
0.0,capaConvFix,DE27,,offshore_a
0.0,capaConvFix,DE30,,offshore_a
0.0,capaConvFix,DE40,,offshore_a
0.0,capaConvFix,DE50,,offshore_a
0.0,capaConvFix,DE60,,offshore_a
0.0,capaConvFix,DE71,,offshore_a
0.0,capaConvFix,DE72,,offshore_a
0.0,capaConvFix,DE73,,offshore_a
1.8589354289999998,capaConvFix,DE80,,offshore_a
0.0,capaConvFix,DE91,,offshore_a
0.0,capaConvFix,DE92,,offshore_a
0.0,capaConvFix,DE93,,offshore_a
1.404676,capaConvFix,DE94,,offshore_a
0.0,capaConvFix,DEA1,,offshore_a
0.0,capaConvFix,DEA2,,offshore_a
0.0,capaConvFix,DEA3,,offshore_a
0.0,capaConvFix,DEA4,,offshore_a
0.0,capaConvFix,DEA5,,offshore_a
0.0,capaConvFix,DEB1,,offshore_a
0.0,capaConvFix,DEB2,,offshore_a
0.0,capaConvFix,DEB3,,offshore_a
0.0,capaConvFix,DEC0_,,offshore_a
0.0,capaConvFix,DED2,,offshore_a
0.0,capaConvFix,DED4,,offshore_a
0.0,capaConvFix,DED5,,offshore_a
0.0,capaConvFix,DEE0,,offshore_a
4.445568,capaConvFix,DEF0,,offshore_a
0.0,capaConvFix,DEG0,,offshore_a
0.02,capaConvFix,DK,,offshore_a
1.56,capaConvFix,EE,,offshore_a
44.57,capaConvFix,FR,,offshore_a
17.4,capaConvFix,IE,,offshore_a
10.24,capaConvFix,NL,,offshore_a
33.0,capaConvFix,UK,,offshore_a
0.0,capaConvFix,DE11,,offshore_b
0.0,capaConvFix,DE12,,offshore_b
0.0,capaConvFix,DE13,,offshore_b
0.0,capaConvFix,DE14,,offshore_b
0.0,capaConvFix,DE21,,offshore_b
0.0,capaConvFix,DE22,,offshore_b
0.0,capaConvFix,DE23,,offshore_b
0.0,capaConvFix,DE24,,offshore_b
0.0,capaConvFix,DE25,,offshore_b
0.0,capaConvFix,DE26,,offshore_b
0.0,capaConvFix,DE27,,offshore_b
0.0,capaConvFix,DE30,,offshore_b
0.0,capaConvFix,DE40,,offshore_b
0.0,capaConvFix,DE50,,offshore_b
0.0,capaConvFix,DE60,,offshore_b
0.0,capaConvFix,DE71,,offshore_b
0.0,capaConvFix,DE72,,offshore_b
0.0,capaConvFix,DE73,,offshore_b
0.0,capaConvFix,DE80,,offshore_b
0.0,capaConvFix,DE91,,offshore_b
0.0,capaConvFix,DE92,,offshore_b
0.0,capaConvFix,DE93,,offshore_b
0.0,capaConvFix,DE94,,offshore_b
0.0,capaConvFix,DEA1,,offshore_b
0.0,capaConvFix,DEA2,,offshore_b
0.0,capaConvFix,DEA3,,offshore_b
0.0,capaConvFix,DEA4,,offshore_b
0.0,capaConvFix,DEA5,,offshore_b
0.0,capaConvFix,DEB1,,offshore_b
0.0,capaConvFix,DEB2,,offshore_b
0.0,capaConvFix,DEB3,,offshore_b
0.0,capaConvFix,DEC0_,,offshore_b
0.0,capaConvFix,DED2,,offshore_b
0.0,capaConvFix,DED4,,offshore_b
0.0,capaConvFix,DED5,,offshore_b
0.0,capaConvFix,DEE0,,offshore_b
0.0,capaConvFix,DEF0,,offshore_b
0.0,capaConvFix,DEG0,,offshore_b
2.192039987,capaConvFix,DE11,,rooftop_c
1.7291388410000001,capaConvFix,DE12,,rooftop_c
0.361982146,capaConvFix,DE13,,rooftop_c
1.7744255649999998,capaConvFix,DE14,,rooftop_c
1.483220447,capaConvFix,DE21,,rooftop_c
1.491545691,capaConvFix,DE22,,rooftop_c
0.983057042,capaConvFix,DE23,,rooftop_c
1.25502443,capaConvFix,DE24,,rooftop_c
0.583252668,capaConvFix,DE25,,rooftop_c
0.0,capaConvFix,DE26,,rooftop_c
0.689467715,capaConvFix,DE27,,rooftop_c
0.0,capaConvFix,DE30,,rooftop_c
0.0,capaConvFix,DE40,,rooftop_c
0.0,capaConvFix,DE50,,rooftop_c
0.0,capaConvFix,DE60,,rooftop_c
0.969906108,capaConvFix,DE71,,rooftop_c
0.0,capaConvFix,DE72,,rooftop_c
0.0,capaConvFix,DE73,,rooftop_c
0.0,capaConvFix,DE80,,rooftop_c
0.0,capaConvFix,DE91,,rooftop_c
0.0,capaConvFix,DE92,,rooftop_c
0.0,capaConvFix,DE93,,rooftop_c
0.0,capaConvFix,DE94,,rooftop_c
0.0,capaConvFix,DEA1,,rooftop_c
0.0,capaConvFix,DEA2,,rooftop_c
0.0,capaConvFix,DEA3,,rooftop_c
0.0,capaConvFix,DEA4,,rooftop_c
0.0,capaConvFix,DEA5,,rooftop_c
0.0,capaConvFix,DEB1,,rooftop_c
0.712974505,capaConvFix,DEB2,,rooftop_c
1.609165008,capaConvFix,DEB3,,rooftop_c
1.45503861,capaConvFix,DEC0_,,rooftop_c
0.0,capaConvFix,DED2,,rooftop_c
