region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter,value
CH,CH,DE,DE13,electricity,electricity_central,excDirUp,5
FR,FR,DE,DE13,electricity,electricity_central,excDirUp,30
AT,AT,DE,DE22,electricity,electricity_central,excDirUp,5
CZ,CZ,DE,DE23,electricity,electricity_central,excDirUp,10
AT,AT,DE,DE27,electricity,electricity_central,excDirUp,14
PL,PL,DE,DE40,electricity,electricity_central,excDirUp,20
SE,SE,DE,DE80,electricity,electricity_central,excDirUp,5
NL,NL,DE,DE94,electricity,electricity_central,excDirUp,5
NL,NL,DE,DEA1,electricity,electricity_central,excDirUp,10
BE,BE,DE,DEA2,electricity,electricity_central,excDirUp,5
NL,NL,DE,DEA2,electricity,electricity_central,excDirUp,18
NL,NL,DE,DEA3,electricity,electricity_central,excDirUp,5
FR,FR,DE,DEC0_,electricity,electricity_central,excDirUp,20
LU,LU,DE,DEC0_,electricity,electricity_central,excDirUp,5
PL,PL,DE,DED2,electricity,electricity_central,excDirUp,20
CZ,CZ,DE,DED4,electricity,electricity_central,excDirUp,8
DK,DK,DE,DEF0,electricity,electricity_central,excDirUp,20
NO,NO,DE,DE94,electricity,electricity_central,excDirUp,10
