timestep_1,technology_1,technology_2,region_3,parameter,value
all,photovoltaik,RES_PV_Utility_Avg,AT,capaConvUp,10.03213802
all,photovoltaik,RES_PV_Utility_Inf,AT,capaConvUp,10.03213802
all,photovoltaik,RES_PV_Utility_Opt,AT,capaConvUp,10.03213802
all,wind_offshore,RES_Wind_Offshore_Transitional,AT,capaConvUp,0
all,wind_offshore,RES_Wind_Offshore_Shallow,AT,capaConvUp,0
all,wind_offshore,RES_Wind_Offshore_Deep,AT,capaConvUp,0
all,wind_onshore,RES_Wind_Onshore_Avg,AT,capaConvUp,30.53333333
all,wind_onshore,RES_Wind_Onshore_Inf,AT,capaConvUp,15.26666667
all,wind_onshore,RES_Wind_Onshore_Opt,AT,capaConvUp,15.26666667
all,photovoltaik,RES_PV_Utility_Avg,BE,capaConvUp,9.724883301
all,photovoltaik,RES_PV_Utility_Inf,BE,capaConvUp,9.724883301
all,photovoltaik,RES_PV_Utility_Opt,BE,capaConvUp,9.724883301
all,wind_offshore,RES_Wind_Offshore_Transitional,BE,capaConvUp,3.033333333
all,wind_offshore,RES_Wind_Offshore_Shallow,BE,capaConvUp,3.033333333
all,wind_offshore,RES_Wind_Offshore_Deep,BE,capaConvUp,3.033333333
all,wind_onshore,RES_Wind_Onshore_Avg,BE,capaConvUp,11.8
all,wind_onshore,RES_Wind_Onshore_Inf,BE,capaConvUp,5.9
all,wind_onshore,RES_Wind_Onshore_Opt,BE,capaConvUp,5.9
all,photovoltaik,RES_PV_Utility_Avg,BG,capaConvUp,5.622403646
all,photovoltaik,RES_PV_Utility_Inf,BG,capaConvUp,5.622403646
all,photovoltaik,RES_PV_Utility_Opt,BG,capaConvUp,5.622403646
all,wind_offshore,RES_Wind_Offshore_Transitional,BG,capaConvUp,3.866666667
all,wind_offshore,RES_Wind_Offshore_Shallow,BG,capaConvUp,3.866666667
all,wind_offshore,RES_Wind_Offshore_Deep,BG,capaConvUp,3.866666667
all,wind_onshore,RES_Wind_Onshore_Avg,BG,capaConvUp,45.66666667
all,wind_onshore,RES_Wind_Onshore_Inf,BG,capaConvUp,22.83333333
all,wind_onshore,RES_Wind_Onshore_Opt,BG,capaConvUp,22.83333333
all,photovoltaik,RES_PV_Utility_Avg,CH,capaConvUp,6.233333333
all,photovoltaik,RES_PV_Utility_Inf,CH,capaConvUp,6.233333333
all,photovoltaik,RES_PV_Utility_Opt,CH,capaConvUp,6.233333333
all,wind_offshore,RES_Wind_Offshore_Transitional,CH,capaConvUp,0
all,wind_offshore,RES_Wind_Offshore_Shallow,CH,capaConvUp,0
all,wind_offshore,RES_Wind_Offshore_Deep,CH,capaConvUp,0
all,wind_onshore,RES_Wind_Onshore_Avg,CH,capaConvUp,13.86666667
all,wind_onshore,RES_Wind_Onshore_Inf,CH,capaConvUp,6.933333333
all,wind_onshore,RES_Wind_Onshore_Opt,CH,capaConvUp,6.933333333
all,photovoltaik,RES_PV_Utility_Avg,CZ,capaConvUp,12.66021875
all,photovoltaik,RES_PV_Utility_Inf,CZ,capaConvUp,12.66021875
all,photovoltaik,RES_PV_Utility_Opt,CZ,capaConvUp,12.66021875
