nuts2,total
BE,1453394
BE2,732945
BE21,120572
BE22,82258
BE23,137142
BE24,158103
BE25,234870
BE3,720448
BE31,63173
BE32,132226
BE33,208176
BE34,142957
BE35,173915
BG,4156519
BG3,3314580
BG31,846918
BG32,794805
BG33,832811
BG34,840045
BG4,841939
BG41,303976
BG42,537963
CZ,3602618
CZ0,3602618
CZ01,0
CZ02,633384
CZ03,503222
CZ04,338415
CZ05,523205
CZ06,776729
CZ07,497154
CZ08,330505
DK,2971708
DK0,2971708
DK01,98770
DK02,510790
DK03,884469
DK04,866440
DK05,611237
DE,16853267
DE1,1298133
DE11,566507
DE12,179091
DE13,93401
DE14,459134
DE2,2997035
DE21,497315
DE22,466867
DE23,412171
DE24,341003
DE25,418478
DE26,463269
DE27,397932
DE4,1469899
DE40,1469899
DE41,0
DE42,0
DE6,2293
DE60,2293
DE7,730952
DE71,188749
DE72,183555
DE73,358649
DE8,1494485
DE80,1494485
DE9,2510146
DE91,275175
DE92,373302
DE93,1070522
DE94,791148
DEA,1426521
DEA1,231451
DEA2,194561
DEA3,369091
DEA4,389249
DEA5,242168
DEB,680715
DEB1,218383
DEB2,123076
DEB3,339258
DEC,67793
DEC0_,67793
DED,971301
DED1,0
DED2,378182
DED3,0
DED4,390818
DED5,202300
DEE,1351489
DEE0,1351489
DEE1,0
DEE2,0
DEE3,0
DEF,943713
DEF0,943713
DEG,908790
DEG0,908790
EE,979286
EE0,979286
EE00,979286
IE,4198690
IE0,4198690
IE04,1103000
IE05,1811661
IE06,1284028
IE01,0
IE02,0
EL,3473046
EL1,0
EL11,0
EL12,0
EL13,0
EL14,0
EL2,0
EL21,0
EL22,0
EL23,0
EL24,0
EL25,0
EL3,57332
EL30,57332
EL4,745230
EL41,285831
EL42,60053
EL43,399345
EL5,1390991
EL51,301015
EL52,784691
EL53,107644
EL54,197642
EL6,1279495
EL61,446071
EL62,4818
EL63,100268
EL64,283849
EL65,444488
ES,20394516
ES1,1035657
ES11,608828
ES12,232717
ES13,194110
ES2,3092513
ES21,213695
ES22,475787
ES23,220824
ES24,2182207
ES3,206080
ES30,206080
ES4,8913495
ES41,3859844
ES42,3070677
ES43,1982973
ES5,2010463
ES51,1163179
ES52,581485
ES53,265799
ES6,5112283
ES61,4683517
ES62,428766
ES7,24027
ES70,24027
FR,26151952
FR1,559326
FR10,559326
FRB,2315479
FRB0,2315479
FRC,2461604
FRC1,1812337
FRC2,649267
FRD,1873210
FRD1,1129631
FRD2,743578
FRE,2042097
FRE1,760481
FRE2,1281617
FRF,3084737
FRF1,335389
FRF2,1620273
FRF3,1129075
FRG,2150136
FRG0,2150136
FRH,1584322
FRH0,1584322
FRI,3717345
FRI1,1271838
FRI2,711770
FRI3,1733738
FRJ,2993297
FRJ1,771574
FRJ2,2221723
FRK,2699630
FRK1,1301231
FRK2,1398398
FRL,488210
FRL0,488210
FRM,115041
FRM0,115041
FRY,67518
FRY1,15125
FRY2,12820
FRY4,39573
FR2,0
FR21,0
FR22,0
FR23,0
FR24,0
FR25,0
FR26,0
FR3,0
FR30,0
FR4,0
FR41,0
FR42,0
FR43,0
FR5,0
FR51,0
FR52,0
FR53,0
FR6,0
FR61,0
FR62,0
FR63,0
FR7,0
FR71,0
FR72,0
FR8,0
FR81,0
FR82,0
FR83,0
FRA,0
FRA1,0
FRA2,0
FRA4,0
FR9,0
FR91,0
FR92,0
FR94,0
HR,1299633
HR0,1299633
HR03,221652
HR04,1077979
IT,10855268
ITC,1788564
ITC1,844500
ITC2,49190
ITC3,26719
ITC4,868154
ITH,2136377
ITH1,118049
ITH2,44615
ITH3,701417
ITH4,183075
ITH5,1089221
ITD,0
ITD1,0
ITD2,0
ITD3,0
ITD4,0
ITD5,0
ITI,1673001
ITI1,565013
ITI2,246897
ITI3,345451
ITI4,515640
ITE,0
ITE1,0
ITE2,0
ITE3,0
ITE4,0
ITF,2703873
ITF1,238142
ITF2,136953
ITF3,521639
ITF4,1074984
ITF5,401161
ITF6,330996
ITG,2553453
ITG1,1270078
ITG2,1283375
CY,106731
CY0,106731
CY00,106731
