timestep_superordinate_expansion,timestep_dispatch,region_dispatch,carrier,technology,M,scr,constraint
none,2050 < d001,DE,electricity < electricity_decentral,battery < home,none,none,"9980.817653641478 stLvl[none, 2050, d365, DE, electricity_decentral, home, none, none] + 9800 stExtIn[none, 2050, d001, DE, electricity_decentral, home, none, none] - 10204.081632653062 stExtOut[none, 2050, d001, DE, electricity_decentral, home, none, none] - 10000 stLvl[none, 2050, d001, DE, electricity_decentral, home, none, none] == 0.0"
none,2050 < d002,DE,electricity < electricity_decentral,battery < home,none,none,"9980.817653641478 stLvl[none, 2050, d001, DE, electricity_decentral, home, none, none] + 9800 stExtIn[none, 2050, d002, DE, electricity_decentral, home, none, none] - 10204.081632653062 stExtOut[none, 2050, d002, DE, electricity_decentral, home, none, none] - 10000 stLvl[none, 2050, d002, DE, electricity_decentral, home, none, none] == 0.0"
none,2050 < d003,DE,electricity < electricity_decentral,battery < home,none,none,"9980.817653641478 stLvl[none, 2050, d002, DE, electricity_decentral, home, none, none] + 9800 stExtIn[none, 2050, d003, DE, electricity_decentral, home, none, none] - 10204.081632653062 stExtOut[none, 2050, d003, DE, electricity_decentral, home, none, none] - 10000 stLvl[none, 2050, d003, DE, electricity_decentral, home, none, none] == 0.0"
none,2050 < d004,DE,electricity < electricity_decentral,battery < home,none,none,"9980.817653641478 stLvl[none, 2050, d003, DE, electricity_decentral, home, none, none] + 9800 stExtIn[none, 2050, d004, DE, electricity_decentral, home, none, none] - 10204.081632653062 stExtOut[none, 2050, d004, DE, electricity_decentral, home, none, none] - 10000 stLvl[none, 2050, d004, DE, electricity_decentral, home, none, none] == 0.0"
none,2050 < d005,DE,electricity < electricity_decentral,battery < home,none,none,"9980.817653641478 stLvl[none, 2050, d004, DE, electricity_decentral, home, none, none] + 9800 stExtIn[none, 2050, d005, DE, electricity_decentral, home, none, none] - 10204.081632653062 stExtOut[none, 2050, d005, DE, electricity_decentral, home, none, none] - 10000 stLvl[none, 2050, d005, DE, electricity_decentral, home, none, none] == 0.0"
none,2050 < d006,DE,electricity < electricity_decentral,battery < home,none,none,"9980.817653641478 stLvl[none, 2050, d005, DE, electricity_decentral, home, none, none] + 9800 stExtIn[none, 2050, d006, DE, electricity_decentral, home, none, none] - 10204.081632653062 stExtOut[none, 2050, d006, DE, electricity_decentral, home, none, none] - 10000 stLvl[none, 2050, d006, DE, electricity_decentral, home, none, none] == 0.0"
none,2050 < d007,DE,electricity < electricity_decentral,battery < home,none,none,"9980.817653641478 stLvl[none, 2050, d006, DE, electricity_decentral, home, none, none] + 9800 stExtIn[none, 2050, d007, DE, electricity_decentral, home, none, none] - 10204.081632653062 stExtOut[none, 2050, d007, DE, electricity_decentral, home, none, none] - 10000 stLvl[none, 2050, d007, DE, electricity_decentral, home, none, none] == 0.0"
none,2050 < d008,DE,electricity < electricity_decentral,battery < home,none,none,"9980.817653641478 stLvl[none, 2050, d007, DE, electricity_decentral, home, none, none] + 9800 stExtIn[none, 2050, d008, DE, electricity_decentral, home, none, none] - 10204.081632653062 stExtOut[none, 2050, d008, DE, electricity_decentral, home, none, none] - 10000 stLvl[none, 2050, d008, DE, electricity_decentral, home, none, none] == 0.0"
none,2050 < d009,DE,electricity < electricity_decentral,battery < home,none,none,"9980.817653641478 stLvl[none, 2050, d008, DE, electricity_decentral, home, none, none] + 9800 stExtIn[none, 2050, d009, DE, electricity_decentral, home, none, none] - 10204.081632653062 stExtOut[none, 2050, d009, DE, electricity_decentral, home, none, none] - 10000 stLvl[none, 2050, d009, DE, electricity_decentral, home, none, none] == 0.0"
none,2050 < d010,DE,electricity < electricity_decentral,battery < home,none,none,"9980.817653641478 stLvl[none, 2050, d009, DE, electricity_decentral, home, none, none] + 9800 stExtIn[none, 2050, d010, DE, electricity_decentral, home, none, none] - 10204.081632653062 stExtOut[none, 2050, d010, DE, electricity_decentral, home, none, none] - 10000 stLvl[none, 2050, d010, DE, electricity_decentral, home, none, none] == 0.0"
