timestep_superordinate_expansion,timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,technology,scr,constraint
none,2050,2050 < d001,DE < DE11,rooftop < rooftop_b,none,"26482.636543464556 gen[none, 2050, d001, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d003,DE < DE11,rooftop < rooftop_b,none,"30821.294630260927 gen[none, 2050, d003, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d004,DE < DE11,rooftop < rooftop_b,none,"44652.57707149509 gen[none, 2050, d004, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d005,DE < DE11,rooftop < rooftop_b,none,"39722.40260142752 gen[none, 2050, d005, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d006,DE < DE11,rooftop < rooftop_b,none,"31760.76107416202 gen[none, 2050, d006, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d007,DE < DE11,rooftop < rooftop_b,none,"67102.69016668326 gen[none, 2050, d007, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d008,DE < DE11,rooftop < rooftop_b,none,"14554.827183326186 gen[none, 2050, d008, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d009,DE < DE11,rooftop < rooftop_b,none,"59541.511006835644 gen[none, 2050, d009, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d010,DE < DE11,rooftop < rooftop_b,none,"26740.254118167457 gen[none, 2050, d010, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d011,DE < DE11,rooftop < rooftop_b,none,"57308.52120114236 gen[none, 2050, d011, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d012,DE < DE11,rooftop < rooftop_b,none,"51834.79780432125 gen[none, 2050, d012, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d013,DE < DE11,rooftop < rooftop_b,none,"41819.88695558793 gen[none, 2050, d013, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d014,DE < DE11,rooftop < rooftop_b,none,"9376.906064707951 gen[none, 2050, d014, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d015,DE < DE11,rooftop < rooftop_b,none,"56415.973545618996 gen[none, 2050, d015, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d016,DE < DE11,rooftop < rooftop_b,none,"28336.874534841667 gen[none, 2050, d016, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d017,DE < DE11,rooftop < rooftop_b,none,"29958.250370450765 gen[none, 2050, d017, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d018,DE < DE11,rooftop < rooftop_b,none,"8798.15434605263 gen[none, 2050, d018, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d019,DE < DE11,rooftop < rooftop_b,none,"11487.09039717849 gen[none, 2050, d019, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d020,DE < DE11,rooftop < rooftop_b,none,"10620.313865021364 gen[none, 2050, d020, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d021,DE < DE11,rooftop < rooftop_b,none,"11717.098136907018 gen[none, 2050, d021, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d022,DE < DE11,rooftop < rooftop_b,none,"8735.13714495124 gen[none, 2050, d022, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d023,DE < DE11,rooftop < rooftop_b,none,"42597.77111049906 gen[none, 2050, d023, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d024,DE < DE11,rooftop < rooftop_b,none,"20457.23994103316 gen[none, 2050, d024, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d025,DE < DE11,rooftop < rooftop_b,none,"10539.55365753959 gen[none, 2050, d025, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d026,DE < DE11,rooftop < rooftop_b,none,"10245.394996359748 gen[none, 2050, d026, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d027,DE < DE11,rooftop < rooftop_b,none,"14591.68725382346 gen[none, 2050, d027, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d028,DE < DE11,rooftop < rooftop_b,none,"30311.164035767357 gen[none, 2050, d028, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
none,2050,2050 < d029,DE < DE11,rooftop < rooftop_b,none,"8840.226803904687 gen[none, 2050, d029, DE11, electricity_central, rooftop_b, none, none] - 2400 capaConv[none, 2050, DE11, rooftop_b] <= 0.0"
