timestep_superordinate_expansion,timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,carrier,technology,M,scr,variable
none,2050,2050 < d001,DE,gas < hydrogen,gasStorage,none,none,44005.433483064975
none,2050,2050 < d002,DE,gas < hydrogen,gasStorage,none,none,43291.12308275691
none,2050,2050 < d003,DE,gas < hydrogen,gasStorage,none,none,42889.269052287615
none,2050,2050 < d004,DE,gas < hydrogen,gasStorage,none,none,42430.08248913719
none,2050,2050 < d005,DE,gas < hydrogen,gasStorage,none,none,41749.12145863574
none,2050,2050 < d006,DE,gas < hydrogen,gasStorage,none,none,40879.72739433039
none,2050,2050 < d007,DE,gas < hydrogen,gasStorage,none,none,40157.114379335566
none,2050,2050 < d008,DE,gas < hydrogen,gasStorage,none,none,39405.53126769111
none,2050,2050 < d009,DE,gas < hydrogen,gasStorage,none,none,38503.1804028261
none,2050,2050 < d010,DE,gas < hydrogen,gasStorage,none,none,37787.24348786136
none,2050,2050 < d011,DE,gas < hydrogen,gasStorage,none,none,36816.98740838071
none,2050,2050 < d012,DE,gas < hydrogen,gasStorage,none,none,35823.5275777044
none,2050,2050 < d013,DE,gas < hydrogen,gasStorage,none,none,34889.51159361854
none,2050,2050 < d014,DE,gas < hydrogen,gasStorage,none,none,33900.476907882425
none,2050,2050 < d015,DE,gas < hydrogen,gasStorage,none,none,32587.727929716497
none,2050,2050 < d016,DE,gas < hydrogen,gasStorage,none,none,31379.943300203846
none,2050,2050 < d017,DE,gas < hydrogen,gasStorage,none,none,29910.98548233567
none,2050,2050 < d018,DE,gas < hydrogen,gasStorage,none,none,28853.467324770692
none,2050,2050 < d019,DE,gas < hydrogen,gasStorage,none,none,27908.27897868786
none,2050,2050 < d020,DE,gas < hydrogen,gasStorage,none,none,26386.260751700014
none,2050,2050 < d021,DE,gas < hydrogen,gasStorage,none,none,24864.2423024907
none,2050,2050 < d022,DE,gas < hydrogen,gasStorage,none,none,24046.755863839124
none,2050,2050 < d023,DE,gas < hydrogen,gasStorage,none,none,23220.998627214554
none,2050,2050 < d024,DE,gas < hydrogen,gasStorage,none,none,22505.063908530865
none,2050,2050 < d025,DE,gas < hydrogen,gasStorage,none,none,21860.76081391344
none,2050,2050 < d026,DE,gas < hydrogen,gasStorage,none,none,21946.439629448967
none,2050,2050 < d027,DE,gas < hydrogen,gasStorage,none,none,22531.177352697894
none,2050,2050 < d028,DE,gas < hydrogen,gasStorage,none,none,22632.261720026647
none,2050,2050 < d029,DE,gas < hydrogen,gasStorage,none,none,23198.12701151378
none,2050,2050 < d030,DE,gas < hydrogen,gasStorage,none,none,23907.662653834315
none,2050,2050 < d031,DE,gas < hydrogen,gasStorage,none,none,24496.475185600735
none,2050,2050 < d032,DE,gas < hydrogen,gasStorage,none,none,25083.17778786047
none,2050,2050 < d033,DE,gas < hydrogen,gasStorage,none,none,25841.548870597886
none,2050,2050 < d034,DE,gas < hydrogen,gasStorage,none,none,26490.223951575597
none,2050,2050 < d035,DE,gas < hydrogen,gasStorage,none,none,26704.346247661775
none,2050,2050 < d036,DE,gas < hydrogen,gasStorage,none,none,26811.054113328177
none,2050,2050 < d037,DE,gas < hydrogen,gasStorage,none,none,27154.435309550474
none,2050,2050 < d038,DE,gas < hydrogen,gasStorage,none,none,27605.702082455373
none,2050,2050 < d039,DE,gas < hydrogen,gasStorage,none,none,28117.73710295485
none,2050,2050 < d040,DE,gas < hydrogen,gasStorage,none,none,28117.63701286814
none,2050,2050 < d041,DE,gas < hydrogen,gasStorage,none,none,28143.580429493326
none,2050,2050 < d042,DE,gas < hydrogen,gasStorage,none,none,27482.355246295334
none,2050,2050 < d043,DE,gas < hydrogen,gasStorage,none,none,25960.337459326016
none,2050,2050 < d044,DE,gas < hydrogen,gasStorage,none,none,24974.18129525384
none,2050,2050 < d045,DE,gas < hydrogen,gasStorage,none,none,24592.98234301902
none,2050,2050 < d046,DE,gas < hydrogen,gasStorage,none,none,23818.927314497905
none,2050,2050 < d047,DE,gas < hydrogen,gasStorage,none,none,22367.177402309735
none,2050,2050 < d048,DE,gas < hydrogen,gasStorage,none,none,22183.96349101233
none,2050,2050 < d049,DE,gas < hydrogen,gasStorage,none,none,20757.78636202665
none,2050,2050 < d050,DE,gas < hydrogen,gasStorage,none,none,19554.314495352577
none,2050,2050 < d051,DE,gas < hydrogen,gasStorage,none,none,19815.041170131695
none,2050,2050 < d052,DE,gas < hydrogen,gasStorage,none,none,20362.841836962674
none,2050,2050 < d053,DE,gas < hydrogen,gasStorage,none,none,20653.669703757736
none,2050,2050 < d054,DE,gas < hydrogen,gasStorage,none,none,20504.52682004077
none,2050,2050 < d055,DE,gas < hydrogen,gasStorage,none,none,20425.770854340666
none,2050,2050 < d056,DE,gas < hydrogen,gasStorage,none,none,19461.10981221762
none,2050,2050 < d057,DE,gas < hydrogen,gasStorage,none,none,17939.091401870548
none,2050,2050 < d058,DE,gas < hydrogen,gasStorage,none,none,16417.07387222414
none,2050,2050 < d059,DE,gas < hydrogen,gasStorage,none,none,15252.113178656547
none,2050,2050 < d060,DE,gas < hydrogen,gasStorage,none,none,13918.205352258177
none,2050,2050 < d061,DE,gas < hydrogen,gasStorage,none,none,13918.205401856685
none,2050,2050 < d062,DE,gas < hydrogen,gasStorage,none,none,13335.91925535844
none,2050,2050 < d063,DE,gas < hydrogen,gasStorage,none,none,12590.201638244696
none,2050,2050 < d064,DE,gas < hydrogen,gasStorage,none,none,11947.088603319367
none,2050,2050 < d065,DE,gas < hydrogen,gasStorage,none,none,10711.149417103994
none,2050,2050 < d066,DE,gas < hydrogen,gasStorage,none,none,9217.51876825362
none,2050,2050 < d067,DE,gas < hydrogen,gasStorage,none,none,7705.805409082458
none,2050,2050 < d068,DE,gas < hydrogen,gasStorage,none,none,7056.956661268008
none,2050,2050 < d069,DE,gas < hydrogen,gasStorage,none,none,6976.160098336493
none,2050,2050 < d070,DE,gas < hydrogen,gasStorage,none,none,6380.394052273823
none,2050,2050 < d071,DE,gas < hydrogen,gasStorage,none,none,5542.354084962589
none,2050,2050 < d072,DE,gas < hydrogen,gasStorage,none,none,4603.100398437574
none,2050,2050 < d073,DE,gas < hydrogen,gasStorage,none,none,3710.8243922969837
none,2050,2050 < d074,DE,gas < hydrogen,gasStorage,none,none,2461.542264150009
none,2050,2050 < d075,DE,gas < hydrogen,gasStorage,none,none,2050.209774713938
none,2050,2050 < d076,DE,gas < hydrogen,gasStorage,none,none,1158.3927192432375
none,2050,2050 < d077,DE,gas < hydrogen,gasStorage,none,none,317.23969678508456
