timestep_superordinate_expansion,timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,carrier,technology,M,scr,variable
none,2050,2050 < d001,DE,gas < hydrogen,gasStorage,none,none,38897.89383564603
none,2050,2050 < d002,DE,gas < hydrogen,gasStorage,none,none,38522.54433375471
none,2050,2050 < d003,DE,gas < hydrogen,gasStorage,none,none,38520.50765020331
none,2050,2050 < d004,DE,gas < hydrogen,gasStorage,none,none,38442.29353321816
none,2050,2050 < d005,DE,gas < hydrogen,gasStorage,none,none,37841.30463710194
none,2050,2050 < d006,DE,gas < hydrogen,gasStorage,none,none,36726.89753477718
none,2050,2050 < d007,DE,gas < hydrogen,gasStorage,none,none,35917.84048250223
none,2050,2050 < d008,DE,gas < hydrogen,gasStorage,none,none,35185.94819603444
none,2050,2050 < d009,DE,gas < hydrogen,gasStorage,none,none,33951.30036021117
none,2050,2050 < d010,DE,gas < hydrogen,gasStorage,none,none,33127.402295705506
none,2050,2050 < d011,DE,gas < hydrogen,gasStorage,none,none,32053.69757316779
none,2050,2050 < d012,DE,gas < hydrogen,gasStorage,none,none,31793.452194305395
none,2050,2050 < d013,DE,gas < hydrogen,gasStorage,none,none,31495.733096000964
none,2050,2050 < d014,DE,gas < hydrogen,gasStorage,none,none,30510.686133471037
none,2050,2050 < d015,DE,gas < hydrogen,gasStorage,none,none,28906.11210022697
none,2050,2050 < d016,DE,gas < hydrogen,gasStorage,none,none,27301.542863583927
none,2050,2050 < d017,DE,gas < hydrogen,gasStorage,none,none,25696.96625829531
none,2050,2050 < d018,DE,gas < hydrogen,gasStorage,none,none,24092.39266807282
none,2050,2050 < d019,DE,gas < hydrogen,gasStorage,none,none,22487.82525780983
none,2050,2050 < d020,DE,gas < hydrogen,gasStorage,none,none,20883.253395238044
none,2050,2050 < d021,DE,gas < hydrogen,gasStorage,none,none,19278.67743825545
none,2050,2050 < d022,DE,gas < hydrogen,gasStorage,none,none,18289.657336551772
none,2050,2050 < d023,DE,gas < hydrogen,gasStorage,none,none,17027.794003283874
none,2050,2050 < d024,DE,gas < hydrogen,gasStorage,none,none,16311.858943679796
none,2050,2050 < d025,DE,gas < hydrogen,gasStorage,none,none,16028.727188112112
none,2050,2050 < d026,DE,gas < hydrogen,gasStorage,none,none,16111.966647533307
none,2050,2050 < d027,DE,gas < hydrogen,gasStorage,none,none,16663.862511675954
none,2050,2050 < d028,DE,gas < hydrogen,gasStorage,none,none,16663.868042818005
none,2050,2050 < d029,DE,gas < hydrogen,gasStorage,none,none,17136.33407789548
none,2050,2050 < d030,DE,gas < hydrogen,gasStorage,none,none,17904.621627774115
none,2050,2050 < d031,DE,gas < hydrogen,gasStorage,none,none,18581.926776222837
none,2050,2050 < d032,DE,gas < hydrogen,gasStorage,none,none,19210.02214319792
none,2050,2050 < d033,DE,gas < hydrogen,gasStorage,none,none,20063.77725165282
none,2050,2050 < d034,DE,gas < hydrogen,gasStorage,none,none,20807.708598006233
none,2050,2050 < d035,DE,gas < hydrogen,gasStorage,none,none,20845.828064852598
none,2050,2050 < d036,DE,gas < hydrogen,gasStorage,none,none,20755.888585474055
none,2050,2050 < d037,DE,gas < hydrogen,gasStorage,none,none,21202.658445955094
none,2050,2050 < d038,DE,gas < hydrogen,gasStorage,none,none,21496.327419450023
none,2050,2050 < d039,DE,gas < hydrogen,gasStorage,none,none,21925.782534147525
none,2050,2050 < d040,DE,gas < hydrogen,gasStorage,none,none,22229.645271044854
none,2050,2050 < d041,DE,gas < hydrogen,gasStorage,none,none,22382.421159932812
none,2050,2050 < d042,DE,gas < hydrogen,gasStorage,none,none,22158.555314927755
none,2050,2050 < d043,DE,gas < hydrogen,gasStorage,none,none,20553.983473980526
none,2050,2050 < d044,DE,gas < hydrogen,gasStorage,none,none,19773.482400679415
none,2050,2050 < d045,DE,gas < hydrogen,gasStorage,none,none,19544.37575653934
none,2050,2050 < d046,DE,gas < hydrogen,gasStorage,none,none,18770.64573570851
none,2050,2050 < d047,DE,gas < hydrogen,gasStorage,none,none,17734.030322281946
none,2050,2050 < d048,DE,gas < hydrogen,gasStorage,none,none,17494.131901006873
none,2050,2050 < d049,DE,gas < hydrogen,gasStorage,none,none,16068.572397982323
none,2050,2050 < d050,DE,gas < hydrogen,gasStorage,none,none,15024.541518940508
none,2050,2050 < d051,DE,gas < hydrogen,gasStorage,none,none,15679.04360365403
none,2050,2050 < d052,DE,gas < hydrogen,gasStorage,none,none,16459.137188991746
none,2050,2050 < d053,DE,gas < hydrogen,gasStorage,none,none,16868.332977281418
none,2050,2050 < d054,DE,gas < hydrogen,gasStorage,none,none,16868.337613221924
none,2050,2050 < d055,DE,gas < hydrogen,gasStorage,none,none,16528.200393889852
none,2050,2050 < d056,DE,gas < hydrogen,gasStorage,none,none,15707.57456746519
none,2050,2050 < d057,DE,gas < hydrogen,gasStorage,none,none,14112.73473995967
none,2050,2050 < d058,DE,gas < hydrogen,gasStorage,none,none,12508.160288545725
none,2050,2050 < d059,DE,gas < hydrogen,gasStorage,none,none,11566.642585999065
none,2050,2050 < d060,DE,gas < hydrogen,gasStorage,none,none,10760.98742579293
none,2050,2050 < d061,DE,gas < hydrogen,gasStorage,none,none,10760.990708381089
none,2050,2050 < d062,DE,gas < hydrogen,gasStorage,none,none,10438.384329119483
none,2050,2050 < d063,DE,gas < hydrogen,gasStorage,none,none,9713.472949897892
none,2050,2050 < d064,DE,gas < hydrogen,gasStorage,none,none,8981.015058556579
none,2050,2050 < d065,DE,gas < hydrogen,gasStorage,none,none,8125.594463873265
none,2050,2050 < d066,DE,gas < hydrogen,gasStorage,none,none,6521.023539672519
none,2050,2050 < d067,DE,gas < hydrogen,gasStorage,none,none,4916.451979444522
none,2050,2050 < d068,DE,gas < hydrogen,gasStorage,none,none,4711.106911900948
none,2050,2050 < d069,DE,gas < hydrogen,gasStorage,none,none,4393.038037199957
