timestep_superordinate_expansion,timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,carrier,technology,M,scr,variable
none,2050,2050 < d001,DE,gas < hydrogen,gasStorage,none,none,113165.50988379747
none,2050,2050 < d002,DE,gas < hydrogen,gasStorage,none,none,110620.45393316151
none,2050,2050 < d003,DE,gas < hydrogen,gasStorage,none,none,108075.39985087789
none,2050,2050 < d004,DE,gas < hydrogen,gasStorage,none,none,105530.34283946473
none,2050,2050 < d005,DE,gas < hydrogen,gasStorage,none,none,102985.28779647125
none,2050,2050 < d006,DE,gas < hydrogen,gasStorage,none,none,100440.23229156794
none,2050,2050 < d007,DE,gas < hydrogen,gasStorage,none,none,97895.17730776191
none,2050,2050 < d008,DE,gas < hydrogen,gasStorage,none,none,95499.526224968
none,2050,2050 < d009,DE,gas < hydrogen,gasStorage,none,none,92954.47146801768
none,2050,2050 < d010,DE,gas < hydrogen,gasStorage,none,none,90409.41660066784
none,2050,2050 < d011,DE,gas < hydrogen,gasStorage,none,none,87864.36279717802
none,2050,2050 < d012,DE,gas < hydrogen,gasStorage,none,none,85570.7458569119
none,2050,2050 < d013,DE,gas < hydrogen,gasStorage,none,none,83360.73560360051
none,2050,2050 < d014,DE,gas < hydrogen,gasStorage,none,none,80859.99294798722
none,2050,2050 < d015,DE,gas < hydrogen,gasStorage,none,none,78314.93686459314
none,2050,2050 < d016,DE,gas < hydrogen,gasStorage,none,none,75769.8815752973
none,2050,2050 < d017,DE,gas < hydrogen,gasStorage,none,none,73224.82638538856
none,2050,2050 < d018,DE,gas < hydrogen,gasStorage,none,none,70918.32253562374
none,2050,2050 < d019,DE,gas < hydrogen,gasStorage,none,none,68592.0952901947
none,2050,2050 < d020,DE,gas < hydrogen,gasStorage,none,none,66047.04020338014
none,2050,2050 < d021,DE,gas < hydrogen,gasStorage,none,none,63501.985876802304
none,2050,2050 < d022,DE,gas < hydrogen,gasStorage,none,none,61782.63078461217
none,2050,2050 < d023,DE,gas < hydrogen,gasStorage,none,none,59237.57448024877
none,2050,2050 < d024,DE,gas < hydrogen,gasStorage,none,none,56761.24830324467
none,2050,2050 < d025,DE,gas < hydrogen,gasStorage,none,none,54322.804368949524
none,2050,2050 < d026,DE,gas < hydrogen,gasStorage,none,none,52645.424483447976
none,2050,2050 < d027,DE,gas < hydrogen,gasStorage,none,none,51355.29914352453
none,2050,2050 < d028,DE,gas < hydrogen,gasStorage,none,none,50015.15896433226
none,2050,2050 < d029,DE,gas < hydrogen,gasStorage,none,none,49321.297417889255
none,2050,2050 < d030,DE,gas < hydrogen,gasStorage,none,none,48424.409763319905
none,2050,2050 < d031,DE,gas < hydrogen,gasStorage,none,none,47024.00725900891
none,2050,2050 < d032,DE,gas < hydrogen,gasStorage,none,none,45735.74197678794
none,2050,2050 < d033,DE,gas < hydrogen,gasStorage,none,none,44963.81507033752
none,2050,2050 < d034,DE,gas < hydrogen,gasStorage,none,none,43993.827958926384
