timestep_superordinate_expansion,timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,carrier,technology,M,scr,variable
none,2050,2050 < d001,DE,gas < hydrogen,gasStorage,none,none,85718.95126531077
none,2050,2050 < d002,DE,gas < hydrogen,gasStorage,none,none,83873.16170495235
none,2050,2050 < d003,DE,gas < hydrogen,gasStorage,none,none,82350.46680883215
none,2050,2050 < d004,DE,gas < hydrogen,gasStorage,none,none,80433.21321590552
none,2050,2050 < d005,DE,gas < hydrogen,gasStorage,none,none,78162.21062667694
none,2050,2050 < d006,DE,gas < hydrogen,gasStorage,none,none,75891.20730502794
none,2050,2050 < d007,DE,gas < hydrogen,gasStorage,none,none,73733.36301234679
none,2050,2050 < d008,DE,gas < hydrogen,gasStorage,none,none,72149.69532141987
none,2050,2050 < d009,DE,gas < hydrogen,gasStorage,none,none,69878.69470555577
none,2050,2050 < d010,DE,gas < hydrogen,gasStorage,none,none,67819.52138246644
none,2050,2050 < d011,DE,gas < hydrogen,gasStorage,none,none,65626.67577200707
none,2050,2050 < d012,DE,gas < hydrogen,gasStorage,none,none,64352.72971714521
none,2050,2050 < d013,DE,gas < hydrogen,gasStorage,none,none,63191.303028603
none,2050,2050 < d014,DE,gas < hydrogen,gasStorage,none,none,61173.91320732084
none,2050,2050 < d015,DE,gas < hydrogen,gasStorage,none,none,58902.91573863655
none,2050,2050 < d016,DE,gas < hydrogen,gasStorage,none,none,56849.778392542015
none,2050,2050 < d017,DE,gas < hydrogen,gasStorage,none,none,54578.771924142035
none,2050,2050 < d018,DE,gas < hydrogen,gasStorage,none,none,52307.77311890028
none,2050,2050 < d019,DE,gas < hydrogen,gasStorage,none,none,50036.76269574681
none,2050,2050 < d020,DE,gas < hydrogen,gasStorage,none,none,47765.76521386778
none,2050,2050 < d021,DE,gas < hydrogen,gasStorage,none,none,45494.7544519501
none,2050,2050 < d022,DE,gas < hydrogen,gasStorage,none,none,43617.156284400575
none,2050,2050 < d023,DE,gas < hydrogen,gasStorage,none,none,41346.15472096875
none,2050,2050 < d024,DE,gas < hydrogen,gasStorage,none,none,39215.58028896194
none,2050,2050 < d025,DE,gas < hydrogen,gasStorage,none,none,37779.184854462605
none,2050,2050 < d026,DE,gas < hydrogen,gasStorage,none,none,37028.70587599736
none,2050,2050 < d027,DE,gas < hydrogen,gasStorage,none,none,36703.96935721539
none,2050,2050 < d028,DE,gas < hydrogen,gasStorage,none,none,35887.798239779746
none,2050,2050 < d029,DE,gas < hydrogen,gasStorage,none,none,35647.96632208579
none,2050,2050 < d030,DE,gas < hydrogen,gasStorage,none,none,35389.515500200076
none,2050,2050 < d031,DE,gas < hydrogen,gasStorage,none,none,34676.43775162763
none,2050,2050 < d032,DE,gas < hydrogen,gasStorage,none,none,34289.365077311115
none,2050,2050 < d033,DE,gas < hydrogen,gasStorage,none,none,34291.89797898461
none,2050,2050 < d034,DE,gas < hydrogen,gasStorage,none,none,34114.75816743441
none,2050,2050 < d035,DE,gas < hydrogen,gasStorage,none,none,32888.72240508601
none,2050,2050 < d036,DE,gas < hydrogen,gasStorage,none,none,31505.882523650373
none,2050,2050 < d037,DE,gas < hydrogen,gasStorage,none,none,31505.882255954086
none,2050,2050 < d038,DE,gas < hydrogen,gasStorage,none,none,31161.077342261444
none,2050,2050 < d039,DE,gas < hydrogen,gasStorage,none,none,31289.397676134577
none,2050,2050 < d040,DE,gas < hydrogen,gasStorage,none,none,31289.395985310523
none,2050,2050 < d041,DE,gas < hydrogen,gasStorage,none,none,30766.84044798082
none,2050,2050 < d042,DE,gas < hydrogen,gasStorage,none,none,30026.869445179684
none,2050,2050 < d043,DE,gas < hydrogen,gasStorage,none,none,28347.908595835936
none,2050,2050 < d044,DE,gas < hydrogen,gasStorage,none,none,27226.506952346477
none,2050,2050 < d045,DE,gas < hydrogen,gasStorage,none,none,25747.180489941242
none,2050,2050 < d046,DE,gas < hydrogen,gasStorage,none,none,24205.738599124492
none,2050,2050 < d047,DE,gas < hydrogen,gasStorage,none,none,23762.65415450924
none,2050,2050 < d048,DE,gas < hydrogen,gasStorage,none,none,22925.757657841295
none,2050,2050 < d049,DE,gas < hydrogen,gasStorage,none,none,21151.624649492827
none,2050,2050 < d050,DE,gas < hydrogen,gasStorage,none,none,19045.479899738086
none,2050,2050 < d051,DE,gas < hydrogen,gasStorage,none,none,18464.27247219718
none,2050,2050 < d052,DE,gas < hydrogen,gasStorage,none,none,18460.470209871328
none,2050,2050 < d053,DE,gas < hydrogen,gasStorage,none,none,18328.815085392926
none,2050,2050 < d054,DE,gas < hydrogen,gasStorage,none,none,17303.101723200936
none,2050,2050 < d055,DE,gas < hydrogen,gasStorage,none,none,16262.070876616248
none,2050,2050 < d056,DE,gas < hydrogen,gasStorage,none,none,14655.768997896912
none,2050,2050 < d057,DE,gas < hydrogen,gasStorage,none,none,13076.990468779017
none,2050,2050 < d058,DE,gas < hydrogen,gasStorage,none,none,12674.738128883155
none,2050,2050 < d059,DE,gas < hydrogen,gasStorage,none,none,12410.715371772476
none,2050,2050 < d060,DE,gas < hydrogen,gasStorage,none,none,11659.879441207526
none,2050,2050 < d061,DE,gas < hydrogen,gasStorage,none,none,10972.736717859863
none,2050,2050 < d062,DE,gas < hydrogen,gasStorage,none,none,9917.817725396775
none,2050,2050 < d063,DE,gas < hydrogen,gasStorage,none,none,9031.131352742488
none,2050,2050 < d064,DE,gas < hydrogen,gasStorage,none,none,6950.0925299160845
none,2050,2050 < d065,DE,gas < hydrogen,gasStorage,none,none,5375.649685393738
none,2050,2050 < d066,DE,gas < hydrogen,gasStorage,none,none,3216.0631727104355
none,2050,2050 < d067,DE,gas < hydrogen,gasStorage,none,none,1677.9695105278886
none,2050,2050 < d068,DE,gas < hydrogen,gasStorage,none,none,1691.0667520668728
none,2050,2050 < d069,DE,gas < hydrogen,gasStorage,none,none,1635.3952809298821
none,2050,2050 < d070,DE,gas < hydrogen,gasStorage,none,none,1633.287336246787
none,2050,2050 < d071,DE,gas < hydrogen,gasStorage,none,none,1501.2023465628113
none,2050,2050 < d072,DE,gas < hydrogen,gasStorage,none,none,1901.3763942903106
none,2050,2050 < d073,DE,gas < hydrogen,gasStorage,none,none,1997.3779275550494
none,2050,2050 < d074,DE,gas < hydrogen,gasStorage,none,none,840.0438552968164
none,2050,2050 < d075,DE,gas < hydrogen,gasStorage,none,none,1390.527400353822
none,2050,2050 < d076,DE,gas < hydrogen,gasStorage,none,none,1514.0885636715648
none,2050,2050 < d077,DE,gas < hydrogen,gasStorage,none,none,1214.9561812211384
none,2050,2050 < d078,DE,gas < hydrogen,gasStorage,none,none,669.6484160851297
none,2050,2050 < d079,DE,gas < hydrogen,gasStorage,none,none,702.6363157685704
none,2050,2050 < d080,DE,gas < hydrogen,gasStorage,none,none,734.8973667937089
none,2050,2050 < d081,DE,gas < hydrogen,gasStorage,none,none,734.897197871474
none,2050,2050 < d082,DE,gas < hydrogen,gasStorage,none,none,1062.5834744606905
none,2050,2050 < d083,DE,gas < hydrogen,gasStorage,none,none,1062.584757929409
none,2050,2050 < d084,DE,gas < hydrogen,gasStorage,none,none,2.7161002392302936e-10
none,2050,2050 < d085,DE,gas < hydrogen,gasStorage,none,none,1.9867464676411044
none,2050,2050 < d086,DE,gas < hydrogen,gasStorage,none,none,184.10444749231885
none,2050,2050 < d087,DE,gas < hydrogen,gasStorage,none,none,387.6129007552006
none,2050,2050 < d088,DE,gas < hydrogen,gasStorage,none,none,898.2917453955537
none,2050,2050 < d089,DE,gas < hydrogen,gasStorage,none,none,807.4606267468816
none,2050,2050 < d090,DE,gas < hydrogen,gasStorage,none,none,807.4612478696222
none,2050,2050 < d091,DE,gas < hydrogen,gasStorage,none,none,1470.6665747031939
none,2050,2050 < d092,DE,gas < hydrogen,gasStorage,none,none,2505.1293270255383
none,2050,2050 < d093,DE,gas < hydrogen,gasStorage,none,none,2734.990953264147
none,2050,2050 < d094,DE,gas < hydrogen,gasStorage,none,none,3182.0425875030246
none,2050,2050 < d095,DE,gas < hydrogen,gasStorage,none,none,3333.9059456430255
none,2050,2050 < d096,DE,gas < hydrogen,gasStorage,none,none,4831.671607145821
none,2050,2050 < d097,DE,gas < hydrogen,gasStorage,none,none,6652.705614255527
none,2050,2050 < d098,DE,gas < hydrogen,gasStorage,none,none,7473.587823516241
none,2050,2050 < d099,DE,gas < hydrogen,gasStorage,none,none,8027.85865571838
none,2050,2050 < d100,DE,gas < hydrogen,gasStorage,none,none,9061.76513445768
none,2050,2050 < d101,DE,gas < hydrogen,gasStorage,none,none,10421.782788095385
none,2050,2050 < d102,DE,gas < hydrogen,gasStorage,none,none,10547.460096845034
none,2050,2050 < d103,DE,gas < hydrogen,gasStorage,none,none,10530.567062790113
none,2050,2050 < d104,DE,gas < hydrogen,gasStorage,none,none,11231.438556127423
none,2050,2050 < d105,DE,gas < hydrogen,gasStorage,none,none,11913.527668886456
none,2050,2050 < d106,DE,gas < hydrogen,gasStorage,none,none,13073.408118744603
none,2050,2050 < d107,DE,gas < hydrogen,gasStorage,none,none,13969.294098136446
none,2050,2050 < d108,DE,gas < hydrogen,gasStorage,none,none,15534.174372176536
none,2050,2050 < d109,DE,gas < hydrogen,gasStorage,none,none,17500.681894647358
none,2050,2050 < d110,DE,gas < hydrogen,gasStorage,none,none,19368.3961061849
none,2050,2050 < d111,DE,gas < hydrogen,gasStorage,none,none,21068.632466129795
none,2050,2050 < d112,DE,gas < hydrogen,gasStorage,none,none,22034.01490536711
none,2050,2050 < d113,DE,gas < hydrogen,gasStorage,none,none,22984.89455863169
none,2050,2050 < d114,DE,gas < hydrogen,gasStorage,none,none,23784.49424303481
none,2050,2050 < d115,DE,gas < hydrogen,gasStorage,none,none,24655.036999471235
none,2050,2050 < d116,DE,gas < hydrogen,gasStorage,none,none,25678.540015804487
none,2050,2050 < d117,DE,gas < hydrogen,gasStorage,none,none,26935.55105553186
none,2050,2050 < d118,DE,gas < hydrogen,gasStorage,none,none,27989.87054714063
