errStatus,section,location,message
green,carrier mapping,,carrier 'electricity' inherited resolution from children
green,carrier mapping,,carrier 'gas' inherited resolution from children
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'grid' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'home' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'pumpedHydro' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'caes' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'biomassPlant' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'ror' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'rooftop_a' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'rooftop_b' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'rooftop_c' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'openspace_a' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'openspace_b' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'offshore_a' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'offshore_b' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'offshore_c' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'onshore_a' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'onshore_b' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'electrolysis' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'ocgtHydrogen' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'electricMobility' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'electricResidentalHeating' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'electricIndustryHeating' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'methanation' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'fermenter' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'gasPlant' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'gasStorage' is equal to default value obtained from carriers
green,parameter read-in,validity check,non-unique entries discovered for 'capaStOutResi'
green,parameter read-in,validity check,non-unique entries discovered for 'capaStSizeResi'
yellow,limit,expExc,"limits for variable provided, but none of these variables are actually created"
yellow,limit,capacity,"capacity limits were provided without specificing the superordinate dispatch timestep, this means the sum of capacity over all years was limited instead of enforcing the same limit for each year
																												(see https://leonardgoeke.github.io/AnyMOD.jl/stable/parameter_list/#Limits-on-quantities-dispatched)"
yellow,limit,capacity,"capacity limits were provided without specificing the superordinate dispatch timestep, this means the sum of capacity over all years was limited instead of enforcing the same limit for each year
																												(see https://leonardgoeke.github.io/AnyMOD.jl/stable/parameter_list/#Limits-on-quantities-dispatched)"
yellow,limit,capacity,"capacity limits were provided without specificing the superordinate dispatch timestep, this means the sum of capacity over all years was limited instead of enforcing the same limit for each year
																												(see https://leonardgoeke.github.io/AnyMOD.jl/stable/parameter_list/#Limits-on-quantities-dispatched)"
yellow,limit,capacity,"capacity limits were provided without specificing the superordinate dispatch timestep, this means the sum of capacity over all years was limited instead of enforcing the same limit for each year
																												(see https://leonardgoeke.github.io/AnyMOD.jl/stable/parameter_list/#Limits-on-quantities-dispatched)"
