timestep_superordinate_dispatch,region,technology,carrier,variable,value
2050,DE,gasStorage,none,costOprStSize,493.94446440850413
2050,AT,gasStorage,none,costOprStSize,18.64698664598273
2050,BE,gasStorage,none,costOprStSize,43.13909467913834
2050,BG,gasStorage,none,costOprStSize,86.59129720729297
2050,CZ,gasStorage,none,costOprStSize,62.83596325033979
2050,DK,gasStorage,none,costOprStSize,21.19920938370228
2050,ES,gasStorage,none,costOprStSize,115.63205211781347
2050,FR,gasStorage,none,costOprStSize,647.0838967792566
2050,GR,gasStorage,none,costOprStSize,19.196335346838783
2050,HR,gasStorage,none,costOprStSize,16.417073891844133
2050,HU,gasStorage,none,costOprStSize,98.66862184771612
2050,IT,gasStorage,none,costOprStSize,381.65099207379376
2050,LV,gasStorage,none,costOprStSize,50.573964446745364
2050,NL,gasStorage,none,costOprStSize,97.68768510588724
2050,PL,gasStorage,none,costOprStSize,128.01078855457337
2050,PT,gasStorage,none,costOprStSize,17.751820889516598
2050,RO,gasStorage,none,costOprStSize,160.38988269707846
2050,SE,gasStorage,none,costOprStSize,0.482327126261108
2050,SK,gasStorage,none,costOprStSize,28.860006136775183
2050,TR,gasStorage,none,costOprStSize,483.3152917106606
2050,UK,gasStorage,none,costOprStSize,236.06917431248914
2050,AT,caes,none,costExpStSize,0.00018535213370146953
2050,AT,battery < grid,none,costExpStSize,0.7870493806789738
2050,BE,caes,none,costExpStSize,0.00019316093475063562
2050,BE,battery < grid,none,costExpStSize,57.49517309773181
2050,BG,caes,none,costExpStSize,0.00020200404448544792
2050,BG,battery < grid,none,costExpStSize,1.0539269191184477
2050,CH,caes,none,costExpStSize,0.0001906180996941516
2050,CH,battery < grid,none,costExpStSize,1138.089501759794
2050,CZ,caes,none,costExpStSize,0.00019457446730297562
2050,CZ,battery < grid,none,costExpStSize,135.62368209186934
2050,DE,caes,none,costExpStSize,0.00010024568860077033
2050,DE,battery < grid,none,costExpStSize,438.17741839469903
2050,DK,caes,none,costExpStSize,0.00019079882671638185
2050,DK,battery < grid,none,costExpStSize,0.2576577000161925
2050,EE,caes,none,costExpStSize,0.0001948739976284946
2050,EE,battery < grid,none,costExpStSize,0.22375346446772224
