timestep_superordinate_dispatch,region,technology,carrier,variable,value
2050,DE,gasStorage,none,costOprStSize,1359.7547503583467
2050,AT,gasStorage,none,costOprStSize,126.36541659853351
2050,BE,gasStorage,none,costOprStSize,44.758964202077316
2050,BG,gasStorage,none,costOprStSize,87.96352495531183
2050,CZ,gasStorage,none,costOprStSize,94.86104927523392
2050,DK,gasStorage,none,costOprStSize,51.45045742497465
2050,ES,gasStorage,none,costOprStSize,228.58120247378264
2050,FR,gasStorage,none,costOprStSize,682.2886589966603
2050,GR,gasStorage,none,costOprStSize,19.1963362052878
2050,HR,gasStorage,none,costOprStSize,31.898090156406973
2050,HU,gasStorage,none,costOprStSize,284.6774355842803
2050,IT,gasStorage,none,costOprStSize,863.1836985684657
2050,LV,gasStorage,none,costOprStSize,27.313531651698796
2050,NL,gasStorage,none,costOprStSize,634.1122029655576
2050,PL,gasStorage,none,costOprStSize,207.32754976944133
2050,PT,gasStorage,none,costOprStSize,17.75182498214172
2050,RO,gasStorage,none,costOprStSize,222.68481134693005
2050,SE,gasStorage,none,costOprStSize,0.48233246072783514
2050,SK,gasStorage,none,costOprStSize,86.44280254218063
2050,TR,gasStorage,none,costOprStSize,535.9547684197759
2050,UK,gasStorage,none,costOprStSize,300.2246324259049
2050,AT,caes,none,costExpStSize,2.9257085357879765e-6
2050,AT,battery < grid,none,costExpStSize,0.0034524769118529385
2050,BE,caes,none,costExpStSize,2.6983853377117363e-6
2050,BE,battery < grid,none,costExpStSize,456.5616073061803
2050,BG,caes,none,costExpStSize,2.759252283722018e-6
2050,BG,battery < grid,none,costExpStSize,420.4408490952081
2050,CH,caes,none,costExpStSize,2.908416139104011e-6
2050,CH,battery < grid,none,costExpStSize,1005.6736997901999
2050,CZ,caes,none,costExpStSize,2.670237439371374e-6
2050,CZ,battery < grid,none,costExpStSize,30.89250032062762
2050,DE,caes,none,costExpStSize,1.8673471698017722e-6
2050,DE,battery < grid,none,costExpStSize,5104.01021633868
2050,DK,caes,none,costExpStSize,2.681413016260873e-6
2050,DK,battery < grid,none,costExpStSize,0.0001340609346667522
2050,EE,caes,none,costExpStSize,2.8488836960177514e-6
2050,EE,battery < grid,none,costExpStSize,0.0010489459391727748
2050,ES,caes,none,costExpStSize,3.104109426850409e-6
2050,ES,battery < grid,none,costExpStSize,3718.4503718980823
2050,FI,caes,none,costExpStSize,2.8312538237758913e-6
2050,FI,battery < grid,none,costExpStSize,117.42014080726206
2050,FR,caes,none,costExpStSize,2.8152087561795453e-6
2050,FR,battery < grid,none,costExpStSize,523.9169957974004
2050,GR,caes,none,costExpStSize,3.062776939843554e-6
2050,GR,battery < grid,none,costExpStSize,1055.4289296843253
2050,HR,caes,none,costExpStSize,2.778247963999322e-6
2050,HR,battery < grid,none,costExpStSize,165.2485346530288
2050,HU,caes,none,costExpStSize,2.799204839621897e-6
2050,HU,battery < grid,none,costExpStSize,82.88314016286456
2050,IE,caes,none,costExpStSize,2.9310042038382116e-6
2050,IE,battery < grid,none,costExpStSize,346.8331086765067
2050,IT,caes,none,costExpStSize,2.7423101202004536e-6
2050,IT,battery < grid,none,costExpStSize,1906.073384421488
2050,LT,caes,none,costExpStSize,2.755262808210891e-6
2050,LT,battery < grid,none,costExpStSize,0.0003851520093740131
2050,LU,caes,none,costExpStSize,2.7191350296165534e-6
2050,LU,battery < grid,none,costExpStSize,0.0028395518182206523
2050,LV,caes,none,costExpStSize,2.7296432368790925e-6
2050,LV,battery < grid,none,costExpStSize,0.000939998474190486
2050,NL,caes,none,costExpStSize,2.943429316324071e-6
2050,NL,battery < grid,none,costExpStSize,464.06020707219204
2050,NO,caes,none,costExpStSize,2.338202281324228e-6
2050,NO,battery < grid,none,costExpStSize,7.911442459423981e-5
2050,NONEU_Balkan,caes,none,costExpStSize,3.0225102278045778e-6
2050,NONEU_Balkan,battery < grid,none,costExpStSize,654.2349705983265
