timestep_superordinate_dispatch,region,technology,carrier,variable,value
2050,DE,gasStorage,none,costOprStSize,1359.7537772781207
2050,AT,gasStorage,none,costOprStSize,116.19439620091292
2050,BE,gasStorage,none,costOprStSize,44.758941757399924
2050,BG,gasStorage,none,costOprStSize,87.96344843696446
2050,CZ,gasStorage,none,costOprStSize,81.76330852455592
2050,DK,gasStorage,none,costOprStSize,51.450414526313814
2050,ES,gasStorage,none,costOprStSize,228.3573759009823
2050,FR,gasStorage,none,costOprStSize,682.2886136451202
2050,GR,gasStorage,none,costOprStSize,19.19632589785444
2050,HR,gasStorage,none,costOprStSize,31.89805072221817
2050,HU,gasStorage,none,costOprStSize,292.6074926270556
2050,IT,gasStorage,none,costOprStSize,867.3472388445807
2050,LV,gasStorage,none,costOprStSize,33.67198814387038
2050,NL,gasStorage,none,costOprStSize,635.9717225154881
2050,PL,gasStorage,none,costOprStSize,196.42616978092985
2050,PT,gasStorage,none,costOprStSize,17.75181754180788
2050,RO,gasStorage,none,costOprStSize,228.06770823115835
2050,SE,gasStorage,none,costOprStSize,0.48232510764898445
2050,SK,gasStorage,none,costOprStSize,96.61847571439097
2050,TR,gasStorage,none,costOprStSize,457.9323542299491
2050,UK,gasStorage,none,costOprStSize,300.22461553576426
2050,AT,caes,none,costExpStSize,0.0002627443008537732
2050,AT,battery < home,none,costExpStSize,0.5671738685786551
2050,AT,battery < grid,none,costExpStSize,0.48514963176713594
2050,BE,caes,none,costExpStSize,0.00020731942687497203
2050,BE,battery < home,none,costExpStSize,233.81581046759746
2050,BE,battery < grid,none,costExpStSize,233.38704690634552
2050,BG,caes,none,costExpStSize,0.00020853631184817207
2050,BG,battery < home,none,costExpStSize,252.03792154527912
2050,BG,battery < grid,none,costExpStSize,225.15718435023425
2050,CH,caes,none,costExpStSize,0.00022146497971067136
2050,CH,battery < home,none,costExpStSize,712.2830330924043
2050,CH,battery < grid,none,costExpStSize,627.5252685526787
2050,CZ,caes,none,costExpStSize,0.0002050834259375482
2050,CZ,battery < home,none,costExpStSize,38.08460713485511
2050,CZ,battery < grid,none,costExpStSize,38.08325845491932
2050,DE,caes,none,costExpStSize,0.0002276036975950232
2050,DE,battery < home,none,costExpStSize,2936.6654966515352
2050,DE,battery < grid,none,costExpStSize,2075.8780898827235
2050,DK,caes,none,costExpStSize,0.0002505664508373123
2050,DK,battery < home,none,costExpStSize,0.028527444956972046
2050,DK,battery < grid,none,costExpStSize,0.021861447806028722
2050,EE,caes,none,costExpStSize,0.00026663953120161573
2050,EE,battery < home,none,costExpStSize,0.37915567227072955
2050,EE,battery < grid,none,costExpStSize,0.30768768932089013
2050,ES,caes,none,costExpStSize,0.00029781767043824976
2050,ES,battery < home,none,costExpStSize,1766.0162813226027
2050,ES,battery < grid,none,costExpStSize,1512.3178875402746
2050,FI,caes,none,costExpStSize,0.00030907158366249134
2050,FI,battery < home,none,costExpStSize,62.977452794121156
2050,FI,battery < grid,none,costExpStSize,62.4417279770984
2050,FR,caes,none,costExpStSize,0.00032088966968264477
2050,FR,battery < home,none,costExpStSize,371.9223373466275
2050,FR,battery < grid,none,costExpStSize,329.9932183321969
2050,GR,caes,none,costExpStSize,0.00028080303031293574
2050,GR,battery < home,none,costExpStSize,790.0398937709958
2050,GR,battery < grid,none,costExpStSize,710.4336427050457
2050,HR,caes,none,costExpStSize,0.00021348270613242887
2050,HR,battery < home,none,costExpStSize,88.31382347855057
2050,HR,battery < grid,none,costExpStSize,87.2441145691974
2050,HU,caes,none,costExpStSize,0.00021369295948874442
2050,HU,battery < home,none,costExpStSize,33.46744675544676
2050,HU,battery < grid,none,costExpStSize,33.32222129277034
2050,IE,caes,none,costExpStSize,0.0003195071560494404
2050,IE,battery < home,none,costExpStSize,178.894786626407
2050,IE,battery < grid,none,costExpStSize,177.69252694547322
2050,IT,caes,none,costExpStSize,0.0002113693999435786
2050,IT,battery < home,none,costExpStSize,1073.7580586635922
2050,IT,battery < grid,none,costExpStSize,931.0615174408877
2050,LT,caes,none,costExpStSize,0.00026601775318991133
2050,LT,battery < home,none,costExpStSize,0.11996587994348012
2050,LT,battery < grid,none,costExpStSize,0.09614951831957105
2050,LU,caes,none,costExpStSize,0.00020928728321797897
2050,LU,battery < home,none,costExpStSize,0.28686636253794845
2050,LU,battery < grid,none,costExpStSize,0.2687933048333608
2050,LV,caes,none,costExpStSize,0.00021329293399247284
2050,LV,battery < home,none,costExpStSize,1.843153330041553
2050,LV,battery < grid,none,costExpStSize,1.5171240452114982
2050,NL,caes,none,costExpStSize,0.00024401809174547068
2050,NL,battery < home,none,costExpStSize,230.51475363976581
2050,NL,battery < grid,none,costExpStSize,230.19890508516562
2050,NO,caes,none,costExpStSize,0.0001779582855024108
2050,NO,battery < home,none,costExpStSize,0.014598925741775553
2050,NO,battery < grid,none,costExpStSize,0.009519334769315702
2050,NONEU_Balkan,caes,none,costExpStSize,0.00027620985359615933
2050,NONEU_Balkan,battery < home,none,costExpStSize,635.0742177138711
2050,NONEU_Balkan,battery < grid,none,costExpStSize,577.4111291896054
2050,PL,caes,none,costExpStSize,0.0002812667474059967
2050,PL,battery < home,none,costExpStSize,192.9139559120936
2050,PL,battery < grid,none,costExpStSize,192.8637213661582
2050,PT,caes,none,costExpStSize,0.00028630115994630466
2050,PT,battery < home,none,costExpStSize,259.3987519695613
2050,PT,battery < grid,none,costExpStSize,218.47429733052982
2050,RO,caes,none,costExpStSize,0.00021564112203933792
2050,RO,battery < home,none,costExpStSize,562.8804288771124
2050,RO,battery < grid,none,costExpStSize,512.2938105077458
2050,SE,caes,none,costExpStSize,0.000263713964976949
2050,SE,battery < home,none,costExpStSize,0.027135921172553513
2050,SE,battery < grid,none,costExpStSize,0.021390370125669352
2050,SI,caes,none,costExpStSize,0.00020844780331946155
2050,SI,battery < home,none,costExpStSize,21.3892644955615
2050,SI,battery < grid,none,costExpStSize,21.19515216106818
2050,SK,caes,none,costExpStSize,0.00019748142300073289
2050,SK,battery < home,none,costExpStSize,45.024261015862784
2050,SK,battery < grid,none,costExpStSize,40.93077038360347
2050,TR,caes,none,costExpStSize,0.000318144276865809
2050,TR,battery < home,none,costExpStSize,628.7141677539045
2050,TR,battery < grid,none,costExpStSize,590.0738662902132
2050,UK,caes,none,costExpStSize,0.00032182402265406554
2050,UK,battery < home,none,costExpStSize,363.44458651595767
2050,UK,battery < grid,none,costExpStSize,359.6456982100652
2050,AT,none,biomass,costTrdBuy,0.0
2050,BE,none,biomass,costTrdBuy,0.0
2050,BG,none,biomass,costTrdBuy,0.0
2050,CH,none,biomass,costTrdBuy,0.0
2050,CZ,none,biomass,costTrdBuy,0.0
2050,DE,none,biomass,costTrdBuy,0.0
2050,DK,none,biomass,costTrdBuy,0.0
2050,EE,none,biomass,costTrdBuy,0.0
2050,ES,none,biomass,costTrdBuy,0.0
2050,FI,none,biomass,costTrdBuy,0.0
2050,FR,none,biomass,costTrdBuy,0.0
2050,GR,none,biomass,costTrdBuy,0.0
2050,HR,none,biomass,costTrdBuy,0.0
2050,HU,none,biomass,costTrdBuy,0.0
2050,IE,none,biomass,costTrdBuy,0.0
2050,IT,none,biomass,costTrdBuy,0.0
2050,LT,none,biomass,costTrdBuy,0.0
2050,LU,none,biomass,costTrdBuy,0.0
2050,LV,none,biomass,costTrdBuy,0.0
2050,NL,none,biomass,costTrdBuy,0.0
2050,NO,none,biomass,costTrdBuy,0.0
2050,NONEU_Balkan,none,biomass,costTrdBuy,0.0
2050,PL,none,biomass,costTrdBuy,0.0
2050,PT,none,biomass,costTrdBuy,0.0
2050,RO,none,biomass,costTrdBuy,0.0
2050,SE,none,biomass,costTrdBuy,0.0
2050,SI,none,biomass,costTrdBuy,0.0
2050,SK,none,biomass,costTrdBuy,0.0
2050,TR,none,biomass,costTrdBuy,0.0
2050,UK,none,biomass,costTrdBuy,0.0
2050,AT,pumpedHydro,none,costOprStIn,1.5822800000000001
2050,AT,gasStorage,none,costOprStIn,31.519779090504425
2050,AT,caes,none,costOprStIn,0.0030316389144568537
2050,AT,battery < home,none,costOprStIn,0.028507918484585015
2050,AT,battery < grid,none,costOprStIn,0.024394044240930668
2050,BE,pumpedHydro,none,costOprStIn,0.322
2050,BE,gasStorage,none,costOprStIn,12.532256317284526
2050,BE,caes,none,costOprStIn,0.00239267788028111
2050,BE,battery < home,none,costOprStIn,11.748675091140607
2050,BE,battery < grid,none,costOprStIn,11.727126576279465
2050,BG,pumpedHydro,none,costOprStIn,0.26124
2050,BG,gasStorage,none,costOprStIn,25.99371686252888
2050,BG,caes,none,costOprStIn,0.0024061796362572292
2050,BG,battery < home,none,costOprStIn,12.664305757723834
2050,BG,battery < grid,none,costOprStIn,11.313603904491483
2050,CH,pumpedHydro,none,costOprStIn,1.1494000000000002
2050,CH,caes,none,costOprStIn,0.002555332696505724
2050,CH,battery < home,none,costOprStIn,35.79045957915948
2050,CH,battery < grid,none,costOprStIn,31.53159215806976
2050,CZ,pumpedHydro,none,costOprStIn,0.28
2050,CZ,gasStorage,none,costOprStIn,27.3835367925786
