timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,AT,CH,electricity < electricity_central,expExc,6.42386162094756e-8
2050,AT,CZ,electricity < electricity_central,expExc,8.783219839563179e-10
2050,AT,DE,electricity < electricity_central,expExc,1.1438479420555144e-7
2050,AT,HU,electricity < electricity_central,expExc,1.4103116685616331e-8
2050,AT,IT,electricity < electricity_central,expExc,5.136315074654623e-8
2050,AT,SI,electricity < electricity_central,expExc,8.354748620460096
2050,AT,SK,electricity < electricity_central,expExc,5.36168176547014e-6
2050,BE,DE,electricity < electricity_central,expExc,1.6151094193390332
2050,BE,FR,electricity < electricity_central,expExc,7.848888492007477e-10
2050,BE,LU,electricity < electricity_central,expExc,12.186153606038898
2050,BE,NL,electricity < electricity_central,expExc,0.6271623783928735
2050,BE,NO,electricity < electricity_central,expExc,0.05613329897666056
2050,BE,UK,electricity < electricity_central,expExc,3.9999912457669318
2050,BG,GR,electricity < electricity_central,expExc,2.3893226412160287e-8
2050,BG,NONEU_Balkan,electricity < electricity_central,expExc,4.683014067999616
2050,BG,RO,electricity < electricity_central,expExc,19.044173194327463
2050,BG,TR,electricity < electricity_central,expExc,29.29982010808352
2050,CH,DE,electricity < electricity_central,expExc,3.311639459638037e-7
2050,CH,FR,electricity < electricity_central,expExc,26.84999984873468
2050,CH,IT,electricity < electricity_central,expExc,1.0749474484157458e-7
2050,CZ,DE,electricity < electricity_central,expExc,15.971681887034464
2050,CZ,PL,electricity < electricity_central,expExc,1.5194757893456815e-7
2050,CZ,SK,electricity < electricity_central,expExc,13.435568440324793
2050,DE,DK,electricity < electricity_central,expExc,1.3568430400472419e-8
2050,DE,FR,electricity < electricity_central,expExc,27.69999998291538
2050,DE,LU,electricity < electricity_central,expExc,27.699999946586836
2050,DE,NL,electricity < electricity_central,expExc,25.749999988107678
2050,DE,NO,electricity < electricity_central,expExc,1.3076839218428866e-8
2050,DE,PL,electricity < electricity_central,expExc,25.49999999302606
2050,DE,SE,electricity < electricity_central,expExc,4.38499998787398
2050,DE,UK,electricity < electricity_central,expExc,1.4864090003971163e-6
2050,DK,NL,electricity < electricity_central,expExc,5.816414306735665e-8
2050,DK,NO,electricity < electricity_central,expExc,6.689269233554377e-8
2050,DK,PL,electricity < electricity_central,expExc,4.527643498375963e-6
2050,DK,SE,electricity < electricity_central,expExc,1.3475800790324732
2050,DK,UK,electricity < electricity_central,expExc,5.459896446379319e-6
2050,EE,FI,electricity < electricity_central,expExc,1.1121484744700647
2050,EE,LV,electricity < electricity_central,expExc,0.9620121851312141
2050,EE,SE,electricity < electricity_central,expExc,6.391360206843826e-6
2050,ES,FR,electricity < electricity_central,expExc,24.99999998876351
2050,ES,IT,electricity < electricity_central,expExc,1.9007013110523082e-6
2050,ES,PT,electricity < electricity_central,expExc,1.512446584616981
2050,ES,UK,electricity < electricity_central,expExc,2.645494141623347e-6
2050,FI,NO,electricity < electricity_central,expExc,5.048892908989799e-6
2050,FI,SE,electricity < electricity_central,expExc,2.394639874405069
2050,FR,IT,electricity < electricity_central,expExc,6.201244706680208e-9
2050,FR,LU,electricity < electricity_central,expExc,15.402226097927095
2050,FR,UK,electricity < electricity_central,expExc,2.9999999659559884
2050,GR,IT,electricity < electricity_central,expExc,6.85633419009963e-9
2050,GR,NONEU_Balkan,electricity < electricity_central,expExc,27.702405010832226
2050,GR,TR,electricity < electricity_central,expExc,13.712698365195767
2050,HR,HU,electricity < electricity_central,expExc,6.301066110239553e-8
2050,HR,IT,electricity < electricity_central,expExc,2.4803327204000207
2050,HR,NONEU_Balkan,electricity < electricity_central,expExc,0.42290273081569885
2050,HR,SI,electricity < electricity_central,expExc,7.817373311621814e-8
2050,HU,NONEU_Balkan,electricity < electricity_central,expExc,29.399992476600545
2050,HU,RO,electricity < electricity_central,expExc,10.42424957684159
2050,HU,SI,electricity < electricity_central,expExc,6.4485882658981195
2050,HU,SK,electricity < electricity_central,expExc,20.697089900934845
2050,IE,UK,electricity < electricity_central,expExc,13.6303151424903
2050,IT,NONEU_Balkan,electricity < electricity_central,expExc,3.3426560133779877e-7
2050,IT,SI,electricity < electricity_central,expExc,1.5925568080551256
2050,LT,LV,electricity < electricity_central,expExc,1.8062087539540819
2050,LT,PL,electricity < electricity_central,expExc,3.2797981514599774
2050,LT,SE,electricity < electricity_central,expExc,1.2089971651178398e-7
2050,LV,SE,electricity < electricity_central,expExc,5.217121907425696e-6
2050,NL,NO,electricity < electricity_central,expExc,1.0106640737229447e-7
2050,NL,UK,electricity < electricity_central,expExc,12.03018917665975
2050,NO,SE,electricity < electricity_central,expExc,24.162026548105487
2050,NO,UK,electricity < electricity_central,expExc,4.67327421934585
2050,NONEU_Balkan,RO,electricity < electricity_central,expExc,2.0173903561667294e-7
2050,PL,SE,electricity < electricity_central,expExc,0.8740314998364243
2050,PL,SK,electricity < electricity_central,expExc,7.1780354978177865
2050,RO,TR,electricity < electricity_central,expExc,9.132300867282268e-6
2050,CH,AT,electricity < electricity_central,expExc,6.42386162094756e-8
2050,CZ,AT,electricity < electricity_central,expExc,8.783219839563179e-10
2050,DE,AT,electricity < electricity_central,expExc,1.1438479420555144e-7
2050,HU,AT,electricity < electricity_central,expExc,1.4103116685616331e-8
2050,IT,AT,electricity < electricity_central,expExc,5.136315074654623e-8
2050,SI,AT,electricity < electricity_central,expExc,8.354748620460096
2050,SK,AT,electricity < electricity_central,expExc,5.36168176547014e-6
2050,DE,BE,electricity < electricity_central,expExc,1.6151094193390332
2050,FR,BE,electricity < electricity_central,expExc,7.848888492007477e-10
2050,LU,BE,electricity < electricity_central,expExc,12.186153606038898
2050,NL,BE,electricity < electricity_central,expExc,0.6271623783928735
2050,NO,BE,electricity < electricity_central,expExc,0.05613329897666056
2050,UK,BE,electricity < electricity_central,expExc,3.9999912457669318
2050,GR,BG,electricity < electricity_central,expExc,2.3893226412160287e-8
2050,NONEU_Balkan,BG,electricity < electricity_central,expExc,4.683014067999616
2050,RO,BG,electricity < electricity_central,expExc,19.044173194327463
2050,TR,BG,electricity < electricity_central,expExc,29.29982010808352
2050,DE,CH,electricity < electricity_central,expExc,3.311639459638037e-7
2050,FR,CH,electricity < electricity_central,expExc,26.84999984873468
2050,IT,CH,electricity < electricity_central,expExc,1.0749474484157458e-7
2050,DE,CZ,electricity < electricity_central,expExc,15.971681887034464
2050,PL,CZ,electricity < electricity_central,expExc,1.5194757893456815e-7
2050,SK,CZ,electricity < electricity_central,expExc,13.435568440324793
2050,DK,DE,electricity < electricity_central,expExc,1.3568430400472419e-8
2050,FR,DE,electricity < electricity_central,expExc,27.69999998291538
2050,LU,DE,electricity < electricity_central,expExc,27.699999946586836
2050,NL,DE,electricity < electricity_central,expExc,25.749999988107678
2050,NO,DE,electricity < electricity_central,expExc,1.3076839218428866e-8
2050,PL,DE,electricity < electricity_central,expExc,25.49999999302606
2050,SE,DE,electricity < electricity_central,expExc,4.38499998787398
2050,UK,DE,electricity < electricity_central,expExc,1.4864090003971163e-6
2050,NL,DK,electricity < electricity_central,expExc,5.816414306735665e-8
2050,NO,DK,electricity < electricity_central,expExc,6.689269233554377e-8
2050,PL,DK,electricity < electricity_central,expExc,4.527643498375963e-6
2050,SE,DK,electricity < electricity_central,expExc,1.3475800790324732
2050,UK,DK,electricity < electricity_central,expExc,5.459896446379319e-6
2050,FI,EE,electricity < electricity_central,expExc,1.1121484744700647
2050,LV,EE,electricity < electricity_central,expExc,0.9620121851312141
2050,SE,EE,electricity < electricity_central,expExc,6.391360206843826e-6
2050,FR,ES,electricity < electricity_central,expExc,24.99999998876351
2050,IT,ES,electricity < electricity_central,expExc,1.9007013110523082e-6
2050,PT,ES,electricity < electricity_central,expExc,1.512446584616981
2050,UK,ES,electricity < electricity_central,expExc,2.645494141623347e-6
2050,NO,FI,electricity < electricity_central,expExc,5.048892908989799e-6
2050,SE,FI,electricity < electricity_central,expExc,2.394639874405069
2050,IT,FR,electricity < electricity_central,expExc,6.201244706680208e-9
2050,LU,FR,electricity < electricity_central,expExc,15.402226097927095
2050,UK,FR,electricity < electricity_central,expExc,2.9999999659559884
2050,IT,GR,electricity < electricity_central,expExc,6.85633419009963e-9
2050,NONEU_Balkan,GR,electricity < electricity_central,expExc,27.702405010832226
2050,TR,GR,electricity < electricity_central,expExc,13.712698365195767
2050,HU,HR,electricity < electricity_central,expExc,6.301066110239553e-8
2050,IT,HR,electricity < electricity_central,expExc,2.4803327204000207
2050,NONEU_Balkan,HR,electricity < electricity_central,expExc,0.42290273081569885
2050,SI,HR,electricity < electricity_central,expExc,7.817373311621814e-8
2050,NONEU_Balkan,HU,electricity < electricity_central,expExc,29.399992476600545
2050,RO,HU,electricity < electricity_central,expExc,10.42424957684159
2050,SI,HU,electricity < electricity_central,expExc,6.4485882658981195
2050,SK,HU,electricity < electricity_central,expExc,20.697089900934845
2050,UK,IE,electricity < electricity_central,expExc,13.6303151424903
2050,NONEU_Balkan,IT,electricity < electricity_central,expExc,3.3426560133779877e-7
2050,SI,IT,electricity < electricity_central,expExc,1.5925568080551256
2050,LV,LT,electricity < electricity_central,expExc,1.8062087539540819
2050,PL,LT,electricity < electricity_central,expExc,3.2797981514599774
2050,SE,LT,electricity < electricity_central,expExc,1.2089971651178398e-7
2050,SE,LV,electricity < electricity_central,expExc,5.217121907425696e-6
2050,NO,NL,electricity < electricity_central,expExc,1.0106640737229447e-7
2050,UK,NL,electricity < electricity_central,expExc,12.03018917665975
2050,SE,NO,electricity < electricity_central,expExc,24.162026548105487
2050,UK,NO,electricity < electricity_central,expExc,4.67327421934585
2050,RO,NONEU_Balkan,electricity < electricity_central,expExc,2.0173903561667294e-7
2050,SE,PL,electricity < electricity_central,expExc,0.8740314998364243
2050,SK,PL,electricity < electricity_central,expExc,7.1780354978177865
2050,TR,RO,electricity < electricity_central,expExc,9.132300867282268e-6
2050,AT,CH,electricity < electricity_central,capaExc,1.2000000642386162
2050,AT,CZ,electricity < electricity_central,capaExc,0.900000000878322
2050,AT,DE,electricity < electricity_central,capaExc,9.000000114384795
2050,AT,HU,electricity < electricity_central,capaExc,0.8000000141031167
2050,AT,IT,electricity < electricity_central,capaExc,0.7050000513631507
2050,AT,SI,electricity < electricity_central,capaExc,9.394748620460096
2050,AT,SK,electricity < electricity_central,capaExc,5.36168176547014e-6
2050,BE,DE,electricity < electricity_central,capaExc,3.615109419339033
