timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,AT,CH,electricity < electricity_central,expExc,1.56469585873423e-6
2050,AT,CZ,electricity < electricity_central,expExc,3.148979164107757e-6
2050,AT,DE,electricity < electricity_central,expExc,3.088264837131035e-8
2050,AT,HU,electricity < electricity_central,expExc,8.019718257315216e-5
2050,AT,IT,electricity < electricity_central,expExc,3.600853989926131e-5
2050,AT,SI,electricity < electricity_central,expExc,8.5426950834809
2050,AT,SK,electricity < electricity_central,expExc,0.0007722421513006982
2050,BE,DE,electricity < electricity_central,expExc,3.984351182180685e-5
2050,BE,FR,electricity < electricity_central,expExc,3.3263034904816955
2050,BE,LU,electricity < electricity_central,expExc,2.7110967203438925
2050,BE,NL,electricity < electricity_central,expExc,0.17769523649304358
2050,BE,NO,electricity < electricity_central,expExc,4.999989662120316
2050,BE,UK,electricity < electricity_central,expExc,3.9999625190002153
2050,BG,GR,electricity < electricity_central,expExc,2.983086801689377
2050,BG,NONEU_Balkan,electricity < electricity_central,expExc,0.02994262663321895
2050,BG,RO,electricity < electricity_central,expExc,13.300952328555717
2050,BG,TR,electricity < electricity_central,expExc,25.871143445276385
2050,CH,DE,electricity < electricity_central,expExc,4.1210793268886137e-7
2050,CH,FR,electricity < electricity_central,expExc,4.537307683934132
2050,CH,IT,electricity < electricity_central,expExc,1.7101104600327503e-6
2050,CZ,DE,electricity < electricity_central,expExc,6.766941072720087
2050,CZ,PL,electricity < electricity_central,expExc,6.081005422827406e-6
2050,CZ,SK,electricity < electricity_central,expExc,11.434032827169975
2050,DE,DK,electricity < electricity_central,expExc,2.640596922896587e-6
2050,DE,FR,electricity < electricity_central,expExc,27.699972252556112
2050,DE,LU,electricity < electricity_central,expExc,6.693166654345229
2050,DE,NL,electricity < electricity_central,expExc,25.74982019963508
2050,DE,NO,electricity < electricity_central,expExc,1.710317551675963e-6
2050,DE,PL,electricity < electricity_central,expExc,9.382937704972484
2050,DE,SE,electricity < electricity_central,expExc,4.3451087569831675
2050,DE,UK,electricity < electricity_central,expExc,8.895414563292043e-5
2050,DK,NL,electricity < electricity_central,expExc,5.920939181465177
2050,DK,NO,electricity < electricity_central,expExc,4.059218967347567e-6
2050,DK,PL,electricity < electricity_central,expExc,2.9363699791219435
2050,DK,SE,electricity < electricity_central,expExc,5.373645755797564e-6
2050,DK,UK,electricity < electricity_central,expExc,4.135147166481615
2050,EE,FI,electricity < electricity_central,expExc,2.8776003698452413
2050,EE,LV,electricity < electricity_central,expExc,10.949183270441743
2050,EE,SE,electricity < electricity_central,expExc,0.00016599081838786025
2050,ES,FR,electricity < electricity_central,expExc,24.99998475072099
2050,ES,IT,electricity < electricity_central,expExc,0.0001846268317034225
2050,ES,PT,electricity < electricity_central,expExc,3.0691738052398785
2050,ES,UK,electricity < electricity_central,expExc,0.0007140844233393724
2050,FI,NO,electricity < electricity_central,expExc,0.0003400628726390537
2050,FI,SE,electricity < electricity_central,expExc,5.777926157477527
2050,FR,IT,electricity < electricity_central,expExc,1.0768938885754147e-5
2050,FR,LU,electricity < electricity_central,expExc,4.697435612881983
2050,FR,UK,electricity < electricity_central,expExc,2.9999885364146217
2050,GR,IT,electricity < electricity_central,expExc,0.4047310070231299
2050,GR,NONEU_Balkan,electricity < electricity_central,expExc,18.410783048067366
2050,GR,TR,electricity < electricity_central,expExc,7.020093801465656
2050,HR,HU,electricity < electricity_central,expExc,2.673262551686503
2050,HR,IT,electricity < electricity_central,expExc,7.2279970925477866
2050,HR,NONEU_Balkan,electricity < electricity_central,expExc,2.5816577545508226
2050,HR,SI,electricity < electricity_central,expExc,0.5791840747446022
2050,HU,NONEU_Balkan,electricity < electricity_central,expExc,16.094462769981146
2050,HU,RO,electricity < electricity_central,expExc,14.874419030072072
2050,HU,SI,electricity < electricity_central,expExc,4.911305873924437
2050,HU,SK,electricity < electricity_central,expExc,22.54874352326805
2050,IE,UK,electricity < electricity_central,expExc,8.892843020053903
2050,IT,NONEU_Balkan,electricity < electricity_central,expExc,2.8868163585663693e-6
2050,IT,SI,electricity < electricity_central,expExc,1.4841182709178905e-5
2050,LT,LV,electricity < electricity_central,expExc,19.983700353877133
2050,LT,PL,electricity < electricity_central,expExc,19.335591324079758
2050,LT,SE,electricity < electricity_central,expExc,8.149279265965109e-6
2050,LV,SE,electricity < electricity_central,expExc,0.00018937900922423107
2050,NL,NO,electricity < electricity_central,expExc,4.299981976133501
2050,NL,UK,electricity < electricity_central,expExc,15.923896237827663
2050,NO,SE,electricity < electricity_central,expExc,24.943114839685258
2050,NO,UK,electricity < electricity_central,expExc,4.99998030680074
2050,NONEU_Balkan,RO,electricity < electricity_central,expExc,4.675714014538945e-5
2050,PL,SE,electricity < electricity_central,expExc,4.399961766527676
2050,PL,SK,electricity < electricity_central,expExc,4.827784227805976
2050,RO,TR,electricity < electricity_central,expExc,0.000725191626424065
2050,CH,AT,electricity < electricity_central,expExc,1.56469585873423e-6
2050,CZ,AT,electricity < electricity_central,expExc,3.148979164107757e-6
2050,DE,AT,electricity < electricity_central,expExc,3.088264837131035e-8
2050,HU,AT,electricity < electricity_central,expExc,8.019718257315216e-5
2050,IT,AT,electricity < electricity_central,expExc,3.600853989926131e-5
2050,SI,AT,electricity < electricity_central,expExc,8.5426950834809
2050,SK,AT,electricity < electricity_central,expExc,0.0007722421513006982
2050,DE,BE,electricity < electricity_central,expExc,3.984351182180685e-5
2050,FR,BE,electricity < electricity_central,expExc,3.3263034904816955
2050,LU,BE,electricity < electricity_central,expExc,2.7110967203438925
2050,NL,BE,electricity < electricity_central,expExc,0.17769523649304358
2050,NO,BE,electricity < electricity_central,expExc,4.999989662120316
2050,UK,BE,electricity < electricity_central,expExc,3.9999625190002153
2050,GR,BG,electricity < electricity_central,expExc,2.983086801689377
2050,NONEU_Balkan,BG,electricity < electricity_central,expExc,0.02994262663321895
2050,RO,BG,electricity < electricity_central,expExc,13.300952328555717
2050,TR,BG,electricity < electricity_central,expExc,25.871143445276385
2050,DE,CH,electricity < electricity_central,expExc,4.1210793268886137e-7
2050,FR,CH,electricity < electricity_central,expExc,4.537307683934132
2050,IT,CH,electricity < electricity_central,expExc,1.7101104600327503e-6
2050,DE,CZ,electricity < electricity_central,expExc,6.766941072720087
2050,PL,CZ,electricity < electricity_central,expExc,6.081005422827406e-6
2050,SK,CZ,electricity < electricity_central,expExc,11.434032827169975
2050,DK,DE,electricity < electricity_central,expExc,2.640596922896587e-6
2050,FR,DE,electricity < electricity_central,expExc,27.699972252556112
2050,LU,DE,electricity < electricity_central,expExc,6.693166654345229
2050,NL,DE,electricity < electricity_central,expExc,25.74982019963508
2050,NO,DE,electricity < electricity_central,expExc,1.710317551675963e-6
2050,PL,DE,electricity < electricity_central,expExc,9.382937704972484
2050,SE,DE,electricity < electricity_central,expExc,4.3451087569831675
2050,UK,DE,electricity < electricity_central,expExc,8.895414563292043e-5
2050,NL,DK,electricity < electricity_central,expExc,5.920939181465177
2050,NO,DK,electricity < electricity_central,expExc,4.059218967347567e-6
2050,PL,DK,electricity < electricity_central,expExc,2.9363699791219435
2050,SE,DK,electricity < electricity_central,expExc,5.373645755797564e-6
2050,UK,DK,electricity < electricity_central,expExc,4.135147166481615
2050,FI,EE,electricity < electricity_central,expExc,2.8776003698452413
2050,LV,EE,electricity < electricity_central,expExc,10.949183270441743
2050,SE,EE,electricity < electricity_central,expExc,0.00016599081838786025
2050,FR,ES,electricity < electricity_central,expExc,24.99998475072099
2050,IT,ES,electricity < electricity_central,expExc,0.0001846268317034225
2050,PT,ES,electricity < electricity_central,expExc,3.0691738052398785
2050,UK,ES,electricity < electricity_central,expExc,0.0007140844233393724
2050,NO,FI,electricity < electricity_central,expExc,0.0003400628726390537
2050,SE,FI,electricity < electricity_central,expExc,5.777926157477527
2050,IT,FR,electricity < electricity_central,expExc,1.0768938885754147e-5
2050,LU,FR,electricity < electricity_central,expExc,4.697435612881983
2050,UK,FR,electricity < electricity_central,expExc,2.9999885364146217
2050,IT,GR,electricity < electricity_central,expExc,0.4047310070231299
2050,NONEU_Balkan,GR,electricity < electricity_central,expExc,18.410783048067366
2050,TR,GR,electricity < electricity_central,expExc,7.020093801465656
2050,HU,HR,electricity < electricity_central,expExc,2.673262551686503
2050,IT,HR,electricity < electricity_central,expExc,7.2279970925477866
2050,NONEU_Balkan,HR,electricity < electricity_central,expExc,2.5816577545508226
2050,SI,HR,electricity < electricity_central,expExc,0.5791840747446022
2050,NONEU_Balkan,HU,electricity < electricity_central,expExc,16.094462769981146
2050,RO,HU,electricity < electricity_central,expExc,14.874419030072072
2050,SI,HU,electricity < electricity_central,expExc,4.911305873924437
2050,SK,HU,electricity < electricity_central,expExc,22.54874352326805
2050,UK,IE,electricity < electricity_central,expExc,8.892843020053903
2050,NONEU_Balkan,IT,electricity < electricity_central,expExc,2.8868163585663693e-6
2050,SI,IT,electricity < electricity_central,expExc,1.4841182709178905e-5
2050,LV,LT,electricity < electricity_central,expExc,19.983700353877133
2050,PL,LT,electricity < electricity_central,expExc,19.335591324079758
2050,SE,LT,electricity < electricity_central,expExc,8.149279265965109e-6
2050,SE,LV,electricity < electricity_central,expExc,0.00018937900922423107
2050,NO,NL,electricity < electricity_central,expExc,4.299981976133501
2050,UK,NL,electricity < electricity_central,expExc,15.923896237827663
2050,SE,NO,electricity < electricity_central,expExc,24.943114839685258
2050,UK,NO,electricity < electricity_central,expExc,4.99998030680074
2050,RO,NONEU_Balkan,electricity < electricity_central,expExc,4.675714014538945e-5
2050,SE,PL,electricity < electricity_central,expExc,4.399961766527676
2050,SK,PL,electricity < electricity_central,expExc,4.827784227805976
2050,TR,RO,electricity < electricity_central,expExc,0.000725191626424065
2050,AT,CH,electricity < electricity_central,capaExc,1.2000015646958586
2050,AT,CZ,electricity < electricity_central,capaExc,0.9000031489791641
2050,AT,DE,electricity < electricity_central,capaExc,9.000000030882648
2050,AT,HU,electricity < electricity_central,capaExc,0.8000801971825732
2050,AT,IT,electricity < electricity_central,capaExc,0.7050360085398992
2050,AT,SI,electricity < electricity_central,capaExc,9.582695083480903
2050,AT,SK,electricity < electricity_central,capaExc,0.0007722421513006981
2050,BE,DE,electricity < electricity_central,capaExc,2.000039843511822
2050,BE,FR,electricity < electricity_central,capaExc,6.626303490481695
2050,BE,LU,electricity < electricity_central,capaExc,3.391096720343892
2050,BE,NL,electricity < electricity_central,capaExc,4.077695236493043
2050,BE,NO,electricity < electricity_central,capaExc,4.999989662120316
2050,BE,UK,electricity < electricity_central,capaExc,4.999962519000215
2050,BG,GR,electricity < electricity_central,capaExc,4.383086801689377
2050,BG,NONEU_Balkan,electricity < electricity_central,capaExc,1.773942626633219
2050,BG,RO,electricity < electricity_central,capaExc,13.600952328555719
2050,BG,TR,electricity < electricity_central,capaExc,26.571143445276384
2050,CH,DE,electricity < electricity_central,capaExc,5.400000412107933
2050,CH,FR,electricity < electricity_central,capaExc,5.837307683934132
2050,CH,IT,electricity < electricity_central,capaExc,4.240001710110461
2050,CZ,DE,electricity < electricity_central,capaExc,9.366941072720087
2050,CZ,PL,electricity < electricity_central,capaExc,0.6000060810054229
2050,CZ,SK,electricity < electricity_central,capaExc,13.234032827169978
2050,DE,DK,electricity < electricity_central,capaExc,4.5000026405969225
2050,DE,FR,electricity < electricity_central,capaExc,29.99997225255611
2050,DE,LU,electricity < electricity_central,capaExc,8.99316665434523
2050,DE,NL,electricity < electricity_central,capaExc,29.99982019963508
2050,DE,NO,electricity < electricity_central,capaExc,1.4000017103175515
2050,DE,PL,electricity < electricity_central,capaExc,11.882937704972484
2050,DE,SE,electricity < electricity_central,capaExc,4.960108756983168
2050,DE,UK,electricity < electricity_central,capaExc,8.895414563292041e-5
2050,DK,NL,electricity < electricity_central,capaExc,6.620939181465177
2050,DK,NO,electricity < electricity_central,capaExc,1.6400040592189673
2050,DK,PL,electricity < electricity_central,capaExc,2.9363699791219435
2050,DK,SE,electricity < electricity_central,capaExc,2.440005373645756
2050,DK,UK,electricity < electricity_central,capaExc,4.135147166481615
2050,EE,FI,electricity < electricity_central,capaExc,3.8936003698452413
2050,EE,LV,electricity < electricity_central,capaExc,12.449183270441743
2050,EE,SE,electricity < electricity_central,capaExc,0.00016599081838786025
2050,ES,FR,electricity < electricity_central,capaExc,29.79998475072099
2050,ES,IT,electricity < electricity_central,capaExc,0.0001846268317034225
2050,ES,PT,electricity < electricity_central,capaExc,9.169173805239879
2050,ES,UK,electricity < electricity_central,capaExc,0.0007140844233393723
2050,FI,NO,electricity < electricity_central,capaExc,0.00034006287263905365
2050,FI,SE,electricity < electricity_central,capaExc,8.977926157477526
2050,FR,IT,electricity < electricity_central,capaExc,6.800010768938885
2050,FR,LU,electricity < electricity_central,capaExc,5.077435612881982
2050,FR,UK,electricity < electricity_central,capaExc,4.999988536414621
2050,GR,IT,electricity < electricity_central,capaExc,0.9047310070231299
2050,GR,NONEU_Balkan,electricity < electricity_central,capaExc,19.760783048067367
2050,GR,TR,electricity < electricity_central,capaExc,7.680093801465656
2050,HR,HU,electricity < electricity_central,capaExc,4.673262551686503
2050,HR,IT,electricity < electricity_central,capaExc,7.227997092547786
2050,HR,NONEU_Balkan,electricity < electricity_central,capaExc,3.8816577545508224
2050,HR,SI,electricity < electricity_central,capaExc,2.2191840747446023
2050,HU,NONEU_Balkan,electricity < electricity_central,capaExc,16.694462769981147
2050,HU,RO,electricity < electricity_central,capaExc,16.491419030072073
2050,HU,SI,electricity < electricity_central,capaExc,7.311305873924438
2050,HU,SK,electricity < electricity_central,capaExc,25.348743523268052
2050,IE,UK,electricity < electricity_central,capaExc,10.642843020053903
2050,IT,NONEU_Balkan,electricity < electricity_central,capaExc,0.8000028868163586
2050,IT,SI,electricity < electricity_central,capaExc,0.6800148411827093
2050,LT,LV,electricity < electricity_central,capaExc,21.183700353877132
2050,LT,PL,electricity < electricity_central,capaExc,20.335591324079758
2050,LT,SE,electricity < electricity_central,capaExc,0.7000081492792659
2050,LV,SE,electricity < electricity_central,capaExc,0.00018937900922423107
2050,NL,NO,electricity < electricity_central,capaExc,4.999981976133501
2050,NL,UK,electricity < electricity_central,capaExc,16.923896237827663
2050,NO,SE,electricity < electricity_central,capaExc,28.63811483968526
2050,NO,UK,electricity < electricity_central,capaExc,4.99998030680074
2050,NONEU_Balkan,RO,electricity < electricity_central,capaExc,0.8000467571401454
2050,PL,SE,electricity < electricity_central,capaExc,4.999961766527676
2050,PL,SK,electricity < electricity_central,capaExc,5.817784227805976
2050,RO,TR,electricity < electricity_central,capaExc,0.000725191626424065
2050,CH,AT,electricity < electricity_central,capaExc,1.2000015646958586
2050,CZ,AT,electricity < electricity_central,capaExc,0.8000031489791641
2050,DE,AT,electricity < electricity_central,capaExc,9.000000030882648
2050,HU,AT,electricity < electricity_central,capaExc,0.8000801971825732
