timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,AT,CH,electricity < electricity_central,expExc,0.3866519018161584
2050,AT,CZ,electricity < electricity_central,expExc,7.126887192359642e-6
2050,AT,DE,electricity < electricity_central,expExc,6.339962304350964e-6
2050,AT,HU,electricity < electricity_central,expExc,6.306452077252767e-8
2050,AT,IT,electricity < electricity_central,expExc,2.6699606505009453e-5
2050,AT,SI,electricity < electricity_central,expExc,8.5520889459686
2050,AT,SK,electricity < electricity_central,expExc,0.000717113085242563
2050,BE,DE,electricity < electricity_central,expExc,1.9297662578105072e-6
2050,BE,FR,electricity < electricity_central,expExc,3.645227080759033e-5
2050,BE,LU,electricity < electricity_central,expExc,12.146621222202638
2050,BE,NL,electricity < electricity_central,expExc,0.6995021954053016
2050,BE,NO,electricity < electricity_central,expExc,0.51275421401912
2050,BE,UK,electricity < electricity_central,expExc,3.0568823995854966
2050,BG,GR,electricity < electricity_central,expExc,3.1788485154603805
2050,BG,NONEU_Balkan,electricity < electricity_central,expExc,6.058921963415842
2050,BG,RO,electricity < electricity_central,expExc,8.854704645253932
2050,BG,TR,electricity < electricity_central,expExc,29.29983253707391
2050,CH,DE,electricity < electricity_central,expExc,6.580360591280925e-7
2050,CH,FR,electricity < electricity_central,expExc,26.849897138552883
2050,CH,IT,electricity < electricity_central,expExc,2.0771929193052982e-6
2050,CZ,DE,electricity < electricity_central,expExc,19.265080770016674
2050,CZ,PL,electricity < electricity_central,expExc,2.2589433561863552e-5
2050,CZ,SK,electricity < electricity_central,expExc,13.343159840987592
2050,DE,DK,electricity < electricity_central,expExc,5.5298077673418544e-5
2050,DE,FR,electricity < electricity_central,expExc,27.699945985832617
2050,DE,LU,electricity < electricity_central,expExc,27.699853721208953
2050,DE,NL,electricity < electricity_central,expExc,25.74994849433296
2050,DE,NO,electricity < electricity_central,expExc,3.926668936655771e-6
2050,DE,PL,electricity < electricity_central,expExc,25.49996659777511
2050,DE,SE,electricity < electricity_central,expExc,4.38496145724728
2050,DE,UK,electricity < electricity_central,expExc,0.0001744561837811161
2050,DK,NL,electricity < electricity_central,expExc,3.155176114643738e-5
2050,DK,NO,electricity < electricity_central,expExc,1.9100013055981555e-5
2050,DK,PL,electricity < electricity_central,expExc,0.000478717155884365
2050,DK,SE,electricity < electricity_central,expExc,2.0270515824090123
2050,DK,UK,electricity < electricity_central,expExc,0.0007033780422966709
2050,EE,FI,electricity < electricity_central,expExc,1.291038058933668
2050,EE,LV,electricity < electricity_central,expExc,0.7460591183105472
2050,EE,SE,electricity < electricity_central,expExc,0.0006905503980338711
2050,ES,FR,electricity < electricity_central,expExc,24.99989988490254
2050,ES,IT,electricity < electricity_central,expExc,0.00021394481012823127
2050,ES,PT,electricity < electricity_central,expExc,1.7711781618564153
2050,ES,UK,electricity < electricity_central,expExc,0.00025740060631302097
2050,FI,NO,electricity < electricity_central,expExc,0.000612225775637287
2050,FI,SE,electricity < electricity_central,expExc,2.837301918030852
2050,FR,IT,electricity < electricity_central,expExc,1.1711949942611906e-7
2050,FR,LU,electricity < electricity_central,expExc,15.543857792540159
2050,FR,UK,electricity < electricity_central,expExc,2.99991679752842
2050,GR,IT,electricity < electricity_central,expExc,4.499756325876602
2050,GR,NONEU_Balkan,electricity < electricity_central,expExc,28.64980354134598
2050,GR,TR,electricity < electricity_central,expExc,26.20160692656701
2050,HR,HU,electricity < electricity_central,expExc,1.9152992372753663e-5
2050,HR,IT,electricity < electricity_central,expExc,1.36231419652687
2050,HR,NONEU_Balkan,electricity < electricity_central,expExc,4.721826255587596e-5
2050,HR,SI,electricity < electricity_central,expExc,5.031502267705061e-5
2050,HU,NONEU_Balkan,electricity < electricity_central,expExc,24.262323280531234
2050,HU,RO,electricity < electricity_central,expExc,8.734584927809577
2050,HU,SI,electricity < electricity_central,expExc,6.065811284475356
2050,HU,SK,electricity < electricity_central,expExc,16.708213520239166
2050,IE,UK,electricity < electricity_central,expExc,13.49644084427081
2050,IT,NONEU_Balkan,electricity < electricity_central,expExc,0.00042708831521929994
2050,IT,SI,electricity < electricity_central,expExc,1.2176819424126015
2050,LT,LV,electricity < electricity_central,expExc,1.3306439746147933
2050,LT,PL,electricity < electricity_central,expExc,2.6064024446809197
2050,LT,SE,electricity < electricity_central,expExc,5.474110951996014e-6
2050,LV,SE,electricity < electricity_central,expExc,0.0008573447785391162
2050,NL,NO,electricity < electricity_central,expExc,0.3985282367726055
2050,NL,UK,electricity < electricity_central,expExc,12.632632214670032
2050,NO,SE,electricity < electricity_central,expExc,24.9791639138989
2050,NO,UK,electricity < electricity_central,expExc,4.99844291160128
2050,NONEU_Balkan,RO,electricity < electricity_central,expExc,9.756763442784584e-6
2050,PL,SE,electricity < electricity_central,expExc,2.158272275693971e-7
2050,PL,SK,electricity < electricity_central,expExc,4.25252625364873
2050,RO,TR,electricity < electricity_central,expExc,3.668530324689187
2050,CH,AT,electricity < electricity_central,expExc,0.3866519018161584
2050,CZ,AT,electricity < electricity_central,expExc,7.126887192359642e-6
2050,DE,AT,electricity < electricity_central,expExc,6.339962304350964e-6
2050,HU,AT,electricity < electricity_central,expExc,6.306452077252767e-8
2050,IT,AT,electricity < electricity_central,expExc,2.6699606505009453e-5
