errStatus,section,location,message
yellow,parameter read-in,conditionalData/fixEU_potentialBreyer_grid/par_fixExc.csv,values provided for undefined set 'DE (lvl 1) > DE (lvl 2)'
yellow,parameter read-in,conditionalData/fixEU_potentialBreyer_grid/par_fixExc.csv,values provided for undefined set 'DE (lvl 1) > DE (lvl 2)'
yellow,parameter read-in,conditionalData/fixEU_potentialBreyer_grid/par_fixExc.csv,values provided for undefined set 'DE (lvl 1) > DE (lvl 2)'
yellow,parameter read-in,conditionalData/fixEU_potentialBreyer_grid/par_fixExc.csv,values provided for undefined set 'DE (lvl 1) > DE (lvl 2)'
yellow,parameter read-in,conditionalData/fixEU_potentialBreyer_grid/par_fixExc.csv,values provided for undefined set 'DE (lvl 1) > DE (lvl 2)'
yellow,parameter read-in,conditionalData/fixEU_potentialBreyer_grid/par_fixExc.csv,values provided for undefined set 'DE (lvl 1) > DE (lvl 2)'
yellow,parameter read-in,conditionalData/fixEU_potentialBreyer_grid/par_fixExc.csv,values provided for undefined set 'DE (lvl 1) > DE (lvl 2)'
yellow,parameter read-in,conditionalData/fixEU_potentialBreyer_grid/par_fixExc.csv,values provided for undefined set 'DE (lvl 1) > DE (lvl 2)'
yellow,parameter read-in,conditionalData/fixEU_potentialBreyer_grid/par_fixExc.csv,values provided for undefined set 'DE (lvl 1) > DE (lvl 2)'
yellow,parameter read-in,conditionalData/fixEU_potentialBreyer_grid/par_fixExc.csv,values provided for undefined set 'DE (lvl 1) > DE (lvl 2)'
green,carrier mapping,,carrier 'electricity' inherited resolution from children
green,carrier mapping,,carrier 'gas' inherited resolution from children
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'grid' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'home' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'pumpedHydro' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'caes' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'biomassPlant' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'ror' was used instead of a carrier based value
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'rooftop_a' was used instead of a carrier based value
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'rooftop_b' was used instead of a carrier based value
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'rooftop_c' was used instead of a carrier based value
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'openspace_a' was used instead of a carrier based value
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'openspace_b' was used instead of a carrier based value
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'offshore_a' was used instead of a carrier based value
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'offshore_b' was used instead of a carrier based value
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'offshore_c' was used instead of a carrier based value
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'onshore_a' was used instead of a carrier based value
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'onshore_b' was used instead of a carrier based value
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'electrolysis' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'ocgtHydrogen' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'electricMobility' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'electricResidentalHeating' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'electricIndustryHeating' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'methanation' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'fermenter' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'gasPlant' is equal to default value obtained from carriers
green,technology mapping,expansion level,specific spatial expansion level provided for technology 'gasStorage' is equal to default value obtained from carriers
green,parameter read-in,validity check,non-unique entries discovered for 'capaStOutResi'
green,parameter read-in,validity check,non-unique entries discovered for 'capaStSizeResi'
green,parameter read-in,validity check,non-unique entries discovered for 'expExcFix'
green,parameter read-in,validity check,non-unique entries discovered for 'capaExcResiDir'
yellow,limit,expExc,"limits for variable provided, but none of these variables are actually created"
yellow,limit,capacity,"capacity limits were provided without specificing the superordinate dispatch timestep, this means the sum of capacity over all years was limited instead of enforcing the same limit for each year
																												(see https://leonardgoeke.github.io/AnyMOD.jl/stable/parameter_list/#Limits-on-quantities-dispatched)"
yellow,limit,capacity,"capacity limits were provided without specificing the superordinate dispatch timestep, this means the sum of capacity over all years was limited instead of enforcing the same limit for each year
																												(see https://leonardgoeke.github.io/AnyMOD.jl/stable/parameter_list/#Limits-on-quantities-dispatched)"
